estado;divisao;ano;data;mandante;visitante;placar;gols_mandante;gols_visitante;resultado;peso_importancia
sao-paulo;5;2021;2021-09-19;Taquaritinga;Fernandópolis;5-2;5;2;H;1.0
sao-paulo;5;2021;2021-09-19;Grêmio Prudente;Osvaldo Cruz;1-0;1;0;H;1.0
sao-paulo;5;2021;2021-09-19;Itapirense;Mogi Mirim;0-0;0;0;D;1.0
sao-paulo;5;2021;2021-09-19;Flamengo-SP;Guarulhos;1-0;1;0;H;1.0
sao-paulo;5;2021;2021-09-19;União Mogi;Atlético Mogi;5-0;5;0;H;1.0
sao-paulo;5;2021;2021-09-22;Taquaritinga;América-SP;0-1;0;1;A;1.0
sao-paulo;5;2021;2021-09-22;Fernandópolis;Inter de Bebedouro;0-4;0;4;A;1.0
sao-paulo;5;2021;2021-09-22;Catanduva;Matonense;1-2;1;2;A;1.0
sao-paulo;5;2021;2021-09-22;XV de Jaú;VOCEM;0-0;0;0;D;1.0
sao-paulo;5;2021;2021-09-22;Santacruzense;Osvaldo Cruz;3-0;3;0;H;1.0
sao-paulo;5;2021;2021-09-22;Assisense;Grêmio Prudente;1-2;1;2;A;1.0
sao-paulo;5;2021;2021-09-22;Itapirense;Grêmio São-Carlense;0-3;0;3;A;1.0
sao-paulo;5;2021;2021-09-22;Mogi Mirim;Independente de Limeira;0-2;0;2;A;1.0
sao-paulo;5;2021;2021-09-22;São Carlos;Rio Branco-SP;1-4;1;4;A;1.0
sao-paulo;5;2021;2021-09-22;Grêmio Mauaense;Flamengo-SP;1-4;1;4;A;1.0
sao-paulo;5;2021;2021-09-22;Colorado Caieiras;Barcelona Esportivo;1-0;1;0;H;1.0
sao-paulo;5;2021;2021-09-22;Guarulhos;Paulista;0-1;0;1;A;1.0
sao-paulo;5;2021;2021-09-22;Manthiqueira;União Mogi;0-2;0;2;A;1.0
sao-paulo;5;2021;2021-09-22;ECUS;Mauá;2-4;2;4;A;1.0
sao-paulo;5;2021;2021-09-22;Atlético Mogi;União Suzano;0-6;0;6;A;1.0
sao-paulo;5;2021;2021-09-26;América-SP;Fernandópolis;0-5;0;5;A;1.0
sao-paulo;5;2021;2021-09-26;Inter de Bebedouro;Catanduva;0-1;0;1;A;1.0
sao-paulo;5;2021;2021-09-26;Matonense;Taquaritinga;1-0;1;0;H;1.0
sao-paulo;5;2021;2021-09-26;VOCEM;Santacruzense;0-0;0;0;D;1.0
sao-paulo;5;2021;2021-09-26;Osvaldo Cruz;Assisense;1-2;1;2;A;1.0
sao-paulo;5;2021;2021-09-26;Grêmio Prudente;XV de Jaú;3-0;3;0;H;1.0
sao-paulo;5;2021;2021-09-26;Grêmio São-Carlense;Mogi Mirim;1-1;1;1;D;1.0
sao-paulo;5;2021;2021-09-26;Independente de Limeira;São Carlos;2-1;2;1;H;1.0
