nome_simplificado;nome_clube;estado;uf;cidade;latitude;longitude;inception;codigo_ibge
UNIÃO DE MARECHAL HERMES;União de Marechal Hermes Futebol Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1915-01-01T00:00:00Z;3304557
VALERIODOCE;Valeriodoce Esporte Clube;Minas Gerais;MG;Itabira;-19.6239;-43.2312;1942-11-22T00:00:00Z;3131703
VASCO;Vasco Esporte Clube;Sergipe;SE;Aracaju;-10.9091;-37.0677;1931-08-15T00:00:00Z;2800308
VERA CRUZ VITÓRIA DE SANTO ANTÃO;Vera Cruz Futebol Clube (Vitória de Santo Antão);Pernambuco;PE;Vitória de Santo Antão;-8.12819;-35.2976;1960-02-03T00:00:00Z;2616407
VILA ISABEL;Vila Isabel Futebol Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1912-01-01T00:00:00Z;3304557
VILLA RIO;Villa Rio Esporte Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;2004-01-01T00:00:00Z;3304557
VOTORATY;Votoraty Futebol Clube;São Paulo;SP;Votorantim;-23.5446;-47.4388;2005-01-01T00:00:00Z;3557006
ACRIANO;Acriano Futebol Clube;Acre;AC;Rodrigues Alves;-7.73864;-72.661;;1200427
ADOLFO KONDER;Adolfo Konder Futebol Clube;Santa Catarina;SC;Florianópolis;-27.5945;-48.5477;;4205407
AFOGADENSE;Afogadense Futebol Clube;Pernambuco;PE;Afogados da Ingazeira;-7.74312;-37.631;2005-01-01T00:00:00Z;2600104
AGROCERES;Agroceres Futebol Clube;Paraná;PR;Santo Antônio da Platina;-23.2959;-50.0815;;4124103
ALTO SANTO;Alto Santo Esporte Clube;Ceará;CE;Alto Santo;-5.50894;-38.2743;;2300705
AMAPÁ;Amapá Futebol Clube;Amapá;AP;Amapá;2.05267;-50.7957;;1600105
AMAX;Amax Esporte Clube;Acre;AC;Xapuri;-10.6516;-68.4969;2009-01-01T00:00:00Z;1200708
AMPARO ATHLÉTICO;Amparo Athlético Club;Paraíba;PB;Amparo;-7.55502;-37.0628;;2500734
ANDARAHY ATHLETICO;Andarahy Athletico Club;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1909-01-01T00:00:00Z;3304557
ANTARCTICA;Antarctica Futebol Clube;São Paulo;SP;São Paulo;-23.5329;-46.6395;1915-01-01T00:00:00Z;3550308
ARACAJU;Aracaju Futebol Clube;Sergipe;SE;Aracaju;-10.9091;-37.0677;2005-01-01T00:00:00Z;2800308
ARAGUARI ATLÉTICO;Araguari Atlético Clube;Minas Gerais;MG;Araguari;-18.6456;-48.1934;1944-01-01T00:00:00Z;3103504
ASAS;Asas Futebol Clube;Pernambuco;PE;Jaboatão dos Guararapes;-8.11298;-35.015;;2607901
ATHLETICA INTERNACIONAL;Associação Athletica Internacional;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
LUZITANO;Luzitano Futebol Clube;Minas Gerais;MG;Luz;-19.7911;-45.6794;1920-01-01T00:00:00Z;3138807
MACAU;Macau Esporte Clube;Rio Grande do Norte;RN;Macau;-5.10795;-36.6318;1978-01-01T00:00:00Z;2407203
SUMARÉ ATLÉTICO;Sumaré Atlético Clube;São Paulo;SP;Paulínia;-22.7542;-47.1488;2005-01-01T00:00:00Z;3536505
CAICÓ;Caicó Esporte Clube;Rio Grande do Norte;RN;Caicó;-6.45441;-37.1067;1933-01-01T00:00:00Z;2402006
TRÊS RIOS;Três Rios Futebol Clube;Rio de Janeiro;RJ;Três Rios;-22.1165;-43.2185;;3306008
PICUIENSE;Associação Desportiva Picuiense;Paraíba;PB;Picuí;-6.50845;-36.3497;2008-06-08T00:00:00Z;2511400
HUMAITÁ;Humaitá Sport Club;Ceará;CE;Fortaleza;-3.71664;-38.5423;;2304400
ICASA;Icasa Esporte Clube;Ceará;CE;Juazeiro do Norte;-7.19621;-39.3076;1963-01-01T00:00:00Z;2307304
IDEAL;Ideal Club;Paraíba;PB;Paulista;-6.59138;-37.6185;1912-01-01T00:00:00Z;2510907
IDEAL;Ideal Esporte Clube;Bahia;BA;Santo Amaro;-12.5472;-38.7137;1955-01-01T00:00:00Z;2928604
IGARAPAVA;Igarapava Esporte Clube;São Paulo;SP;Igarapava;-20.0407;-47.7466;1919-08-21T00:00:00Z;3520103
IMAGINE LTDA;Imagine Futebol Clube Ltda.;Paraná;PR;Palmas;-26.4839;-51.9888;;4117602
IMPERIAL PACIÊNCIA;Imperial Futebol Clube Paciência;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1979-01-01T00:00:00Z;3304557
IMPÉRIO TOLEDO;Império Toledo de Futebol;Minas Gerais;MG;Toledo;-22.7421;-46.3728;;3169109
INDEPENDENTE SÃO PAULO;Independente Esporte Clube (São Paulo);São Paulo;SP;São Paulo;-23.5329;-46.6395;;3550308
INDEPENDÊNCIA OSASCO;Independência Esporte Clube (Osasco);Rio Grande do Sul;RS;Independência;-27.8354;-54.1886;;4310405
INDUSTRIAL;Industrial Futebol Clube;Sergipe;SE;Aracaju;-10.9091;-37.0677;;2800308
INHUMAS;Inhumas Esporte Clube;Goiás;GO;Inhumas;-16.3611;-49.5001;;5210000
INOVE;Inove Esporte Clube;Paraná;PR;Palmas;-26.4839;-51.9888;;4117602
INTERNACIONAL;Sport Club Internacional;Espírito Santo;ES;Alegre;-20.758;-41.5382;;3200201
INTERCONTINENTAL RECIFE;Intercontinental Futebol Clube do Recife;Pernambuco;PE;Ipojuca;-8.39303;-35.0609;;2607208
INTERNACIONAL RIO DE JANEIRO;Internacional Futebol Clube (Rio de Janeiro);Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
INTERNACIONAL;Internacional Sport Club;Acre;AC;Rio Branco;-9.974;-67.8076;;5107206
INTERNATO;Internato Futebol Clube;Santa Catarina;SC;Florianópolis;-27.5945;-48.5477;1910-01-01T00:00:00Z;4205407
IPANEMA TATUÍS;Ipanema Tatuís;Minas Gerais;MG;Ipanema;-19.7992;-41.7164;2005-01-01T00:00:00Z;3131208
IPIRANGA DE ALIANÇA;Ipiranga de Aliança Esporte Clube;Tocantins;TO;Aliança do Tocantins;-11.3056;-48.9361;;1700350
IPOJUCA ATLÉTICO;Ipojuca Atlético Clube;Pernambuco;PE;Ipojuca;-8.39303;-35.0609;2005-01-01T00:00:00Z;2607208
IPOJUCA;Ipojuca Futebol Clube;Pernambuco;PE;Ipojuca;-8.39303;-35.0609;;2607208
IPORÁ;Iporá Esporte Clube;Goiás;GO;Iporá;-16.4398;-51.118;2000-01-01T00:00:00Z;5210208
IRAJÁ ATLÉTICO;Irajá Atlético Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1912-01-01T00:00:00Z;3304557
ITABORAÍ;Itaboraí Futebol Clube;Rio de Janeiro;RJ;Itaboraí;-22.7565;-42.8639;;3301900
ITABORAÍ PROFUTE;Itaboraí Profute Futebol Clube;Rio de Janeiro;RJ;Itaboraí;-22.7565;-42.8639;;3301900
ITAPEBA ATLÉTICO;Itapeba Atlético Clube;Rio de Janeiro;RJ;Maricá;-22.9354;-42.8246;;3302700
ITAPEVI;Itapevi Futebol Clube;São Paulo;SP;Alumínio;-23.5306;-47.2546;2004-04-09T00:00:00Z;3501152
ITAQUAQUECETUBA ATLÉTICO;Itaquaquecetuba Atlético Clube;São Paulo;SP;Itaquaquecetuba;-23.4835;-46.3457;;3523107
ITATIBA;Itatiba Esporte Clube;Rio Grande do Sul;RS;Itati;-29.4974;-50.1016;;4310652
IVINHEMA;Ivinhema Esporte Clube;Mato Grosso do Sul;MS;Ivinhema;-22.3046;-53.8184;1986-01-01T00:00:00Z;5004700
JACIOBÁ ATLÉTICO;Jaciobá Atlético Clube;Minas Gerais;MG;Alagoa;-22.171;-44.6413;;3101300
JAPERI;Japeri Esporte Clube;Rio de Janeiro;RJ;Japeri;-22.6435;-43.6602;;3302270
JARAGUÁ;Jaraguá Esporte Clube;Goiás;GO;Jaraguá;-15.7529;-49.3344;;5211800
JARDIM;Jardim Sport Clube;Ceará;CE;Jardim;-7.57599;-39.2826;;2307106
JEQUIÁ IATE;Jequiá Iate Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
JOAÇABA ATLÉTICO;Joaçaba Atlético Clube;Ceará;CE;Catarina;-6.12291;-39.8736;;2303600
JOINVILLE GLADIATORS;Joinville Gladiators;Ceará;CE;Catarina;-6.12291;-39.8736;;2303600
JOSÉ BONIFÁCIO;José Bonifácio Esporte Clube;São Paulo;SP;José Bonifácio;-21.0551;-49.6892;1961-01-01T00:00:00Z;3525706
JOSÉ DE ALENCAR;José de Alencar Foot-Ball Club;Ceará;CE;Fortaleza;-3.71664;-38.5423;;2304400
KAISERBURG;Kaiserburg Futebol Clube;Rio de Janeiro;RJ;Petrópolis;-22.52;-43.1926;;3303906
LAGARTO;Lagarto Esporte Clube;Sergipe;SE;Lagarto;-10.9136;-37.6689;;2803500
LAGOA;Lagoa Esporte Clube;Amapá;AP;Macapá;0.034934;-51.0694;;1600303
LAVRAS;Lavras Futebol Clube;Minas Gerais;MG;Lavras;-21.248;-45.0009;;3138203
LEME ZONA SUL;Leme Futebol Clube Zona Sul;São Paulo;SP;Leme;-22.1809;-47.3841;;3526704
LEÃO DE SÃO MARCOS;Leão de São Marcos Esporte Clube;Espírito Santo;ES;Nova Venécia;-18.715;-40.4053;1955-02-09T00:00:00Z;3203908
LIGA SÃOCARLENSE;Liga Sãocarlense de Futebol;Amazonas;AM;Benjamin Constant;-4.37768;-70.0342;;1300607
LUSO SPORTING;Luso Sporting Club;Amazonas;AM;Manaus;-3.11866;-60.0212;;1302603
LUZIÂNIA;Luziânia Futebol Clube;Goiás;GO;Goiás;-15.9333;-50.14;;5208905
LUÍS CORREIA;Luís Correia Esporte Clube;Piauí;PI;Luís Correia;-2.88438;-41.6641;2003-01-01T00:00:00Z;2205706
MACAMBIRA;Macambira Futebol Clube;Sergipe;SE;Macambira;-10.6619;-37.5413;;2803708
MADRE DE DEUS;Madre de Deus Sport Clube;Bahia;BA;Madre de Deus;-12.7446;-38.6153;;2919926
MADRUGADA;Madrugada Esporte Clube;São Paulo;SP;São Carlos;-22.0174;-47.886;;3548906
MARANGUAPE;Maranguape Sport Club;Ceará;CE;Maranguape;-3.89143;-38.6829;;2307700
MARINGÁ IGUATEMI;Maringá Esporte Iguatemi;Mato Grosso do Sul;MS;Iguatemi;-23.6736;-54.5637;;5004304
MATO GROSSO;Mato Grosso Esporte Clube;Mato Grosso;MT;Cuiabá;-15.601;-56.0974;1948-01-01T00:00:00Z;5103403
MIL RÉIS;Mil Réis Futebol Clube;São Paulo;SP;Itaporanga;-23.7043;-49.4819;;3522802
BARRA BONITA;Associação Atlética Barra Bonita;Bahia;BA;Barra;-11.0859;-43.1459;1923-04-21T00:00:00Z;2902708
CAMPO LIMPO PAULISTA;Associação Atlética Campo Limpo Paulista;São Paulo;SP;Campo Limpo Paulista;-23.2078;-46.7889;1980-01-01T00:00:00Z;3509601
CAMPOS ELÍSEOS;Associação Atlética Campos Elíseos;São Paulo;SP;São Paulo;-23.5329;-46.6395;;3550308
CENTRAL BRASILEIRA;Associação Atlética Central Brasileira;Piauí;PI;Brasileira;-4.1337;-41.7859;1980-12-15T00:00:00Z;2201960
COLÚMBIA;Associação Atlética Colúmbia;Maranhão;MA;Caxias;-4.86505;-43.3617;1979-01-01T00:00:00Z;2103000
COMERCIAL CASCAVEL;Associação Atlética Comercial (Cascavel);Paraná;PR;Cascavel;-24.9573;-53.459;1964-04-09T00:00:00Z;4104808
GOIATUBA;Associação Atlética Goiatuba;Goiás;GO;Goiás;-15.9333;-50.14;1970-01-01T00:00:00Z;5208905
GUAIRENSE;Associação Atlética Guairense;São Paulo;SP;Guaíra;-20.3196;-48.312;1969-06-16T00:00:00Z;3517406
ORDEM E PROGRESSO;Associação Atlética Ordem e Progresso;Rio Grande do Sul;RS;Progresso;-29.2441;-52.3197;1916-01-01T00:00:00Z;4315156
PARAISENSE;Associação Atlética Paraisense;Minas Gerais;MG;São Sebastião do Paraíso;-20.9167;-46.9837;1919-01-01T00:00:00Z;3164704
PORTOFELICENSE;Associação Atlética Portofelicense;Rio Grande do Sul;RS;Feliz;-29.4527;-51.3032;;4308102
SANTA CRUZ;Associação Atlética Santa Cruz;Ceará;CE;Cruz;-2.91813;-40.176;2001-01-01T00:00:00Z;2304251
SERRA;Associação Atlética Serra;Paraíba;PB;Mato Grosso;-6.54018;-37.7279;2009-06-05T00:00:00Z;2509370
SÃO BENTO MARÍLIA;Associação Atlética São Bento (Marília);São Paulo;SP;Marília;-22.2171;-49.9501;1931-01-01T00:00:00Z;3529005
SÃO BENTO SÃO CAETANO DO SUL;Associação Atlética São Bento (São Caetano do Sul);São Paulo;SP;São Caetano do Sul;-23.6229;-46.5548;1954-02-17T00:00:00Z;3548807
TEIXEIRA DE FREITAS;Associação Atlética Teixeira de Freitas;Bahia;BA;Teixeira de Freitas;-17.5399;-39.74;;2931350
UNIVERSIDADE NILTON LINS;Associação Atlética da Universidade Nilton Lins;São Paulo;SP;Lins;-21.6718;-49.7526;2007-01-01T00:00:00Z;3527108
CARAZINHENSE;Associação Carazinhense de Futebol;Rio Grande do Sul;RS;Carazinho;-28.2958;-52.7933;;4304705
CAÇADORENSE;Associação Caçadorense de Desportos;Santa Catarina;SC;Caçador;-26.7757;-51.012;1978-01-15T00:00:00Z;4203006
ARARAQUARA;Associação Desportiva Araraquara;Paraíba;PB;Arara;-6.82813;-35.7552;1952-01-09T00:00:00Z;2500908
ARSENAL DE CARIDADE;Associação Desportiva Arsenal de Caridade;Ceará;CE;Caridade;-4.22514;-39.1912;;2303006
CLASSISTA RIGESA;Associação Desportiva Classista Rigesa;São Paulo;SP;São Paulo;-23.5329;-46.6395;;3550308
IGUATU;Associação Desportiva Iguatu;Ceará;CE;Iguatu;-6.36281;-39.2892;2010-01-01T00:00:00Z;2305506
JAGUARIÚNA;Associação Desportiva Jaguariúna;Rio Grande do Sul;RS;Jaguari;-29.4936;-54.703;2005-01-01T00:00:00Z;4311106
JARUENSE;Associação Desportiva Jaruense;Rondônia;RO;Jaru;-10.4318;-62.4788;1995-01-01T00:00:00Z;1100114
PITU;Associação Desportiva Pitu;Espírito Santo;ES;Vitória;-20.3155;-40.3128;;3205309
SÃO BENEDITO;Associação Desportiva São Benedito;Ceará;CE;São Benedito;-4.04713;-40.8596;2005-01-01T00:00:00Z;2312304
TAUÁ;Associação Desportiva Tauá;Pernambuco;PE;São Caetano;-8.33763;-36.2869;2007-04-16T00:00:00Z;2613107
UNITRI;Associação Desportiva Unitri;Minas Gerais;MG;Uberlândia;-18.9141;-48.2749;2003-08-03T00:00:00Z;3170206
EVANGÉLICA;Associação Esportiva Evangélica;Goiás;GO;Guapó;-16.8297;-49.5345;;5209200
ILHA SOLTEIRA;Associação Esportiva Ilha Solteira;São Paulo;SP;Ilha Solteira;-20.4326;-51.3426;;3520442
INTERNACIONAL;Associação Esportiva Internacional;Bahia;BA;Santa Bárbara;-11.9515;-38.9681;1947-03-03T00:00:00Z;2927507
JACAREZINHO;Associação Esportiva Jacarezinho;Paraná;PR;Jacarezinho;-23.1591;-49.9739;1938-11-18T00:00:00Z;4111803
SAPIRANGA;Associação Esportiva Sapiranga;Rio Grande do Sul;RS;Rio Grande;-32.0349;-52.1071;;4315602
GARANHUENSE DE ATLETISMO;Associação Garanhuense de Atletismo;Pernambuco;PE;Garanhuns;-8.88243;-36.4966;;2606002
PONTAGROSSENSE;Associação Pontagrossense de Desportos;Rio Grande do Norte;RN;Paraná;-6.47565;-38.3057;1970-01-01T00:00:00Z;2408607
PRUDENTINA DE ESPORTES ATLÉTICOS;Associação Prudentina de Esportes Atléticos;Paraíba;PB;Paulista;-6.59138;-37.6185;1936-10-26T00:00:00Z;2510907
DESPORTISTAS DE PACATUBA;Associação dos Desportistas de Pacatuba;Ceará;CE;Pacatuba;-3.9784;-38.6183;;2309706
ATHLETIC;Athletic Club;Paraná;PR;São João;-25.8214;-52.7252;;4124806
ATLÉTICO APOLLO;Atlético Clube Apollo;Rio de Janeiro;RJ;Arraial do Cabo;-22.9774;-42.0267;;3300258
ATLÉTICO DIANA;Atlético Clube Diana;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1958-01-01T00:00:00Z;3304557
ATL. TRÊS CORAÇÕES;Atlético Clube Três Corações;Minas Gerais;MG;Barbacena;-21.2214;-43.7703;1913-01-01T00:00:00Z;3105608
ATLÉTICO ARAÇATUBA;Atlético Esportivo Araçatuba;São Paulo;SP;Andradina;-20.8948;-51.3786;;3502101
AÇAILÂNDIA;Açailândia Futebol Clube;Maranhão;MA;Açailândia;-4.94714;-47.5004;;2100055
BALSAS;Balsas Esporte Clube;Maranhão;MA;Balsas;-7.53214;-46.0372;1999-01-01T00:00:00Z;2101400
BANGU ATHLETIC;Bangu Athletic Club;Ceará;CE;Fortaleza;-3.71664;-38.5423;;2304400
BARCELONA CAPELA;Barcelona Esportivo Capela;São Paulo;SP;São Paulo;-23.5329;-46.6395;2004-01-01T00:00:00Z;3550308
FUSSBALL PORTO ALEGRE;Fussball Club Porto Alegre;Rio Grande do Sul;RS;Porto Alegre;-30.0318;-51.2065;;4314902
FUSSBALL MANNSCHAFT FRISCH AUF;Fussball Mannschaft Frisch Auf;Rio Grande do Sul;RS;Porto Alegre;-30.0318;-51.2065;1909-05-31T00:00:00Z;4314902
RIO PARDO;Futebol Clube Rio Pardo;Rio Grande do Sul;RS;Rio Grande;-32.0349;-52.1071;;4315602
GALVEZ;Galvez Esporte Clube;Acre;AC;Rio Branco;-9.974;-67.8076;2011-01-01T00:00:00Z;5107206
GARÇA;Garça Futebol Clube;São Paulo;SP;Garça;-22.2125;-49.6546;;3516705
GINÁSIO PINHALENSE DE ESPORTES ATLÉTICOS;Ginásio Pinhalense de Esportes Atléticos;São Paulo;SP;Espírito Santo do Pinhal;-22.1909;-46.7477;;3515186
GINÁSIO SÃO JOÃO;Ginásio São João;São Paulo;SP;Adolfo;-21.2325;-49.6451;;3500204
GLÓRIA DE DOURADOS;Glória de Dourados Esporte Clube;Mato Grosso do Sul;MS;Glória de Dourados;-22.4136;-54.2335;2009-01-01T00:00:00Z;5004007
GRÊMIO ATLÉTICO GUARANY;Grêmio Atlético Guarany;Rio Grande do Sul;RS;Garibaldi;-29.259;-51.5352;;4308607
GRÊMIO ACREANO;Grêmio Esportivo Acreano;Acre;AC;Sena Madureira;-9.06596;-68.6571;;1200500
GRÊMIO PRUDENTE;Grêmio Desportivo Prudente;São Paulo;SP;Presidente Prudente;-22.1207;-51.3925;2005-01-01T00:00:00Z;3541406
GRÊMIO FORÇA E LUZ;Grêmio Esportivo Força e Luz;Espírito Santo;ES;Alegre;-20.758;-41.5382;;3200201
GRÊMIO FÁBRICA DA ESTRELA;Grêmio Esportivo Fábrica da Estrela;Rio Grande do Sul;RS;Estrela;-29.5002;-51.9495;;4307807
GRÊMIO GUAÇUANO;Grêmio Esportivo Guaçuano;São Paulo;SP;Mogi Guaçu;-22.3675;-46.9428;1960-01-01T00:00:00Z;3530706
GRÊMIO KM 49;Grêmio Esportivo Km 49;Rio de Janeiro;RJ;Seropédica;-22.7526;-43.7155;;3305554
GRÊMIO LARANJEIRAS;Grêmio Esportivo Laranjeiras;Espírito Santo;ES;Serra;-20.121;-40.3074;;3205002
GRÊMIO SÃO JOSÉ;Grêmio Esportivo São José;Rio Grande do Sul;RS;Cachoeira do Sul;-30.033;-52.8928;1968-01-01T00:00:00Z;4303004
GRÊMIO TORRENSE;Grêmio Esportivo Torrense;Rio Grande do Sul;RS;Torres;-29.3334;-49.7333;;4321501
GRÊMIO 14 DE JULHO;Grêmio Esportivo e Recreativo 14 de Julho;Rio Grande do Sul;RS;Passo Fundo;-28.2576;-52.4091;;4314100
GRÊMIO MANGARATIBENSE;Grêmio Mangaratibense;Minas Gerais;MG;Manga;-14.7529;-43.9391;2009-01-01T00:00:00Z;3139300
GRÊMIO OLÍMPICO MANGARATIBA;Grêmio Olímpico Mangaratiba;Rio de Janeiro;RJ;Mangaratiba;-22.9594;-44.0409;;3302601
GRÊMIO CAMPO LARGO;Grêmio Recreativo Esportivo Campo Largo;Paraná;PR;Campo Largo;-25.4525;-49.529;;4104204
GRÊMIO SERRANO;Grêmio Recreativo Serrano;Paraíba;PB;Campina Grande;-7.22196;-35.8731;;2504009
GRÊMIO UNIDOS DO ALVORADA;Grêmio Recreativo Unidos do Alvorada;Amazonas;AM;Manaus;-3.11866;-60.0212;;1302603
GUARANI ALEGRETE;Guarani Futebol Clube (Alegrete);Rio Grande do Sul;RS;Alegrete;-29.7902;-55.7949;1912-01-01T00:00:00Z;4300406
GUARANI SALTENSE ATLÉTICO;Guarani Saltense Atlético Clube;Minas Gerais;MG;Guarani;-21.3563;-43.0328;;3128402
GUARANI;Guarani Sport Club;Minas Gerais;MG;Guarani;-21.3563;-43.0328;1914-01-01T00:00:00Z;3128402
GUARANY;Guarany Foot-Ball Club;Ceará;CE;Fortaleza;-3.71664;-38.5423;1919-06-15T00:00:00Z;2304400
PICOS;Sociedade Esportiva de Picos;Piauí;PI;Picos;-7.07721;-41.467;1976-01-01T00:00:00Z;2208007
NILÓPOLIS;Nilópolis Futebol Clube;Rio de Janeiro;RJ;Nilópolis;-22.8057;-43.4233;1977-01-01T00:00:00Z;3303203
MAZAGÃO ATLÉTICO;Mazagão Atlético Clube;Amapá;AP;Mazagão;-0.11336;-51.2891;1979-01-23T00:00:00Z;1600402
SERRANO;Serrano Futebol Clube;Pernambuco;PE;Serra Talhada;-7.98178;-38.289;1983-01-01T00:00:00Z;2613909
HOLANDA;Holanda Esporte Clube;Amazonas;AM;Rio Preto da Eva;-2.7045;-59.6858;1984-01-01T00:00:00Z;1303569
PASSO FUNDO;Esporte Clube Passo Fundo;Rio Grande do Sul;RS;Passo Fundo;-28.2576;-52.4091;1986-01-10T00:00:00Z;4314100
DUQUECAXIENSE;Duquecaxiense Futebol Clube;Maranhão;MA;Caxias;-4.86505;-43.3617;1997-01-01T00:00:00Z;2103000
CORINTHIANS PAULISTA B;Sport Club Corinthians Paulista B;São Paulo;SP;São Paulo;-23.5329;-46.6395;2000-01-01T00:00:00Z;3550308
BARBALHA;Barbalha Futebol Clube;Ceará;CE;Barbalha;-7.2982;-39.3021;2002-01-01T00:00:00Z;2301901
IMPERIAL;Imperial Futebol Clube;Rio de Janeiro;RJ;Petrópolis;-22.52;-43.1926;2004-04-02T00:00:00Z;3303906
JUAZEIRENSE;Sociedade Desportiva Juazeirense;Bahia;BA;Juazeiro;-9.41622;-40.5033;2006-01-01T00:00:00Z;2918407
LEGIÃO;Legião Futebol Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;2006-05-11T00:00:00Z;5300108
POÇOS DE CALDAS;Poços de Caldas Futebol Clube;Minas Gerais;MG;Caldas;-21.9183;-46.3843;2007-01-01T00:00:00Z;3110301
SÃO JOSÉ DE RIBAMAR;São José de Ribamar Esporte Clube;Santa Catarina;SC;São José;-27.6136;-48.6366;2007-06-14T00:00:00Z;4216602
RIBEIRÃO BONITO;Ribeirão Bonito Esporte Clube;Pernambuco;PE;Bonito;-8.47163;-35.7292;1960-01-01T00:00:00Z;2602308
RIO BRANCO DE VENDA NOVA;Rio Branco Futebol Clube (Espírito Santo);Espírito Santo;ES;Venda Nova do Imigrante;-20.327;-41.1355;1945-01-01T00:00:00Z;3205069
RIO BRANCO SERGIPE;Rio Branco Esporte Clube (Sergipe);Alagoas;AL;Capela;-9.41504;-36.0826;;2701704
RIO BRANCO DE BAGÉ;Rio Branco de Bagé;Rio Grande do Sul;RS;Bagé;-31.3297;-54.0999;1910-01-01T00:00:00Z;4301602
RIO CRICKET;Rio Cricket e Associação Atlética;Rio de Janeiro;RJ;Niterói;-22.8832;-43.1034;;3303302
RIO PARDO;Rio Pardo Futebol Clube;Espírito Santo;ES;Iúna;-20.3531;-41.5334;;3203007
RIO DAS OSTRAS;Rio das Ostras Futebol Clube;Rio de Janeiro;RJ;Rio das Ostras;-22.5174;-41.9475;1960-01-01T00:00:00Z;3304524
RIO DE JANEIRO SHARKS;Rio de Janeiro Sharks;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;2001-01-01T00:00:00Z;3304557
RIO DE JANEIRO MINOTAUROS;Rio de Janeiro Minotauros;Rio de Janeiro;RJ;Niterói;-22.8832;-43.1034;2010-10-10T00:00:00Z;3303302
RIOSTRENSE;Riostrense Esporte Clube;Ceará;CE;Jardim;-7.57599;-39.2826;;2307106
RIVER;River Football Club;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
RIVER ILHEENSE;River Ilheense Esporte Clube;Bahia;BA;Ilhéus;-14.793;-39.046;1977-08-14T00:00:00Z;2913606
ROMA;Roma Esporte Clube;Paraná;PR;Apucarana;-23.55;-51.4635;2000-01-22T00:00:00Z;4101408
RUY BARBOSA;Ruy Barbosa Futebol Clube;São Paulo;SP;Barbosa;-21.2657;-49.9518;1929-01-01T00:00:00Z;3505104
SABUGY;Sabugy Futebol Clube;Maranhão;MA;Santa Luzia;-4.06873;-45.69;;2110005
SACRAMENTA BENEFICENTE;Sacramenta Esporte Clube Beneficente;Pará;PA;Belém;-1.4554;-48.4898;;1501402
SALVADOR;Salvador Futebol Clube;Bahia;BA;Salvador;-12.9718;-38.5011;2007-01-01T00:00:00Z;2927408
SANTA CATARINA;Santa Catarina Clube;Santa Catarina;SC;Rio do Sul;-27.2156;-49.643;;4214805
SANTA CRUZ;Santa Cruz Futebol Clube (Fortaleza);Ceará;CE;Fortaleza;-3.71664;-38.5423;;2304400
SANTA CRUZ;Santa Cruz Futebol Clube (Minas Gerais);Minas Gerais;MG;Belo Horizonte;-19.9102;-43.9266;1951-05-03T00:00:00Z;3106200
SANTA CRUZ DO SUL CHACAIS;Santa Cruz do Sul Chacais;Rio Grande do Sul;RS;Santa Cruz do Sul;-29.722;-52.4343;2007-01-01T00:00:00Z;4316808
SANTA RITA;Santa Rita Esporte Clube;São Paulo;SP;Campinas;-22.9053;-47.0659;1959-01-01T00:00:00Z;3509502
SANTARRITENSE;Santarritense Futebol Clube;Minas Gerais;MG;Santa Rita do Sapucaí;-22.2461;-45.7034;;3159605
SAQUAREMA;Saquarema Futebol Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;;3304557
SAVÓIA;Savóia Futebol Clube;Paraná;PR;Curitiba;-25.4195;-49.2646;1914-07-14T00:00:00Z;4106902
SEM RIVAL;Sem Rival Sport Club;Ceará;CE;Fortaleza;-3.71664;-38.5423;;2304400
ZUMBI;Zumbi Esporte Clube;Alagoas;AL;União dos Palmares;-9.15921;-36.0223;1954-11-15T00:00:00Z;2709301
AMERICANO;Americano Football Club;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1907-10-01T00:00:00Z;3304557
BONSUCESSO;Bonsucesso Futebol Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1913-01-01T00:00:00Z;3304557
MARICÁ;Esporte Clube Maricá;Rio de Janeiro;RJ;Maricá;-22.9354;-42.8246;;3302700
MARINHO;Esporte Clube Marinho;Paraíba;PB;Mari;-7.05942;-35.318;;2509107
MIGUEL COUTO;Esporte Clube Miguel Couto;Rio de Janeiro;RJ;Nova Iguaçu;-22.7556;-43.4603;;3303500
MIRANORTE;Esporte Clube Miranorte;Tocantins;TO;Miranorte;-9.52907;-48.5922;;1713304
