nome_simplificado;nome_clube;estado;uf;cidade;latitude;longitude;inception;codigo_ibge
NOVO HAMBURGO;Esporte Clube Novo Hamburgo;Rio Grande do Sul;RS;Novo Hamburgo;-29.6875;-51.1328;1911-01-01T00:00:00Z;4313409
GUARANI;Sociedade Esportiva, Recreativa e Cultural Guarani;Santa Catarina;SC;Palhoça;-27.6455;-48.6697;1928-01-01T00:00:00Z;4211900
ATLÉTICO DO PORTO;Clube Atlético do Porto;Pernambuco;PE;Caruaru;-8.28455;-35.9699;1983-01-01T00:00:00Z;2604106
JUVENTUDE;Esporte Clube Juventude;Rio Grande do Sul;RS;Caxias do Sul;-29.1629;-51.1792;1913-06-29T00:00:00Z;4305108
BOA;Boa Esporte Clube;Minas Gerais;MG;Varginha;-21.5556;-45.4364;1947-01-01T00:00:00Z;3170701
BRITÂNIA;Britânia Sport Club;Goiás;GO;Britânia;-15.2428;-51.1602;1914-01-01T00:00:00Z;5203807
TIGRES DO BRASIL;Esporte Clube Tigres do Brasil;Rio de Janeiro;RJ;Duque de Caxias;-22.7858;-43.3049;2004-01-01T00:00:00Z;3301702
CENTRO SPORTIVO ALAGOANO;Centro Sportivo Alagoano;Alagoas;AL;Maceió;-9.66599;-35.735;1913-01-01T00:00:00Z;2704302
RODOVIÁRIA;Associação Atlética Rodoviária;Amazonas;AM;Manaus;-3.11866;-60.0212;1960-01-20T00:00:00Z;1302603
7 DE SETEMBRO;Clube Desportivo Sete de Setembro;Mato Grosso do Sul;MS;Dourados;-22.2231;-54.812;1994-01-01T00:00:00Z;5003702
GUARÁ;Clube de Regatas Guará;São Paulo;SP;Guará;-20.4302;-47.8236;1967-01-09T00:00:00Z;3517703
QUIXADÁ;Quixadá Futebol Clube;Ceará;CE;Quixadá;-4.9663;-39.0155;1965-10-27T00:00:00Z;2311306
BANGU ATLÉTICO;Bangu Atlético Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1904-01-01T00:00:00Z;3304557
GOIÁS;Goiás Esporte Clube;Goiás;GO;Goiânia;-16.6864;-49.2643;1943-04-06T00:00:00Z;5208707
PARANÁ;Paraná Clube;Paraná;PR;Curitiba;-25.4195;-49.2646;1989-01-01T00:00:00Z;4106902
COMERCIAL ATLÉTICO;Comercial Atlético Clube;Piauí;PI;Campo Maior;-4.8217;-42.1641;1945-04-21T00:00:00Z;2202208
CENTRAL;Central Sport Club;Pernambuco;PE;Caruaru;-8.28455;-35.9699;1919-06-15T00:00:00Z;2604106
SÃO JOSÉ;Esporte Clube São José;Rio Grande do Sul;RS;Porto Alegre;-30.0318;-51.2065;1913-01-01T00:00:00Z;4314902
RIO BRANCO ATLÉTICO;Rio Branco Atlético Clube;Espírito Santo;ES;Vitória;-20.3155;-40.3128;1913-01-01T00:00:00Z;3205309
CORINTHIANS PARANAENSE;Sport Club Corinthians Paranaense;Paraná;PR;Curitiba;-25.4195;-49.2646;1994-01-01T00:00:00Z;4106902
CHAPECOENSE;Associação Chapecoense de Futebol;Santa Catarina;SC;Chapecó;-27.103888888;-52.606666666;1973-01-01T00:00:00Z;4204202
MIXTO;Mixto Esporte Clube;Mato Grosso;MT;Cuiabá;-15.601;-56.0974;1934-05-20T00:00:00Z;5103403
REMO;Clube do Remo;Pará;PA;Belém;-1.4554;-48.4898;1905-01-01T00:00:00Z;1501402
VOLTA REDONDA;Volta Redonda Futebol Clube;Rio de Janeiro;RJ;Volta Redonda;-22.5202;-44.0996;1976-01-01T00:00:00Z;3306305
CÉRES;Céres Futebol Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1933-07-10T00:00:00Z;3304557
GUARANY SPORTING;Guarany Sporting Club;Ceará;CE;Sobral;-3.68913;-40.3482;1938-07-02T00:00:00Z;2312908
CAMAÇARI;Camaçari Futebol Clube;Bahia;BA;Camaçari;-12.6996;-38.3263;1968-11-08T00:00:00Z;2905701
ATLÉTICO METROPOLITANO;Clube Atlético Metropolitano;Santa Catarina;SC;Blumenau;-26.9155;-49.0709;2002-01-01T00:00:00Z;4202404
POTIGUAR;Associação Cultural e Desportiva Potiguar;Rio Grande do Norte;RN;Mossoró;-5.18374;-37.3474;1945-02-11T00:00:00Z;2408003
VILA AURORA;Sociedade Esportiva Vila Aurora;Mato Grosso;MT;Rondonópolis;-16.4673;-54.6372;1964-05-05T00:00:00Z;5107602
OPERÁRIO FERROVIÁRIO;Operário Ferroviário Esporte Clube;Paraná;PR;Ponta Grossa;-25.0916;-50.1668;1912-01-01T00:00:00Z;4119905
PORTUGUESA;Associação Atlética Portuguesa;São Paulo;SP;Santos;-23.9535;-46.335;1917-01-01T00:00:00Z;3548500
RIO BRANCO;Rio Branco Football Club;Acre;AC;Rio Branco;-9.974;-67.8076;1919-01-01T00:00:00Z;5107206
TREM;Trem Desportivo Clube;Amapá;AP;Macapá;0.034934;-51.0694;1947-01-01T00:00:00Z;1600303
GUARATINGUETÁ LTDA;Guaratinguetá Futebol Ltda.;São Paulo;SP;Guaratinguetá;-22.8075;-45.1938;1998-01-01T00:00:00Z;3518404
SÃO CRISTÓVÃO;São Cristóvão de Futebol e Regatas;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1909-07-05T00:00:00Z;3304557
SPORTIVO SERGIPE;Club Sportivo Sergipe;Sergipe;SE;Aracaju;-10.9091;-37.0677;1909-01-01T00:00:00Z;2800308
LIMOEIRO;Associação Desportiva Limoeiro Futebol Clube;Ceará;CE;Limoeiro do Norte;-5.14392;-38.0847;2001-01-01T00:00:00Z;2307601
CABOFRIENSE;Associação Desportiva Cabofriense;Rio de Janeiro;RJ;Cabo Frio;-22.8894;-42.0286;1997-01-01T00:00:00Z;3300704
LEÔNICO;Associação Desportiva Leônico;Bahia;BA;Salvador;-12.9718;-38.5011;1940-04-03T00:00:00Z;2927408
ADESG;Associação Desportiva Senador Guiomard;Acre;AC;Senador Guiomard;-10.1497;-67.7362;1982-01-01T00:00:00Z;1200450
VASCO DA GAMA;Associação Desportiva Vasco da Gama;Acre;AC;Rio Branco;-9.974;-67.8076;1952-06-28T00:00:00Z;5107206
TIRADENTES;Associação Esportiva Tiradentes;Ceará;CE;Fortaleza;-3.71664;-38.5423;1961-09-15T00:00:00Z;2304400
JAGUARÉ;Associação Jaguaré Esporte Clube;Espírito Santo;ES;Jaguaré;-18.907;-40.0759;2001-01-01T00:00:00Z;3203056
