estado;divisao;ano;data;mandante;mandante_estado;visitante;visitante_estado;placar;resultado;peso_importancia;gols_mandante;gols_visitante;estado_slug
rio-de-janeiro;1;2024;2024-03-30;NOVA IGUAÇU;rio-de-janeiro;FLAMENGO;rio-de-janeiro;0-3;A;2.0;0;3;rio_de_janeiro
rio-de-janeiro;1;2024;2024-03-31;BOTAFOGO;rio-de-janeiro;BOAVISTA;rio-de-janeiro;2-0;H;2.0;2;0;rio_de_janeiro
rio-de-janeiro;1;2024;2024-04-07;FLAMENGO;rio-de-janeiro;NOVA IGUAÇU;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-12;FLAMENGO;rio-de-janeiro;AUDAX RIO;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-14;NOVA IGUAÇU;rio-de-janeiro;VOLTA REDONDA;rio-de-janeiro;0-0;D;2.0;0;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-14;RESENDE;rio-de-janeiro;FLUMINENSE;rio-de-janeiro;0-2;A;2.0;0;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-14;VASCO;rio-de-janeiro;MADUREIRA;rio-de-janeiro;0-0;D;2.0;0;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-15;BOAVISTA;rio-de-janeiro;BANGU;rio-de-janeiro;2-2;D;2.0;2;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-15;BOTAFOGO;rio-de-janeiro;AUDAX RIO;rio-de-janeiro;0-1;A;2.0;0;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-15;FLAMENGO;rio-de-janeiro;PORTUGUESA;rio-de-janeiro;4-1;H;2.0;4;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-17;FLUMINENSE;rio-de-janeiro;NOVA IGUAÇU;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-18;BANGU;rio-de-janeiro;RESENDE;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-18;MADUREIRA;rio-de-janeiro;FLAMENGO;rio-de-janeiro;0-0;D;2.0;0;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-18;PORTUGUESA;rio-de-janeiro;BOAVISTA;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-19;VOLTA REDONDA;rio-de-janeiro;BOTAFOGO;rio-de-janeiro;1-2;A;2.0;1;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-19;AUDAX RIO;rio-de-janeiro;VASCO;rio-de-janeiro;1-1;D;2.0;1;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-21;FLAMENGO;rio-de-janeiro;NOVA IGUAÇU;rio-de-janeiro;5-0;H;2.0;5;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-21;PORTUGUESA;rio-de-janeiro;BANGU;rio-de-janeiro;0-1;A;2.0;0;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-22;RESENDE;rio-de-janeiro;BOAVISTA;rio-de-janeiro;2-1;H;2.0;2;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-22;VOLTA REDONDA;rio-de-janeiro;AUDAX RIO;rio-de-janeiro;3-2;H;2.0;3;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-22;MADUREIRA;rio-de-janeiro;FLUMINENSE;rio-de-janeiro;0-1;A;2.0;0;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-24;BANGU;rio-de-janeiro;FLAMENGO;rio-de-janeiro;1-1;D;2.0;1;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-25;AUDAX RIO;rio-de-janeiro;NOVA IGUAÇU;rio-de-janeiro;1-1;D;2.0;1;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-25;VOLTA REDONDA;rio-de-janeiro;RESENDE;rio-de-janeiro;5-1;H;2.0;5;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-25;PORTUGUESA;rio-de-janeiro;VASCO;rio-de-janeiro;0-2;A;2.0;0;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-26;BOTAFOGO;rio-de-janeiro;MADUREIRA;rio-de-janeiro;2-0;H;2.0;2;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-26;FLUMINENSE;rio-de-janeiro;BOAVISTA;rio-de-janeiro;1-1;D;2.0;1;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-28;NOVA IGUAÇU;rio-de-janeiro;BANGU;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-29;RESENDE;rio-de-janeiro;PORTUGUESA;rio-de-janeiro;0-0;D;2.0;0;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-29;FLUMINENSE;rio-de-janeiro;BOTAFOGO;rio-de-janeiro;0-1;A;2.0;0;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-29;BOAVISTA;rio-de-janeiro;MADUREIRA;rio-de-janeiro;0-2;A;2.0;0;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-01-30;VASCO;rio-de-janeiro;VOLTA REDONDA;rio-de-janeiro;1-2;A;2.0;1;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-01;AUDAX RIO;rio-de-janeiro;BANGU;rio-de-janeiro;0-0;D;2.0;0;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-01;BOTAFOGO;rio-de-janeiro;NOVA IGUAÇU;rio-de-janeiro;0-0;D;2.0;0;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-01;FLAMENGO;rio-de-janeiro;BOAVISTA;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-02;MADUREIRA;rio-de-janeiro;PORTUGUESA;rio-de-janeiro;1-1;D;2.0;1;1;rio_de_janeiro
