ICAO Aeródromo Origem;ICAO Aeródromo Destino;flights
SBCF;SBVC;476
SBKP;SBAQ;472
SBRF;SBJP;471
SBJP;SBRF;470
SBVC;SBCF;470
SBSP;SBSG;468
SBAQ;SBKP;467
SBSG;SBSP;467
SBFZ;SBSL;465
SBEG;SBRF;464
SBSL;SBBE;463
SBSG;SBKP;462
SBFZ;SBTE;461
SBGL;SBAR;460
SBKP;SBSG;460
SBSL;SBFZ;458
SBTE;SBFZ;458
SBAR;SBGL;457
SBGR;SBIZ;455
SBIZ;SBGR;453
SBCJ;SBBE;452
SBBE;SBSL;452
SBAE;SBKP;450
SBKP;SBAE;448
SBPV;SBEG;447
SBGR;SBJA;443
SBJA;SBGR;441
SBPL;SBRF;436
SBGR;SBPV;434
SBRF;SBPL;433
SBEG;SBGL;432
SBEG;SBTT;430
SBEG;SBPV;428
SBPV;SBGR;426
SBGL;SBEG;424
SBMK;SBGR;423
SBGR;SBMK;423
SBSP;SBDN;421
SBSV;SBGO;418
SBDN;SBSP;417
SBGO;SBSV;415
SBJP;SBKP;415
SBGO;SBCY;414
SBKP;SBJP;414
SBJP;SBCF;414
SBCF;SBJP;414
SBIL;SBKP;407
SBBE;SBGL;403
SBSL;SBSV;403
SBVT;SBRF;401
SBKP;SBIL;400
SBSV;SBSL;400
SBCF;SBEG;399
SBEG;SBCF;397
SBGL;SBBE;397
SBSV;SBVT;397
SBKP;SBAR;395
SBAR;SBKP;390
SBZM;SBKP;389
SBKP;SBZM;388
SBCF;SBCF;388
SBPS;SBBR;384
SBCF;SBAR;383
SBAR;SBCF;383
SBFL;SBCH;382
SBSV;SBSG;382
SBRF;SBVT;382
SBCH;SBFL;381
SBBV;SBEG;381
SBSG;SBSV;381
SBBR;SBPS;380
SBKP;SBGR;379
SBSG;SBFZ;374
SBAU;SBKP;371
SBKP;SBAU;371
SBAR;SBBR;370
SBBR;SBMQ;369
SBBR;SBAR;368
SBBE;SBHT;367
SBRF;SBTE;367
SBEG;SBBV;367
SBFZ;SBSG;366
SBMQ;SBBR;364
SBKP;SBPF;363
SBSL;SBKP;363
SBTE;SBRF;363
SBKP;SBSL;363
SBHT;SBBE;362
SBPF;SBKP;362
SBSL;SBCF;361
SBBR;SBIZ;361
SBIZ;SBBR;361
SBKP;SBTE;360
SBTE;SBKP;359
SBJD;SBJD;359
SBSL;SBIZ;357
SBCF;SBUR;357
SBUR;SBCF;357
SBPJ;SBKP;355
SBIZ;SBSL;355
SBGO;SBPJ;354
SBCF;SBSL;354
SBKP;SBPJ;353
SBMO;SBSV;353
SBSP;SBIL;353
SBCX;SBGR;352
SBPJ;SBGO;352
SBGR;SBCX;350
SBIL;SBSP;350
SBSV;SBMO;350
SBTE;SBCF;347
SBCF;SBTE;346
SBJP;SBSV;345
SBCF;SNBR;345
SBKP;SBML;345
SBSV;SBJP;344
SBMA;SBCF;342
SBKP;SBPL;342
SBML;SBKP;342
SBGR;SBKP;341
SBCX;SBKP;340
SBPL;SBKP;340
SNBR;SBCF;340
SBCF;SBMA;339
SBSN;SBBR;337
SBKP;SBCX;336
SBBR;SBSN;334
SBFL;SBPA;331
SBSP;SBZM;328
SBGR;SBFN;327
SBZM;SBSP;327
SBJU;SBKP;326
SBMK;SBSP;324
SBKP;SBJU;323
SBCF;SNGI;322
SBSP;SBCX;321
SBSP;SBMK;321
SBCX;SBSP;320
SNGI;SBCF;319
SBIZ;SBCF;316
SBCH;SBSP;315
SBSP;SBCH;315
SBCF;SBIZ;315
SBPA;SBFL;312
SBCY;SBGO;305
SBEG;SWPI;302
SBCF;SBRB;301
SBFN;SBGR;299
SWPI;SBEG;298
SBPJ;SBCF;296
SBCF;SBPJ;293
SNBR;SBSV;292
SBRP;SBGR;290
SNDV;SBCF;290
SBSV;SNBR;287
SBRB;SBCF;282
SBCF;SNDV;280
SBPV;SBCF;280
SBCF;SBPV;276
SBKP;SNDV;275
SWKO;SBEG;273
SBGR;SBRP;273
SBSL;SBGL;271
SBSP;SBSP;267
SBGL;SBSL;265
SNDV;SBKP;261
SBCF;SBKG;255
SBKG;SBCF;254
SBCY;SSOU;242
SBTE;SBSL;241
SSOU;SBCY;239
SBGR;SBPK;238
SBGR;SBMQ;238
SBPK;SBGR;237
SBMQ;SBGR;237
SBTF;SBEG;230
SBEG;SBTF;228
SBBW;SBCY;216
SBCY;SBBW;214
SBKG;SBSV;207
SBSV;SBKG;206
SBJU;SBFZ;205
SBSP;SBAU;204
SBRB;SBCZ;204
SBCZ;SBRB;204
SBFZ;SBJU;203
SBAU;SBSP;202
SBFL;SBCT;201
SBKP;SBUR;201
SBSV;SBPS;201
SBUR;SBKP;201
SBRB;SBPV;198
SBCG;SBCY;196
SBRF;SBRF;196
SBEG;SWKO;196
SBCY;SBCY;194
SBCY;SBCG;189
SBMY;SBEG;185
SNVS;SBBE;183
SBPA;SBNM;183
SBCF;SNTO;182
SBNM;SBPA;181
SBPV;SBRB;180
SBPS;SBRP;179
SNTO;SBCF;179
SBGL;SBSJ;178
SBRP;SBPS;177
SBBE;SNVS;176
SBPS;SBSV;175
SBSJ;SBGL;174
SBCT;SBCY;174
SBCY;SBCT;173
SBUG;SBPA;171
SBPA;SBUG;171
SBPP;SBKP;165
SBEG;SBRB;163
SBCT;SBCG;161
SBDB;SBKP;161
SBKP;SBPP;161
SBRB;SBEG;159
SBCG;SBCT;159
SBPA;SBPK;157
SBIH;SBEG;157
SBRF;SBRP;157
SBPK;SBPA;157
SBEG;SBIH;157
SBSR;SBRF;157
SBMO;SBSG;156
SBRP;SBRF;156
SBRF;SBSR;155
SNPD;SBCF;155
SBSG;SBMO;154
SBGR;SBRB;153
SBBR;SBBR;153
SBSV;SBVC;153
SBRB;SBGR;152
SBPA;SBSM;152
SBVC;SBSV;151
SBSM;SBPA;151
SBKP;SBDB;147
SBCF;SNLN;147
SBJU;SBRF;147
SBSP;SBAR;146
SBRF;SBJU;146
SNLN;SBCF;146
SBAR;SBSP;145
SBEG;SBUA;145
SBCF;SBAX;144
SBCF;SNSS;144
SBUA;SBEG;144
SBCT;SBFL;144
SBRF;SNTS;144
SBCY;SBGL;144
SBCN;SBSP;143
SBSP;SBCN;143
SBUL;SBRF;143
SBCF;SBVG;142
SBRF;SBUL;142
SBVG;SBCF;142
SBKP;SBSP;141
SBGR;SBNM;141
SNSS;SBCF;140
SBKP;SBCR;139
SBNM;SBGR;138
SBGL;SBGL;138
SNGI;SBSV;137
SBGL;SBCY;137
SBUL;SBPS;136
SBGO;SBMO;135
SBMO;SBGO;135
SBSV;SNGI;134
SBPS;SBUL;134
SNTS;SBRF;134
SBMO;SBSR;132
SBSR;SBMO;130
SBCT;SBCT;129
SBAT;SBKP;128
SBSJ;SBKP;127
SBKP;SBAT;127
SSGY;SBCT;126
SBCT;SSGY;126
SBCR;SBKP;126
SBCF;SBJE;125
SSUM;SBCT;124
SBDB;SBSP;124
SBCY;SBPV;124
SBSP;SBDB;124
SBPV;SBCY;124
SBCT;SSUM;122
SBGR;SBSP;122
SBCJ;SDOW;121
SBCF;SNPD;121
SBMO;SBUL;120
SDSC;SBGR;120
SBGO;SBPS;119
SBPS;SBGO;119
SDOW;SBCJ;118
SBUL;SBMO;118
SBSV;SBIL;116
SBGR;SDSC;116
SBMO;SBRP;116
SBRP;SBMO;116
SBRJ;SBRJ;111
SBEG;SBMY;111
SBAX;SBCF;110
SBSR;SBPS;109
SBPS;SBSR;109
SBFZ;SBUL;108
SBUL;SBFZ;107
SBSM;SBKP;105
SBKP;SBSM;104
SBJE;SBCF;103
SBRF;SNHS;102
SNEB;SBBE;100
SBBE;SBTU;99
SBAT;SBCY;98
SBCY;SBAT;98
SBBE;SBMD;97
SBSV;SBLE;97
SBIL;SBSV;97
SBJD;SBKP;97
SBLE;SBSV;97
SJZA;SBRF;96
SBEG;SBEG;95
SBEG;SWMW;95
SNAB;SBRF;94
SBAX;SNPD;93
SBBE;SNEB;93
SNHS;SBRF;93
SBKP;SIMK;93
SBCT;SSGG;92
SBTB;SBEG;92
SSGG;SBCT;91
SBCF;SNJM;91
SBTU;SBBE;91
SBSN;SBTB;91
SNJM;SBCF;90
SNZR;SBCF;90
SBMD;SBBE;90
SBEG;SWLB;90
SBCF;SNZR;89
SBRF;SNAB;88
SBCT;SSVL;87
SBEG;SWYN;86
SBCT;SBSV;86
SSVL;SBCT;85
SIMK;SBKP;85
SBRF;SJZA;85
SBKP;SBJD;85
SWYN;SBMY;85
SBPA;SBPA;85
SBVH;SBKP;84
SBKP;SBVH;84
SWLB;SWKO;84
SNMZ;SBBE;84
SBBE;SNMZ;84
SBSV;SBCT;83
SBPA;SBSV;83
SWBR;SBEG;82
SBKP;SSKW;81
SSKW;SBKP;81
SBSV;SBPA;81
SBOI;SBBE;79
SBBE;SNSM;78
SBKP;SBPK;78
SNSM;SBBE;78
SBPK;SBKP;77
SBRJ;SBPS;76
SBPS;SBRJ;76
SBBE;SBBE;75
SNGN;SBRF;70
SBBE;SBBV;69
SBRF;SNRU;69
SBBV;SBBE;68
SBCB;SBCF;68
SBCF;SBCB;67
SBSP;SBIP;66
SBIP;SBSP;66
SBBR;SBFI;66
SBFZ;SBFZ;66
SBFI;SBBR;66
SBEG;SWEI;65
SWEI;SBTT;65
SWMW;SBEG;65
SBJA;SBKP;65
SBRJ;SBSV;64
SBSP;SBUR;64
SBPS;SBDN;64
SBUR;SBSP;64
SBFI;SBCF;64
SBKP;SBJA;64
SBRF;SNGN;64
SBKP;SWLC;64
SBDN;SBPS;64
SBBE;SBOI;63
SNRU;SBRF;63
SBZM;SBGR;63
SWLC;SBKP;63
SBCT;SSUV;62
SBSV;SBRJ;62
SBGR;SBZM;62
SBCF;SBFI;61
SBSG;SBSR;60
SBKP;SBCP;60
SBCP;SBKP;60
SSUV;SBCT;60
SWBC;SBEG;59
SBEG;SWBC;59
SBTC;SBSP;59
SBSP;SBTC;59
SNPD;SBAX;59
SBJP;SBUL;58
SBUL;SBJP;58
SBSR;SBSG;58
SBAE;SBPS;57
SBDN;SBGR;57
SBSR;SBCY;57
SBPS;SBAE;57
SBGR;SBDN;56
SBDN;SBSG;55
SBSG;SBRP;55
SBUL;SBSG;55
SBCJ;SBSL;54
SBSG;SBDN;54
SBRP;SBSG;54
SBSG;SBUL;54
SBTC;SBCF;54
SBCY;SBSR;54
SBBH;SBCF;53
SBCF;SBTC;53
SBEG;SWBR;53
SBMQ;SBOI;53
SBSL;SBCJ;53
SBKP;SNCP;52
SBEG;SBTB;52
