clube_uf;pagerank_score
REAL SPORT CLUB/RS;0.0008633692205243541
PORTUGUESA SANTISTA/SP;0.0008614669088692264
RIO GRANDE/RS;0.0008599464599986775
GE BRASIL/RS;0.0008596096686454124
ATLÉTICO GLORIENSE/SE;0.0008588667470689394
AMÉRICA/SE;0.0008581852859204128
SÃO FRANCISCO/PA;0.0008571854968286594
GUANABARA CITY/GO;0.0008546581143926103
PARANOÁ/DF;0.000854451776863602
ZUMBI/AL;0.0008542745006429028
AMAZÔNIA INDEPENDENTE/PA;0.0008521190958968558
BANDEIRANTE/SP;0.0008493723965146429
NACIONAL/PB;0.0008482692679281442
LINENSE/SP;0.0008412389781267081
JEQUIÉ/BA;0.0008333553792217008
BARCELONA DE ILHÉUS/BA;0.0008330979517816623
SKA BRASIL/SP;0.000832455156101133
HORIZONTE/CE;0.0008311333807058549
BARRA DA TIJUCA/RJ;0.0008306491680204527
BARRETOS/SP;0.0008304641604003279
SÃO CAETANO/SP;0.0008300480534674682
TIMON/MA;0.0008274618935496049
ATLÉTICO/CE;0.0008267013469712745
CAETÉ/PA;0.0008259542094869814
RIO DE JANEIRO/RJ;0.0008240369369320865
GAÚCHO/RS;0.0008235755840445691
CAPITÃO POÇO/PA;0.0008224609762774823
IAPE/MA;0.0008212447217927621
YPIRANGA/AP;0.0008209494931441738
NAVIRAIENSE/MS;0.0008188212035836713
FOZ DO IGUAÇU/PR;0.000817935785881918
COMERCIAL/SP;0.0008099182408568185
COIMBRA/MG;0.0008075199391294809
FLUMINENSE DE FEIRA/BA;0.000806758697459016
CARAPEBUS/RJ;0.0008058155874604851
JUVENTUDE/MA;0.000805370498033675
NAÇÃO/SC;0.0008042961150310191
VITÓRIA DAS TABOCAS/PE;0.0008039410596503909
MINEIROS/GO;0.0008029061214773573
GUARANI/MG;0.0008024109646118198
CORURIPE/AL;0.0008015171445602799
MADUREIRA/RJ;0.0008009944054991448
CONCÓRDIA/SC;0.0007995565611040244
UNIÃO CACOALENSE/RO;0.0007964694583383351
ITAPIPOCA/CE;0.0007954528553013855
SANTA ROSA/PA;0.0007953386839618711
LAGUNA/RN;0.0007906168802449931
DORENSE/SE;0.0007888673854254242
CRATO/CE;0.0007858286542516606
MARANGUAPE/CE;0.0007855340837399273
GAS/RR;0.0007854162959338129
VITÓRIA DA CONQUISTA/BA;0.0007772939968871616
SANTA HELENA/GO;0.0007760989880043267
COLORADO CAIEIRAS/SP;0.000774853042492227
CARLOS RENAUX/SC;0.00077472713743758
SERC/MS;0.0007732532243376612
ATLÉTICO/PB;0.0007730382032024777
PICOS/PI;0.0007728101890420085
VERA CRUZ/PE;0.0007721704586761171
NACIONAL/PR;0.0007706505434476443
AMÉRICA/GO;0.0007703026083394451
SERRA MACAENSE/RJ;0.0007672783906404123
FAST CLUBE/AM;0.0007669001047242689
GRÊMIO MAUAENSE/SP;0.0007664248351880728
UNIÃO DE RONDONÓPOLIS/MT;0.0007649640818912127
SÃO PAULO CRYSTAL/PB;0.000760985788980773
SÃO PAULO/RS;0.0007550338454897651
SANTA CATARINA/SC;0.0007545608331533661
ANDRAUS/PR;0.000754178751242136
BELA VISTA/GO;0.0007529828031462272
SERTÃOZINHO/SP;0.0007528751656203327
FREI PAULISTANO/SE;0.0007526417832975905
SANTA CRUZ/RS;0.000751714954197916
UNIÃO SÃO JOÃO/SP;0.0007514337948953913
TUPI/MG;0.0007511947639409298
ATLÉTICO CEARENSE/CE;0.0007468498626808922
PARAUAPEBAS/PA;0.0007464583781117723
AMÉRICA T.O/MG;0.0007448408072896602
ZINZA/RJ;0.0007439239786469007
PARINTINS/AM;0.0007438812728431189
MACAÉ/RJ;0.0007438245386746142
VALERIODOCE/MG;0.0007408601616301295
JOSEENSE/SP;0.0007378676442509073
PARANAVAÍ/PR;0.0007355799371845753
JUVENTUS JARAGUÁ/SC;0.0007338021552455519
SÃO CRISTÓVÃO/RJ;0.000732443634201559
OSASCO AUDAX/SP;0.0007273656256415043
RIO BRANCO/PR;0.0007264126188835115
SÃO JOSEENSE/PR;0.0007226444412614572
SERRA BRANCA/PB;0.000720137029179206
IVINHEMA/MS;0.0007188980534264391
PATRIOTAS/PR;0.0007185589300148534
ELITE CD/RS;0.0007178925922447291
JABAQUARA/SP;0.0007168161116648264
TAGUATINGA/DF;0.000716389550891305
BATALHÃO/TO;0.0007113431964959944
PORTO VELHO ESPORTE CLUBE/RO;0.0007109857350243618
RIOGRANDENSE/RS;0.0007105069076944173
ABECAT OUVIDORENSE/GO;0.0007091101347725062
CAMPOS/RJ;0.0007082069546949762
ASEEV/GO;0.000706972930054314
TUNTUM/MA;0.0007019558762204796
LUZIÂNIA/GO;0.0007003281191869372
ESTRELA DO NORTE/ES;0.0007002885534095622
CA PATROCINENSE/MG;0.0006973021025800045
ARAGUAÍNA/TO;0.0006970157299896813
IZABELENSE/PA;0.0006951491654978505
TOCANTINS MIRACEMA/TO;0.0006941332739686901
SAMAMBAIA/DF;0.0006939512847878947
JATAIENSE/GO;0.0006933080478917727
PINHEIRENSE/PA;0.0006907670462825068
ORATÓRIO/AP;0.0006904295111872057
MATONENSE/SP;0.0006900404249786127
ÍBIS/PE;0.0006898055344646465
PORTO/PE;0.0006885743942102495
ATLÉTICO/AC;0.0006864707630608028
RIO PRETO/SP;0.0006833817310022323
INTER DE LAGES/SC;0.0006833322288177711
TANABI/SP;0.0006823285394090902
BÚZIOS/RJ;0.0006763033337701468
DOM BOSCO/MT;0.0006755234126348445
COLO COLO/BA;0.0006752916714533035
PELOTAS/RS;0.0006752057057679969
INDEPENDENTE TUCURUÍ/PA;0.0006735290928418352
ESTANCIANO/SE;0.0006678059101962853
PINHEIRO/MA;0.000663243760257604
BARBALHA/CE;0.000661284012088659
CONFIANÇA/PB;0.0006610733527383046
CORDINO/MA;0.0006608631668636174
IGUAÇU/PR;0.0006592578023880744
ABD/GO;0.0006591466147120173
ARRAIAL DO CABO/RJ;0.0006563965289158024
FUTEBOL COM VIDA/RS;0.0006556793256148356
INDEPENDÊNCIA/AC;0.0006537765138666188
NOVA CIDADE/RJ;0.0006515066168914947
VILAVELHENSE/ES;0.0006500190260773289
