nome_clube;estado;uf;cidade;latitude;longitude;inception;codigo_ibge
Pedreira Esporte Clube;Pará;PA;Belém;-1.4554;-48.4898;1925-01-01T00:00:00Z;1501402
Petropolitano Foot-Ball Club;Rio de Janeiro;RJ;Petrópolis;-22.52;-43.1926;;3303906
Pinheiros Futebol Clube;Espírito Santo;ES;Pinheiros;-18.4141;-40.2171;1993-01-01T00:00:00Z;3204104
Pioneira Futebol Clube;Tocantins;TO;Taguatinga;-12.4026;-46.437;;1720903
Princesa do Solimões Esporte Clube;Amazonas;AM;Manacapuru;-3.29066;-60.6216;1971-01-01T00:00:00Z;1302504
Re-Pa;Pará;PA;Belém;-1.4554;-48.4898;;1501402
Rio Branco de Andradas Futebol Clube;Minas Gerais;MG;Andradas;-22.0695;-46.5724;1948-06-13T00:00:00Z;3102605
River Atlético Clube;Piauí;PI;Teresina;-5.09194;-42.8034;1946-03-01T00:00:00Z;2211001
Alecrim Futebol Clube;Rio Grande do Norte;RN;Natal;-5.79357;-35.1986;1915-01-01T00:00:00Z;2408102
Goytacaz Futebol Clube;Rio de Janeiro;RJ;Campos dos Goytacazes;-21.7622;-41.3181;1912-01-01T00:00:00Z;3301009
Associação Atlética Anapolina;Goiás;GO;Anápolis;-16.3281;-48.953;1948-01-01T00:00:00Z;5201108
Brusque Futebol Clube;Santa Catarina;SC;Brusque;-27.0977;-48.9107;1987-01-01T00:00:00Z;4202909
Friburguense Atlético Clube;Rio de Janeiro;RJ;Nova Friburgo;-22.2932;-42.5377;1980-01-01T00:00:00Z;3303401
Moto Club de São Luís;Maranhão;MA;São Luís;-2.53874;-44.2825;1937-09-13T00:00:00Z;2111300
Clube Recreativo e Atlético Catalano;Goiás;GO;Catalão;-18.1656;-47.944;1931-07-13T00:00:00Z;5205109
Esporte Clube Democrata;Minas Gerais;MG;Governador Valadares;-18.8545;-41.9555;1932-01-01T00:00:00Z;3127701
Uberlândia Esporte Clube;Minas Gerais;MG;Uberlândia;-18.9141;-48.2749;1922-01-01T00:00:00Z;3170206
Centro Educativo Recreativo Associação Atlética São Mateus;Espírito Santo;ES;São Mateus;-18.7214;-39.8579;1963-12-13T00:00:00Z;3204906
América Futebol Clube;Amazonas;AM;Manaus;-3.11866;-60.0212;1939-08-02T00:00:00Z;1302603
Brasília Futebol Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;1975-01-01T00:00:00Z;5300108
Araguaína Futebol e Regatas;Tocantins;TO;Araguaína;-7.19238;-48.2044;1997-01-01T00:00:00Z;1702109
São Raimundo Esporte Clube;Pará;PA;Santarém;-2.43849;-54.6996;1944-01-01T00:00:00Z;1506807
