clube;estado;lat;lon;cidade;estadio;wins;draws;losses;total_games
GRÊMIO PRUDENTE;sao_paulo;-22.1256;-51.3822;Presidente Prudente;Estádio Paulo Constantino;56;27;27;110
CAMBORIÚ;santa_catarina;-27.0175;-48.6536;Camboriú;Estádio Roberto Santos Garcia;46;32;32;110
4 DE JULHO;piaui;-4.2736;-41.7333;Piripiri;Arena Ytacoatiara;38;38;34;110
RIO BRANCO;acre;-9.9747;-67.8076;Rio Branco;Estádio José de Melo;49;27;34;110
NACIONAL;sao_paulo;-23.5505;-46.6333;São Paulo;Estádio Nicolau Alayon;38;31;40;109
SANTA CRUZ DE NATAL;rio_grande_do_norte;-5.79448;-35.211;Natal;Arena das Dunas;38;22;49;109
MURICI;alagoas;-9.2958;-35.8611;Murici;Estádio José Gomes da Costa;34;32;43;109
AFOGADOS DA INGAZEIRA;pernambuco;-7.7547;-37.6367;Afogados da Ingazeira;Estádio Municipal Valdemar Viana de Araújo;35;35;39;109
CA VOTUPORANGUENSE;sao_paulo;-20.4236;-49.9775;Votuporanga;Arena Plínio Marin;41;35;33;109
SÃO CAETANO;sao_paulo;-23.6186;-46.5736;São Caetano do Sul;Estádio Anacleto Campanella;29;25;54;108
GOIÂNIA;goias;-16.6869;-49.2647;Goiânia;Estádio Olímpico Pedro Ludovico Teixeira;34;25;48;107
SERRANO;rio_de_janeiro;-22.505;-43.1789;Petrópolis;Estádio Atílio Marotti;42;30;35;107
AMERICANO;rio_de_janeiro;-21.7627;-41.3275;Campos dos Goytacazes;Estádio Ary de Oliveira e Souza;41;33;33;107
CABOFRIENSE;rio_de_janeiro;-22.8814;-42.025;Cabo Frio;Estádio Alair Corrêa;33;30;43;106
NOVA VENÉCIA;espirito_santo;-18.7056;-40.3933;Nova Venécia;Estádio Zenor Pedrosa Rocha;54;31;21;106
RIO BRANCO;sao_paulo;-22.7419;-47.3333;Americana;Estádio Décio Vitta;43;36;27;106
NAÇÃO;santa_catarina;-26.3044;-48.8464;Joinville;Arena Joinville;31;32;42;105
COMERCIAL;sao_paulo;-21.1775;-47.8103;Ribeirão Preto;Estádio Palma Travassos;32;37;36;105
PRIMAVERA;sao_paulo;-23.0925;-47.2103;Indaiatuba;Estádio Ítalo Mário Limongi;35;40;29;104
MADUREIRA;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Aniceto Moscoso;28;27;48;103
VELO CLUBE;sao_paulo;-22.4122;-47.5617;Rio Claro;Estádio Benito Agnelo Castellano;41;31;31;103
DESPORTIVA FERROVIÁRIA;espirito_santo;-20.3261;-40.4217;Cariacica;Estádio Engenheiro Araripe;41;30;31;102
DESPORTIVO BRASIL;sao_paulo;-23.2125;-47.5211;Porto Feliz;Estádio Municipal Dr. Julien Fouque;37;29;36;102
CRAC;goias;-18.1636;-47.9458;Catalão;Estádio Genervino da Fonseca;30;38;34;102
MARACANÃ;ceara;-3.8775;-38.6236;Maracanaú;Estádio Municipal Raimundo de Oliveira;39;30;33;102
LINENSE;sao_paulo;-21.6733;-49.7431;Lins;Estádio Municipal Gilberto Siqueira Lopes;36;28;36;100
LUVERDENSE;mato_grosso;-12.6058;-55.9192;Lucas do Rio Verde;Estádio Municipal Passo das Emas;38;25;37;100
GRÊMIO SÃO-CARLENSE;sao_paulo;-22.0175;-47.8861;São Carlos;Estádio Professor Luís Augusto de Oliveira;43;34;22;99
URT;minas_gerais;-18.5833;-46.5167;Patos de Minas;Estádio Zama Maciel;36;27;36;99
PENAPOLENSE;sao_paulo;-21.4136;-50.0756;Penápolis;Estádio Municipal Tenente Carriço;29;34;36;99
RIO CLARO;sao_paulo;-22.4125;-47.5633;Rio Claro;Estádio Municipal Dr. Augusto Schmidt Filho;29;39;30;98
