clube;estado;lat;lon;cidade;estadio;wins;draws;losses;total_games
CSP;paraiba;-7.115;-34.8642;João Pessoa;Estádio Almeidão;20;7;19;46
ZINZA;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Luso-Brasileiro;23;14;8;45
SERRA BRANCA;paraiba;-7.47139;-36.6567;Serra Branca;Estádio Amigão;21;14;10;45
SANTA CRUZ RIACHUELO;sergipe;-10.7333;-37.25;Riachuelo;Estádio Francisco Leite;13;5;27;45
CARAJÁS;para;-1.4558;-48.4902;Belém;Estádio Estadual Jornalista Edgar Augusto Proença;7;15;23;45
ARARUAMA;rio_de_janeiro;-22.8756;-42.3422;Araruama;Estádio Municipal de Araruama;10;20;15;45
SOCORRENSE;sergipe;-10.8536;-37.1353;Nossa Senhora do Socorro;Estádio Wellington Elias;16;10;19;45
UNIÃO HARMONIA;rio_grande_do_sul;-29.9191;-51.1892;Canoas;Complexo Esportivo da Ulbra;3;4;38;45
PICUIENSE;paraiba;-6.4958;-36.3386;Picuí;Estádio Amauri Sales de Melo;11;9;25;45
PLÁCIDO DE CASTRO;acre;-10.2736;-67.1736;Plácido de Castro;Estádio Municipal Aluízio Ferreira;13;8;24;45
AMAZÔNIA INDEPENDENTE;para;-2.4453;-54.7084;Santarém;Estádio Colosso do Tapajós;18;14;13;45
PORTO;santa_catarina;-26.2361;-51.0736;Porto União;Estádio Municipal Antiocho Pereira;7;7;31;45
BARCELONA;rondonia;-12.7414;-60.1458;Vilhena;Estádio Portal da Amazônia;15;12;18;45
TIGRES DO BRASIL;rio_de_janeiro;-22.7833;-43.3111;Duque de Caxias;Estádio Los Larios;13;14;18;45
DESPORTIVA GUARABIRA;paraiba;-6.9856;-35.4936;Guarabira;Estádio Sílvio Porto;14;12;19;45
CAPITÃO POÇO;para;-1.7486;-47.0614;Capitão Poço;Estádio Municipal São Benedito;22;10;12;44
LEMENSE;sao_paulo;-22.1858;-47.3917;Leme;Estádio Municipal Bruno Lazzarini;9;12;23;44
SORRISO;mato_grosso;-12.5453;-55.7147;Sorriso;Estádio Municipal Egídio José Preima;15;12;17;44
SANTA CRUZ;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Giulite Coutinho;19;9;16;44
MAGUARY;pernambuco;-8.4797;-35.7275;Bonito;Estádio Municipal Arthur Tavares de Melo;15;17;12;44
AT. ITAPEMIRIM;espirito_santo;-20.8433;-40.8356;Itapemirim;Estádio José Olívio Soares;15;7;22;44
COMERCIAL;piaui;-4.8264;-42.1678;Campo Maior;Estádio Deusdeth de Melo;15;6;23;44
TAPAJÓS;para;-2.4431;-54.7083;Santarém;Estádio Colosso do Tapajós;8;12;24;44
PARNAMIRIM;rio_grande_do_norte;-5.91083;-35.2608;Parnamirim;Estádio Tenente Luiz Gonzaga;6;3;35;44
BAGÉ;rio_grande_do_sul;-31.3317;-54.1068;Bagé;Estádio Pedra Moura;21;11;12;44
SÃO RAIMUNDO;para;-2.4431;-54.7083;Santarém;Estádio Colosso do Tapajós;24;10;10;44
COLO COLO;bahia;-14.7935;-39.0459;Ilhéus;Estádio Mário Pessoa;14;14;15;43
FERNANDÓPOLIS;sao_paulo;-20.2819;-50.2586;Fernandópolis;Estádio Municipal Cláudio Rodante;8;8;27;43
TUPÃ;sao_paulo;-21.9358;-50.5139;Tupã;Estádio Municipal Alonso Carvalho Braga;18;8;17;43
SANTO ÂNGELO;rio_grande_do_sul;-28.3014;-54.2636;Santo Ângelo;Estádio da Zona Sul;7;6;30;43
MINEIROS;goias;-17.5675;-52.5511;Mineiros;Estádio Odilon Flores;22;8;13;43
JUVENTUS;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Luso-Brasileiro;16;9;18;43
VASCO DA GAMA;acre;-9.9747;-67.8076;Rio Branco;Estádio Arena da Floresta;14;6;23;43
SPORT LAGOA SECA;paraiba;-7.17111;-35.8586;Lagoa Seca;Estádio Amigão;10;5;28;43
CARUARU CITY;pernambuco;-8.2828;-35.9742;Caruaru;Estádio Luiz José de Lacerda;11;15;17;43
FF SPORT;alagoas;-9.6658;-35.7353;Maceió;Estádio Rei Pelé;14;7;21;42
POÇOS DE CALDAS;minas_gerais;-21.7847;-46.5635;Poços de Caldas;Estádio Doutor Ronaldo Junqueira;11;11;20;42
CERRADO;goias;-16.8225;-49.2436;Aparecida de Goiânia;Estádio Annibal Batista de Toledo;12;13;17;42
RIO NEGRO;amazonas;-3.119;-60.0217;Manaus;Estádio Ismael Benigno;16;9;17;42
CAMPO MOURÃO;parana;-24.0478;-52.3786;Campo Mourão;Estádio Municipal Roberto Brzezinski;14;12;16;42
SÃO JOSÉ;maranhao;-2.5617;-44.0583;São José de Ribamar;Estádio Municipal Dário Santos;8;10;24;42
SOCORRO;sergipe;-10.8536;-37.1353;Nossa Senhora do Socorro;Estádio Wellington Elias;10;12;20;42
ASSU;rio_grande_do_norte;-5.5814;-36.9133;Assu;Estádio Edgarzão;4;14;24;42
LAGUNA;rio_grande_do_norte;-5.79448;-35.211;Natal;Arena das Dunas;22;11;9;42
SANTA MARIA;distrito_federal;-15.9967;-48.0267;Santa Maria;Estádio Serra do Lago;12;6;24;42
YPIRANGA;pernambuco;-7.9575;-36.2053;Santa Cruz do Capibaribe;Estádio Otávio Limeira Alves;11;17;14;42
ASSISENSE;sao_paulo;-22.6625;-50.4133;Assis;Estádio Municipal Tonicão;11;9;22;42
VERA CRUZ;rio_de_janeiro;-22.7833;-43.3167;Duque de Caxias;Estádio Marrentão;15;9;18;42
ABECAT OUVIDORENSE;goias;-18.1558;-47.8667;Ouvidor;Estádio Luiz Benedito;20;10;11;41
NAVIRAIENSE;mato_grosso_do_sul;-23.0636;-54.1903;Naviraí;Estádio Virotão;21;10;10;41
UNIÃO CENTRAL;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Luso-Brasileiro;14;10;17;41
CONTAGEM;minas_gerais;-19.9319;-44.0539;Contagem;Estádio Municipal de Contagem;15;12;14;41
IPOJUCA;pernambuco;-8.3975;-35.0653;Ipojuca;Estádio Municipal Nossa Senhora do Ó;15;13;13;41
RIOVERDENSE;goias;-17.7919;-50.9244;Rio Verde;Estádio Mozart Veloso do Carmo;7;5;29;41
ARAGUAIA;mato_grosso;-15.8917;-52.2594;Barra do Garças;Estádio Municipal José Valeriano Costa;11;6;24;41
GALÍCIA;bahia;-12.9714;-38.5014;Salvador;Estádio de Pituaçu;10;19;12;41
SÃO PAULO;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;10;10;21;41
GUAPORÉ;rondonia;-11.7256;-61.7736;Rolim de Moura;Estádio Ângelo Cassol;18;10;13;41
PRIMAVERA;mato_grosso;-15.5583;-54.2958;Primavera do Leste;Estádio Municipal Cerradão;12;16;13;41
REAL SPORT CLUB;rio_grande_do_sul;-29.7447;-50.0236;Capão da Canoa;Estádio Módulo Esportivo;12;9;19;40
SETE DE JUNHO;sergipe;-11.1819;-37.9958;Tobias Barreto;Estádio Brejeirão;12;11;17;40
MACAPÁ;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;11;7;22;40
FORÇA JOVEM AQUIDABÃ;sergipe;-10.3114;-37.0514;Aquidabã;Estádio Municipal Manoel Anacleto;11;7;22;40
FARROUPILHA;rio_grande_do_sul;-31.7654;-52.3376;Pelotas;Estádio Nicolau Fico;8;11;21;40
NÁUAS;acre;-7.6319;-72.6764;Cruzeiro do Sul;Estádio Arena do Juruá;8;5;27;40
IVINHEMA;mato_grosso_do_sul;-22.3017;-53.8156;Ivinhema;Estádio Saraivão;17;8;15;40
SETE DE SETEMBRO;pernambuco;-8.8917;-36.4919;Garanhuns;Estádio Gigante do Agreste;10;11;19;40
PALMEIRA DE GOIANINHA;rio_grande_do_norte;-6.26667;-35.2083;Goianinha;Estádio Nazarenão;10;11;19;40
GRÊMIO MARINGÁ;parana;-23.421;-51.9331;Maringá;Estádio Regional Willie Davids;16;8;16;40
GUARANI V. AIRES;rio_grande_do_sul;-29.6083;-52.1817;Venâncio Aires;Estádio Edmundo Feix;28;8;4;40
CLIPER;amazonas;-3.119;-60.0217;Manaus;Estádio Ismael Benigno;10;11;18;39
CHAPADINHA;maranhao;-3.7417;-43.3533;Chapadinha;Estádio Lucídio Frazão;13;8;18;39
SERRANENSE;minas_gerais;-19.8736;-44.9833;Nova Serrana;Arena do Calçado;6;9;24;39
CORUMBAENSE;mato_grosso_do_sul;-19.0053;-57.6473;Corumbá;Estádio Arthur Marinho;13;11;15;39
PINHEIRENSE;para;-1.4558;-48.4902;Belém;Estádio Abelardo Conduru;15;11;13;39
PLANALTINA;distrito_federal;-15.6236;-47.6733;Planaltina;Estádio Adonir Guimarães;17;8;14;39
CORITIBA;sergipe;-25.4296;-49.2719;Curitiba;Estádio Major Antônio Couto Pereira;9;6;24;39
ORATÓRIO;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;16;9;14;39
NITEROIENSE;rio_de_janeiro;-22.8833;-43.1036;Niterói;Estádio Municipal de Niterói;20;11;8;39
HOPE INTERNACIONAL;parana;-25.4583;-49.3875;Campo Largo;Estádio Atílio Gionédis;8;10;20;38
JAGUAR;pernambuco;-8.1133;-35.0133;Jaboatão dos Guararapes;Estádio Jefferson de Freitas;15;5;18;38
CERES;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio João Francisco dos Santos;15;9;14;38
LEGIÃO;distrito_federal;-15.7939;-47.8828;Brasília;Estádio Nacional de Brasília Mané Garrincha;11;6;21;38
ITABORAÍ PROFUTE;rio_de_janeiro;-22.7475;-42.8553;Itaboraí;Estádio Municipal Alziro de Almeida;11;3;24;38
ATLÉTICO PERNAMBUCANO;pernambuco;-7.8517;-35.2442;Carpina;Estádio Paulo Petribu;10;7;20;37
ASTER BRASIL;espirito_santo;-20.3155;-40.3128;Vitória;Estádio Kleber Andrade;10;12;15;37
ANDIRÁ;acre;-9.9749;-67.8243;Rio Branco;Estádio Arena da Floresta;7;4;26;37
CRATEÚS;ceara;-5.1786;-40.6775;Crateús;Estádio Municipal Helvídio Bezerra de Carvalho;14;11;12;37
GAVIÃO KYIKATEJÊ;para;-5.3575;-49.1233;Marabá;Estádio Municipal Zinho de Oliveira;8;10;19;37
ARAGUACEMA;tocantins;-8.8139;-49.5636;Araguacema;Estádio Municipal de Araguacema;12;9;15;36
AE PARACATU;minas_gerais;-17.2217;-46.8756;Paracatu;Estádio Frei Norberto;12;14;10;36
UNIÃO;mato_grosso_do_sul;-20.4428;-54.6464;Campo Grande;Estádio Jacques da Luz;7;5;24;36
AMPARO;sao_paulo;-22.7033;-46.7619;Amparo;Estádio José de Araújo Cintra;13;7;16;36
UNIÃO PARAENSE;para;-5.3575;-49.1233;Marabá;Estádio Zinho de Oliveira;9;12;15;36
SANTOS;para;-1.4558;-48.4902;Belém;Estádio Olímpico do Pará;13;9;14;36
VIANA;maranhao;-3.2233;-45.0019;Viana;Estádio Daniel Filho;11;5;20;36
DOCE MEL;bahia;-14.1375;-39.7375;Ipiaú;Estádio Pedro Caetano;5;13;18;36
BATALHÃO;tocantins;-10.2128;-48.3603;Palmas;Estádio Nilton Santos;14;7;15;36
BOSTON CITY BRASIL;minas_gerais;-20.2639;-42.0353;Manhuaçu;Estádio JK;8;8;20;36
FERROVIÁRIO DO CABO;pernambuco;-8.2933;-35.0358;Cabo de Santo Agostinho;Estádio Gileno de Carli;6;12;18;36
NOVOPERÁRIO;mato_grosso_do_sul;-20.4428;-54.6461;Campo Grande;Estádio Jacques da Luz;8;9;19;36
MOSSORÓ;rio_grande_do_norte;-5.1875;-37.3442;Mossoró;Estádio Nogueirão;18;5;13;36
AMÉRICA;pernambuco;-8.0543;-34.8813;Recife;Estádio Ademir Cunha;18;9;8;35
POCONÉ;mato_grosso;-16.2567;-56.6228;Poconé;Estádio Municipal Neco Falcão;8;11;16;35
BARCELONA ESPORTIVO;sao_paulo;-23.5505;-46.6333;São Paulo;Estádio Municipal Giglio Portugal Pichinin;4;9;22;35
SPARTAX;paraiba;-7.115;-34.8642;João Pessoa;Estádio Almeidão;10;9;16;35
BRASÍLIA;distrito_federal;-15.7939;-47.8828;Brasília;Estádio Nacional de Brasília Mané Garrincha;17;5;13;35
ATLÉTICO CARIOCA;rio_de_janeiro;-22.8222;-43.0522;São Gonçalo;Estádio Municipal Alziro de Almeida;13;9;13;35
SANTACRUZENSE;sao_paulo;-22.8967;-49.6314;Santa Cruz do Rio Pardo;Estádio Municipal Leônidas Camarinha;5;8;22;35
INTER DE MINAS;minas_gerais;-20.0733;-44.5786;Itaúna;Estádio José Flávio de Carvalho;13;11;11;35
ATLÉTICO PARAENSE;para;-6.0714;-49.9022;Parauapebas;Estádio Rosenão;18;7;9;34
JC FUTEBOL CLUBE;amazonas;-3.1431;-58.4442;Itacoatiara;Estádio Municipal Floro de Mendonça;6;6;22;34
CRUZEIRO;rio_grande_do_sul;-29.9514;-51.0925;Cachoeirinha;Arena Cruzeiro;22;6;6;34
NOVA PRATA;rio_grande_do_sul;-28.7811;-51.6089;Nova Prata;Estádio Municipal Mario Cini;4;7;23;34
APAFUT;rio_grande_do_sul;-29.1678;-51.1794;Caxias do Sul;Estádio Centenário;8;12;14;34
ARACAJU;sergipe;-10.9111;-37.0717;Aracaju;Arena Batistão;9;5;20;34
TUPY;goias;-15.8653;-50.8753;Jussara;Estádio Geraldo Rodrigues;14;11;9;34
AD CARMÓPOLIS;sergipe;-10.5358;-37.0936;Carmópolis;Estádio Fernando França;12;9;13;34
ESPORTE LIMOEIRO;ceara;-5.1478;-38.0975;Limoeiro do Norte;Estádio Municipal José Bandeira de Lavor;5;8;20;33
UNIRB;bahia;-12.1392;-38.4214;Alagoinhas;Estádio Carneirão;9;16;8;33
1° DE MAIO;pernambuco;-9.3933;-40.5008;Petrolina;Estádio Paulo de Souza Coelho;6;10;17;33
BELO JARDIM;pernambuco;-8.3386;-36.4136;Belo Jardim;Estádio José Bezerra de Mendonça;9;7;17;33
ITZ SPORT;maranhao;-5.5264;-47.4917;Imperatriz;Estádio Frei Epifânio D'Abadia;9;10;14;33
JACOBINENSE;bahia;-11.1825;-40.5086;Jacobina;Estádio José Rocha;9;6;18;33
JARAGUÁ;santa_catarina;-26.4847;-49.075;Jaraguá do Sul;Estádio João Marcatto;7;4;22;33
SABUGY;paraiba;-6.86667;-36.9167;Santa Luzia;Estádio Municipal de Santa Luzia;5;4;24;33
IZABELENSE;para;-1.3008;-48.1617;Santa Izabel do Pará;Estádio Edilson Abreu;11;10;11;32
SPORT ATIBAIA;sao_paulo;-23.1153;-46.5503;Atibaia;Estádio Municipal Salvador Russani;10;13;9;32
RED BULL BRAGANTINO II;sao_paulo;-22.9533;-46.5422;Bragança Paulista;Estádio Nabi Abi Chedid;14;7;11;32
MARAU;rio_grande_do_sul;-28.4489;-52.1917;Marau;Estádio Carlos Renato Bebber;0;5;27;32
BOTAFOGO;sergipe;-11.4722;-37.7458;Cristinápolis;Estádio Geraldo Oliveira;4;8;19;31
ATL. TRÊS CORAÇÕES;minas_gerais;-21.6967;-45.2533;Três Corações;Estádio Municipal Elias Arbex;8;4;19;31
IRANDUBA;amazonas;-3.2725;-60.1889;Iranduba;Estádio Álvaro Maranhão;4;8;19;31
OSVALDO CRUZ;sao_paulo;-21.7967;-50.8667;Osvaldo Cruz;Estádio Municipal Breno Ribeiro do Val;9;9;13;31
TARUMÃ;amazonas;-3.119;-60.0217;Manaus;Estádio Ismael Benigno;9;6;16;31
RIO VERDE;goias;-17.7919;-50.9244;Rio Verde;Estádio Mozart Veloso do Carmo;12;10;9;31
ESMAC;para;-1.3636;-48.3756;Ananindeua;Estádio Francisco Vasques;9;10;12;31
UNIÃO;ceara;-3.71722;-38.54333;Fortaleza;Estádio Presidente Vargas;8;7;16;31
PARAENSE;para;-1.4558;-48.4902;Belém;Estádio Olímpico do Pará;10;7;14;31
TUPAN;maranhao;-2.5307;-44.3068;São Luís;Estádio Governador João Castelo;11;7;13;31
PEDREIRA;para;-1.4558;-48.4902;Belém;Estádio Olímpico do Pará;7;11;13;31
CABENSE;pernambuco;-8.2936;-35.0356;Cabo de Santo Agostinho;Estádio Gileno de Carli;5;9;17;31
VISÃO CELESTE;rio_grande_do_norte;-5.9108;-35.2633;Parnamirim;Estádio Tenente Luiz Gonzaga;11;5;15;31
VILA RICA;para;-1.4558;-48.4902;Belém;Estádio Olímpico do Pará;8;6;17;31
RIACHÃO;sergipe;-11.05;-37.7333;Riachão do Dantas;Estádio Municipal de Riachão do Dantas;7;12;12;31
QUIXADÁ;ceara;-4.9711;-39.0153;Quixadá;Estádio Abilhão;19;6;6;31
VILHENENSE;rondonia;-12.7414;-60.1458;Vilhena;Estádio Portal da Amazônia;8;12;10;30
12 HORAS;rio_grande_do_sul;-30.0346;-51.2177;Porto Alegre;Estádio Passo d'Areia;7;6;17;30
ITARARÉ;sao_paulo;-24.1136;-49.3325;Itararé;Estádio Vergínio Holtz;11;11;8;30
JAGUARÉ;espirito_santo;-18.9056;-40.0817;Jaguaré;Estádio Conilon;18;8;4;30
ARAGUAÍNA;tocantins;-7.1914;-48.2053;Araguaína;Estádio Municipal José de Oliveira Leal;14;8;8;30
PROPRIÁ;sergipe;-10.2067;-36.8356;Propriá;Estádio Durval Feitosa;11;9;10;30
FONTE NOVA;para;-1.4558;-48.4902;Belém;Estádio Estadual Jornalista Edgar Augusto Proença;10;12;8;30
POMBAL;paraiba;-6.7675;-37.8028;Pombal;Estádio José Cavalcanti;11;5;14;30
FORTE;espirito_santo;-20.3155;-40.3128;Vitória;Estádio Salvador Costa;10;8;12;30
ESPORTE;paraiba;-7.0233;-37.2753;Patos;Estádio José Cavalcanti;17;6;7;30
ALVORADA;amazonas;-3.119;-60.0217;Manaus;Estádio Carlos Zamith;14;4;12;30
GARIBALDI;rio_grande_do_sul;-29.2553;-51.5336;Garibaldi;Estádio Alcides Santa Rosa;12;3;15;30
RIOSTRENSE;rio_de_janeiro;-22.5225;-41.9436;Rio das Ostras;Estádio Municipal Julieta Carvalho Viana;10;3;16;29
MESQUITA;rio_de_janeiro;-22.7811;-43.4358;Mesquita;Estádio Giulite Coutinho;7;4;18;29
CÁCERES;mato_grosso;-16.0708;-57.675;Cáceres;Estádio Geraldão;11;8;10;29
NACIONAL UBERABA;minas_gerais;-19.7489;-47.9333;Uberaba;Estádio Uberabão;10;6;13;29
SPORT BELÉM;para;-1.4558;-48.4902;Belém;Estádio Olímpico do Pará;11;2;16;29
IMPÉRIO SERRANO;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;;19;7;3;29
ARAXÁ;minas_gerais;-19.5908;-46.9436;Araxá;Estádio Fausto Alvim;13;10;6;29
UNAÍ;minas_gerais;-16.3575;-46.9058;Unaí;Estádio Urbano Adjuto;9;7;13;29
FLAMENGO;sergipe;-10.9167;-37.05;Aracaju;Arena Batistão;12;3;14;29
AMÉRICA;goias;-17.7317;-49.1022;Morrinhos;Estádio João Vilela;6;11;12;29
REAL;roraima;0.8167;-60.2167;São Luiz do Anauá;Estádio Flamarion Vasconcelos;10;9;10;29
CAMPO GRANDE;ceara;-7.2297;-39.3225;Juazeiro do Norte;Estádio Mauro Sampaio;9;5;15;29
TIRADENTES;para;-1.4558;-48.4902;Belém;Estádio Olímpico do Pará;5;4;20;29
FLAMENGO;pernambuco;-8.4211;-37.0586;Arcoverde;Estádio Municipal Áureo Bradley;14;1;13;28
TIROL;ceara;-3.71722;-38.54333;Fortaleza;Estádio Presidente Vargas;13;8;7;28
GRÊMIO PAGUE MENOS;ceara;-3.7319;-38.5267;Fortaleza;Estádio Presidente Vargas;11;9;8;28
RONDONIENSE;rondonia;-8.7619;-63.9039;Porto Velho;Estádio Aluízio Ferreira;4;5;19;28
GUARANY;alagoas;-9.6658;-35.7353;Maceió;Estádio Rei Pelé;15;7;6;28
IMBITUBA;santa_catarina;-28.2428;-48.671;Imbituba;Estádio Emília Mendes Rodrigues;10;6;12;28
ADESG;acre;-10.1475;-67.7364;Senador Guiomard;Estádio Naborzão;11;9;8;28
BACABAL;maranhao;-4.2264;-44.7819;Bacabal;Estádio José Corrêa;6;6;16;28
SESP SAMAMBAENSE;distrito_federal;-15.8786;-48.0506;Samambaia;Estádio Rorizão;9;4;15;28
URUAÇU;goias;-14.5225;-49.1417;Uruaçu;Estádio Serra Grande;12;8;8;28
ATLÉTICO;rio_grande_do_sul;-28.2464;-52.7853;Carazinho;Estádio Paulo Coutinho;6;0;21;27
CDC DA AMAZÔNIA;amazonas;-3.2958;-60.6214;Manacapuru;Estádio Gilberto Mestrinho;5;6;16;27
VILHENA;rondonia;-12.7414;-60.1458;Vilhena;Estádio Portal da Amazônia;7;5;15;27
PARAUAPEBAS;para;-6.0717;-49.9022;Parauapebas;Estádio Rosenão;15;7;5;27
BELA VISTA;rio_de_janeiro;-22.8214;-43.0511;São Gonçalo;Estádio Alzirão;2;2;23;27
LUMINENSE;maranhao;-2.53073;-44.3068;São Luís;Estádio Governador João Castelo;9;8;10;27
BELA VISTA;goias;-16.9753;-48.9556;Bela Vista de Goiás;Estádio Geraldo Felipe;10;10;6;26
PIRES DO RIO;goias;-17.2997;-48.2897;Pires do Rio;Estádio Edson Monteiro de Godoy;6;6;14;26
PERILIMA;paraiba;-7.2307;-35.8814;Campina Grande;Estádio Governador Ernani Sátyro;6;8;12;26
SÃO LUÍS;maranhao;-2.5307;-44.3068;São Luís;Estádio Governador João Castelo;10;5;11;26
SERRANO;paraiba;-7.27583;-35.6556;Serra Redonda;Estádio Amigão;7;2;17;26
SANTARRITENSE;minas_gerais;-22.2486;-45.7056;Santa Rita do Sapucaí;Estádio Coronel Erasmo Cabral;8;10;8;26
GUARAÍ;tocantins;-8.8375;-48.5111;Guaraí;Estádio Municipal Delfino Pereira Lopes;13;7;6;26
QUEIMADOS;rio_de_janeiro;-22.7167;-43.5556;Queimados;Estádio Nivaldo Pereira;5;6;15;26
SUL AMÉRICA;amazonas;-3.119;-60.0217;Manaus;Estádio Ismael Benigno;8;3;15;26
CASTELO;espirito_santo;-20.6025;-41.1833;Castelo;Estádio Emílio Nemer;10;5;11;26
RIACHO CITY;distrito_federal;-15.8833;-48.0167;Riacho Fundo;Estádio Rorizão;6;1;18;25
CASIMIRO DE ABREU;rio_de_janeiro;-22.4736;-42.2058;Casimiro de Abreu;Estádio Gonçalo Ferreira;8;4;13;25
TIRADENTES;piaui;-5.0892;-42.8016;Teresina;Estádio Governador Alberto Tavares Silva;7;6;12;25
GRÊMIO VALPARAÍSO;goias;-16.0636;-47.9753;Valparaíso de Goiás;Estádio Municipal de Valparaíso;9;2;14;25
ATLÉTICO ITAJAÍ;santa_catarina;-26.9083;-48.6667;Itajaí;Estádio Dr. Hercílio Luz;14;4;7;25
ABD;goias;-16.6869;-49.2648;Goiânia;Estádio Olímpico Pedro Ludovico;14;5;6;25
VÊNUS;para;-1.7217;-48.8803;Abaetetuba;Estádio Humberto Parente;6;5;14;25
VILLA REAL;minas_gerais;-21.7644;-43.3494;Juiz de Fora;Estádio Municipal Radialista Mário Helênio;10;4;11;25
LEÔNICO;bahia;-12.9714;-38.5014;Salvador;Estádio de Pituaçu;2;5;17;24
ITAREMA;ceara;-2.9258;-39.9136;Itarema;Estádio Dedezão;5;3;16;24
GLÓRIA;rio_grande_do_sul;-28.5086;-50.9356;Vacaria;Estádio Altos da Glória;14;2;8;24
FUTEBOL COM VIDA;rio_grande_do_sul;-30.0817;-51.0256;Viamão;Estádio Antônio Vieira Ramos;14;2;8;24
DÍNAMO;alagoas;-9.6658;-35.7353;Maceió;Estádio Rei Pelé;2;3;19;24
TERRA E MAR;ceara;-3.7172;-38.5433;Fortaleza;Estádio Presidente Vargas;6;4;13;23
NOVA CONQUISTA;tocantins;-7.1558;-48.7153;Santa Fé do Araguaia;Estádio Municipal de Santa Fé do Araguaia;5;9;9;23
PROGRESSO;roraima;2.4333;-60.9167;Mucajaí;Estádio Flamarion Vasconcelos;0;3;20;23
CAIÇARA;piaui;-4.8264;-42.1678;Campo Maior;Estádio Deusdeth de Melo;6;4;13;23
CACERENSE;mato_grosso;-16.0717;-57.6764;Cáceres;Estádio Geraldão;8;7;7;22
JUAZEIRO;bahia;-9.4125;-40.5033;Juazeiro;Estádio Adauto Moraes;7;10;5;22
ATLÉTICO BATISTENSE;santa_catarina;-27.2833;-48.8486;São João Batista;Estádio Municipal Valério Gomes Neto;4;3;15;22
VÁRZEA GRANDE;mato_grosso;-15.6533;-56.1336;Várzea Grande;Estádio Dito Souza;8;3;11;22
SPARTA;tocantins;-7.1931;-48.2053;Araguaína;Estádio Mirandão;8;5;9;22
PEDRA BRANCA;santa_catarina;-27.6461;-48.6714;Palhoça;Estádio Renato Silveira;8;3;11;22
PORTO;bahia;-16.4497;-39.0647;Porto Seguro;Estádio Municipal Agnaldo Bento dos Santos;8;7;7;22
ARUC;distrito_federal;-15.77972;-47.92972;Brasília;Estádio Defelê;8;4;10;22
NAVEGANTES;santa_catarina;-26.8936;-48.6583;Navegantes;Estádio Municipal Doutor Hercílio Luz;7;1;14;22
CRUZEIRO;paraiba;-7.3025;-38.1553;Itaporanga;Estádio José Cavalcanti;9;5;8;22
NOVO ESPORTE;minas_gerais;-19.4672;-42.5375;Ipatinga;Estádio Ipatingão;9;5;7;21
INTER SM;rio_grande_do_sul;-29.6842;-53.8069;Santa Maria;Estádio Presidente Vargas;14;2;5;21
RB DO NORTE;amazonas;-3.119;-60.0217;Manaus;Estádio Carlos Zamith;6;3;12;21
DESPORTIVA ARACAJU;sergipe;-10.9167;-37.05;Aracaju;Arena Batistão;18;2;1;21
SAMPAIO;roraima;2.8236;-60.6753;Boa Vista;Estádio Flamarion Vasconcelos;4;4;13;21
NÁUTICO;mato_grosso_do_sul;-20.4486;-54.6291;Campo Grande;Estádio Jacques da Luz;6;2;13;21
TRÊS PASSOS;rio_grande_do_sul;-27.4658;-53.9358;Três Passos;Estádio Luiz de Medeiros;7;1;13;21
PORTUGUESA;mato_grosso_do_sul;-20.4486;-54.6291;Campo Grande;Estádio Jacques da Luz;10;6;5;21
FORMOSA;goias;-15.5389;-47.3356;Formosa;Estádio Diogão;7;1;13;21
FEIRENSE;bahia;-12.2667;-38.9667;Feira de Santana;Estádio Joia da Princesa;3;4;13;20
ANDRADINA;sao_paulo;-20.8936;-51.3753;Andradina;Estádio Evandro Brembatti Calvoso;6;1;13;20
IGREJINHA;rio_grande_do_sul;-29.5714;-50.7936;Igrejinha;Estádio Alberto Carlos Schwingel;10;4;6;20
MOGI MIRIM;sao_paulo;-22.4333;-46.9583;Mogi Mirim;Estádio Vail Chaves;2;6;12;20
ESSUBE;minas_gerais;-18.9186;-48.2772;Uberlândia;Parque do Sabiá;7;3;10;20
CRUZEIRO;distrito_federal;-15.7939;-47.9575;Cruzeiro;Estádio Nacional de Brasília Mané Garrincha;6;5;9;20
ATLÉTICO AMAZONENSE;amazonas;-3.119;-60.0217;Manaus;Estádio Ismael Benigno;3;6;10;19
MARACAJU;mato_grosso_do_sul;-21.6119;-55.1681;Maracaju;Estádio Municipal Luiz Gonzaga Prata Braga;6;8;5;19
RIACHUELO;rio_grande_do_norte;-5.8256;-35.8256;Riachuelo;Estádio Municipal de Riachuelo;6;1;12;19
SÃO JOSÉ;tocantins;-10.2128;-48.3606;Palmas;Estádio Nilton Santos;5;4;10;19
TUPY;espirito_santo;-20.3297;-40.2925;Vila Velha;Estádio Gil Bernardes;5;8;6;19
MONTE RORAIMA;roraima;2.8236;-60.6753;Boa Vista;Estádio Flamarion Vasconcelos;9;6;4;19
