clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4
BELFORD ROXO/rio_de_janeiro;-22.764;-43.3992;0.001234443033758022;0;0;0
AMERICA/rio_de_janeiro;-22.9129;-43.2003;0.0012339433005037995;0;0;0
SÃO BENTO/sao_paulo;-23.4969;-47.4451;0.0012222928167484233;0;0;0
CASTANHAL/para;-1.29797;-47.9167;0.0012179083782513994;1;2;2
AUDAX RIO/rio_de_janeiro;-22.8058;-43.3729;0.001207079607563254;0;0;0
SÃO JOSÉ/sao_paulo;-23.1896;-45.8841;0.0012068331932114042;0;0;0
URT/minas_gerais;-18.5853;-46.5181;0.0012059125455232262;0;0;0
ÁGUIA NEGRA/mato_grosso_do_sul;-21.8033;-54.5427;0.001203573890246462;0;0;3
AMERICANO/rio_de_janeiro;-21.7622;-41.3181;0.001203151182860387;0;0;0
REAL BRASÍLIA/distrito_federal;-15.7795;-47.9297;0.001193761816128168;0;0;0
MARACANÃ/ceara;-3.86699;-38.6259;0.001188512226328177;1;1;1
PADUANO/rio_de_janeiro;-22.9129;-43.2003;0.0011875341851859942;0;0;0
INTERPORTO/tocantins;-10.7027;-48.408;0.001187133505557274;1;2;2
GLOBO/rio_grande_do_norte;-5.64323;-35.4247;0.0011864265535585974;1;1;1
TAQUARITINGA/sao_paulo;-21.4049;-48.5103;0.0011825386135852496;0;0;0
OPERÁRIO FERROVIÁRIO/parana;-25.0916;-50.1668;0.0011781851752285762;0;0;3
CEOV OPERÁRIO/mato_grosso;-15.65;-56.1325;0.001175919302277712;0;0;2
LUVERDENSE/mato_grosso;-13.0588;-55.9042;0.0011669855614398154;0;2;2
PÉROLAS NEGRAS/rio_de_janeiro;-22.6289;-43.8972;0.001160229459033463;0;0;0
SERRA/espirito_santo;-20.121;-40.3074;0.0011582964906635266;0;0;0
ICASA/ceara;-7.19621;-39.3076;0.0011566784089083165;1;1;1
IMPERATRIZ/maranhao;-5.51847;-47.4777;0.0011437373483458271;1;2;2
AQUIDAUANENSE/mato_grosso_do_sul;-20.4666;-55.7868;0.0011398968418612127;0;0;3
RESENDE/rio_de_janeiro;-22.4705;-44.4509;0.0011348478552273191;0;0;0
SERRANO/rio_de_janeiro;-22.52;-43.1926;0.0011294521456251907;0;0;0
BOAVISTA/rio_de_janeiro;-22.9292;-42.5099;0.0011279235108187036;0;0;0
CAUCAIA/ceara;-3.72797;-38.6619;0.0011255574570259493;1;1;1
CALDENSE/minas_gerais;-21.78;-46.5692;0.0011200827443830993;0;0;0
CABOFRIENSE/rio_de_janeiro;-22.8894;-42.0286;0.0011166969098404525;0;0;0
BELA VISTA/tocantins;-6.1219;-47.9211;0.0011135512713906133;1;2;2
NACIONAL/amazonas;-3.11866;-60.0212;0.0011113281456736424;1;2;2
HUMAITÁ/acre;-9.58138;-67.5478;0.0011090313214040884;0;2;2
UNIÃO RONDONÓPOLIS/mato_grosso;-16.4673;-54.6372;0.001108326268932186;0;0;0
ANAPOLINA/goias;-16.3281;-48.953;0.0011055824687796866;0;0;0
RIO BRANCO/acre;-9.974;-67.8076;0.0010995165664787867;0;2;2
ALECRIM/rio_grande_do_norte;-5.79357;-35.1986;0.0010862888454212455;1;1;1
PORTO VITÓRIA/espirito_santo;-20.3155;-40.3128;0.0010789185150854915;0;0;0
CATANDUVA/sao_paulo;-21.1314;-48.977;0.0010752615650394264;0;0;0
UNIVASSOURAS ARTSUL/rio_de_janeiro;-22.7556;-43.4603;0.0010742619779999965;0;0;0
GRÊMIO ANÁPOLIS/goias;-16.3281;-48.953;0.0010669240563573156;0;0;0
FALCON/sergipe;-10.9091;-37.0677;0.001065639154403423;1;1;1
BANGU/rio_de_janeiro;-22.9129;-43.2003;0.0010647581145276138;0;0;0
GOIANÉSIA/goias;-15.3118;-49.1162;0.001057165816822888;0;0;0
VOCEM/sao_paulo;-22.6622;-50.4181;0.001055478074780131;0;0;3
BARRA/sergipe;-10.91;-37.0317;0.0010540345573266134;1;1;1
CRUZEIRO/rio_grande_do_sul;-29.95;-51.0833;0.0010468709011752888;0;0;3
SÃO BORJA/rio_grande_do_sul;-28.6578;-56.0036;0.0010437134026557407;0;0;3
CRAC/goias;-18.1658;-47.9461;0.0010426706144050627;0;0;0
PETROLINA/pernambuco;-9.38866;-40.5027;0.001042085154036952;1;1;1
IPORÁ/goias;-16.4398;-51.118;0.0010351161782560646;0;0;0
NOROESTE/sao_paulo;-22.3246;-49.0871;0.0010327872919738642;0;0;0
IPATINGA/minas_gerais;-19.4703;-42.5476;0.0010310148400319396;0;0;0
FRANCANA/sao_paulo;-20.5352;-47.4039;0.001028607766609234;0;0;0
CSE/alagoas;-9.40568;-36.6328;0.0010278359298280322;1;1;1
RIO BRANCO DE VENDA NOVA/espirito_santo;-20.327;-41.1355;0.0010211089371922348;0;0;0
PACAJUS/ceara;-4.17107;-38.465;0.0010207045541293083;1;1;1
POTIGUAR/rio_grande_do_norte;-5.18374;-37.3474;0.0010200795533113905;1;1;1
MARÍLIA/sao_paulo;-22.2171;-49.9501;0.0010186604095281486;0;0;3
CAMETÁ/para;-2.24295;-49.4979;0.001013908563571134;1;2;2
MONTE AZUL/sao_paulo;-20.9065;-48.6387;0.0010060872289804654;0;0;0
VELO CLUBE/sao_paulo;-22.4114;-47.5614;0.0010007360468211519;0;0;0
COMERCIAL/mato_grosso_do_sul;-20.7849;-51.7007;0.001000124055768575;0;0;3
OLÍMPICO/sergipe;-11.2693;-37.7875;0.0009943008252477695;1;1;1
MAMORÉ/minas_gerais;-18.5699;-46.5013;0.0009942170127268564;0;0;0
FLAMENGO/sao_paulo;-23.4538;-46.5333;0.000993429796585061;0;0;0
PAULISTA/sao_paulo;-23.1852;-46.8974;0.0009916856993811242;0;0;0
CENTRO OESTE/goias;-15.9333;-50.14;0.0009881951118381603;0;0;0
AYMORÉS/minas_gerais;-21.1206;-42.9422;0.0009811981527603967;0;0;0
MACAPÁ/amapa;0.034934;-51.0694;0.000980201891897307;1;2;2
PARAGOMINAS/para;-3.00212;-47.3527;0.0009790907118782095;1;2;2
CA VOTUPORANGUENSE/sao_paulo;-20.4222;-49.9725;0.0009773707840596679;0;0;0
PALMAS/tocantins;-10.1844;-48.3336;0.000974828283144245;1;2;2
MONSOON/rio_grande_do_sul;-29.75;-50.0167;0.0009731533762723244;0;0;3
BRAGANTINO/para;-1.06126;-46.7826;0.0009722083285549322;1;2;2
BONSUCESSO/rio_de_janeiro;-22.9129;-43.2003;0.0009705265640226931;0;0;0
BOA ESPORTE/minas_gerais;-21.5556;-45.4364;0.0009701930879450559;0;0;0
CAPIVARIANO/sao_paulo;-22.9951;-47.5071;0.0009687061326111568;0;0;0
UNIÃO BARBARENSE/sao_paulo;-23.5208;-46.1854;0.0009589327174555447;0;0;0
AGUIA DE MARABA/para;-5.38075;-49.1327;0.0009542912189041044;1;2;2
NACIONAL/sao_paulo;-23.5329;-46.6395;0.000950256575526468;0;0;0
PENAPOLENSE/sao_paulo;-21.4148;-50.0769;0.000948372881603977;0;0;0
ITAPIRENSE/sao_paulo;-22.4357;-46.8224;0.0009453602657315169;0;0;0
INDEPENDENTE DE LIMEIRA/sao_paulo;-22.566;-47.397;0.0009432701632682072;0;0;0
JI-PARANÁ/rondonia;-10.8777;-61.9322;0.000942912606768345;0;2;2
GUARANI V. AIRES/rio_grande_do_sul;-29.6103;-52.1906;0.0009412850232531432;0;0;3
MURICI/alagoas;-9.30682;-35.9428;0.0009386375818578988;1;1;1
REAL ARIQUEMES/rondonia;-9.90571;-63.0325;0.0009380076554786519;0;2;2
GOYTACAZ/rio_de_janeiro;-21.7622;-41.3181;0.0009353654101475111;0;0;0
DESPORTIVA FERROVIÁRIA/espirito_santo;-20.3375;-40.3847;0.0009352862866238586;0;0;0
GOIÂNIA/goias;-16.6864;-49.2643;0.0009332656893979444;0;0;0
TUPYNAMBÁS/minas_gerais;-21.7595;-43.3398;0.000931477565580546;0;0;0
SÃO RAIMUNDO/para;-2.43849;-54.6996;0.0009309083911812965;1;2;2
SANTOS/amapa;0.034934;-51.0694;0.0009303371429007293;1;2;2
CANAÃ/para;-6.495;-49.8731;0.0009266532689157831;1;2;2
INHUMAS/goias;-16.3611;-49.5001;0.0009265448273933152;0;0;0
MAUÁ/sao_paulo;-23.6678;-46.4614;0.0009264662437140566;0;0;0
SANTA CRUZ DE NATAL/rio_grande_do_norte;-6.22475;-36.0193;0.0009240052019565488;1;1;1
GALVEZ/acre;-9.974;-67.8076;0.0009189345623347853;0;2;2
VILLA NOVA/minas_gerais;-19.9758;-43.8509;0.0009167479824945625;0;0;0
AZURIZ FUTEBOL/parana;-26.2292;-52.6706;0.0009164423606346051;0;0;3
JUVENTUS/sao_paulo;-23.5329;-46.6395;0.0009154268084457058;0;0;0
RIO CLARO/sao_paulo;-22.4114;-47.5614;0.0009148388429386992;0;0;0
GAZIN PORTO VELHO/rondonia;-8.76077;-63.8999;0.0009135194335924258;0;2;2
ÁGUIA/para;-5.38075;-49.1327;0.0009123191248794096;1;2;2
PRIMAVERA/sao_paulo;-23.0816;-47.2101;0.0009098255933404348;0;0;0
ITABUNA/bahia;-14.7876;-39.2781;0.0009091985121529599;1;1;1
GOIATUBA/goias;-18.0105;-49.3658;0.0009084835835799781;0;0;0
UNI SOUZA/rio_de_janeiro;-22.8669;-43.3458;0.0009058781745621988;0;0;0
GONÇALENSE/rio_de_janeiro;-22.5047;-43.1814;0.0009032161849025271;0;0;0
AFOGADOS DA INGAZEIRA/pernambuco;-7.74312;-37.631;0.0009018595327010476;1;1;1
DESPORTIVO BRASIL/sao_paulo;-23.2093;-47.5251;0.0009017182211400628;0;0;0
NORTH ESPORTE CLUBE/minas_gerais;-16.7244;-43.8617;0.0008958969819870442;0;0;0
TRINDADE/goias;-16.6517;-49.4927;0.0008936257661115597;0;0;0
NACIONAL ATL. MURIAÉ/minas_gerais;-21.13;-42.3693;0.0008928065655105548;0;0;0
CRUZEIRO/alagoas;-9.75164;-36.6604;0.0008909121411560971;1;1;1
GUARANY/sergipe;-9.91626;-37.2842;0.0008880477018278816;1;1;1
INDEPENDENTE/amapa;-0.0583;-51.1817;0.0008863719410593362;1;2;2
TAUBATÉ/sao_paulo;-23.0104;-45.5593;0.000880847561186916;0;0;0
GURUPI/tocantins;-11.7279;-49.068;0.0008791954522349497;1;2;2
PRINCESA/amazonas;-3.29066;-60.6216;0.0008777100266332608;1;2;2
UNIÃO ATLÉTICO/tocantins;-7.1925;-48.2078;0.0008758481995066434;1;2;2
VASCO/rio_de_janeiro;-22.9129;-43.2003;0.0008740958321899271;0;0;0
SÃO RAIMUNDO/amazonas;-3.11866;-60.0212;0.0008716266339812574;1;2;2
FRIBURGUENSE/rio_de_janeiro;-22.2932;-42.5377;0.0008714456824719697;0;0;0
VARGINHA/minas_gerais;-21.5597;-45.4389;0.0008711092151266857;0;0;0
CAMPO GRANDE/rio_de_janeiro;-22.9129;-43.2003;0.0008690852657881077;0;0;0
SALGUEIRO/pernambuco;-8.07373;-39.1247;0.0008667095336529425;1;1;1
UNIÃO SUZANO/sao_paulo;-23.5208;-46.1854;0.0008651946125194447;0;0;0
INTER DE BEBEDOURO/sao_paulo;-20.9491;-48.4791;0.00086275639189206;0;0;0
UBERABA/minas_gerais;-19.7472;-47.9381;0.0008622924205017723;0;0;0
PORTUGUESA SANTISTA/sao_paulo;-23.5329;-46.6395;0.0008620637169657225;0;0;0
SÃO GONÇALO/rio_de_janeiro;-22.8268;-43.0634;0.0008617842106318218;0;0;0
REAL SPORT CLUB/rio_grande_do_sul;-29.7642;-50.0282;0.0008605885770988162;0;0;3
GE BRASIL/rio_grande_do_sul;-29.2227;-51.3419;0.0008572478577497918;0;0;3
RIO GRANDE/rio_grande_do_sul;-32.0349;-52.1071;0.0008571741940565709;0;0;3
ATLÉTICO GLORIENSE/sergipe;-10.1172;-37.4528;0.0008563637731729798;1;1;1
AMÉRICA/sergipe;-10.2138;-36.8442;0.000855626326056647;1;1;1
SÃO FRANCISCO/para;-2.43849;-54.6996;0.000854227872219505;1;2;2
PARANOÁ/distrito_federal;-15.7744;-47.7817;0.0008519995078517505;0;0;0
GUANABARA CITY/goias;-16.6864;-49.2643;0.0008519460988143466;0;0;0
ITABIRITO/minas_gerais;-20.2528;-43.8053;0.0008519443856980842;0;0;0
ZUMBI/alagoas;-9.15921;-36.0223;0.0008516114241134074;1;1;1
AMAZÔNIA INDEPENDENTE/para;-2.63609;-54.9374;0.0008494149837162392;1;2;2
BANDEIRANTE/sao_paulo;-21.291;-50.3432;0.0008470232415159855;0;0;0
NACIONAL/paraiba;-6.98731;-34.8284;0.0008459959902614981;1;1;1
LINENSE/sao_paulo;-21.6718;-49.7526;0.0008398796771375015;0;0;0
BARCELONA DE ILHÉUS/bahia;-14.7935;-39.0331;0.0008316527548176547;1;1;1
JEQUIÉ/bahia;-13.8583;-40.0825;0.0008311673567098269;1;1;1
SKA BRASIL/sao_paulo;-23.4447;-46.9189;0.0008298844570060703;0;0;0
SÃO CAETANO/sao_paulo;-23.6229;-46.5548;0.0008291207633260831;0;0;0
HORIZONTE/ceara;-4.1025;-38.4875;0.000828759092517382;1;1;1
BARRETOS/sao_paulo;-20.5531;-48.5698;0.0008281443620371384;0;0;0
BARRA DA TIJUCA/rio_de_janeiro;-22.4165;-42.9752;0.000828012645980685;0;0;0
TIMON/piaui;-5.09769;-42.8329;0.0008263692935870059;1;1;1
ATLÉTICO/ceara;-3.71664;-38.5423;0.0008259855892665911;1;1;1
CAETÉ/para;-1.0536;-46.7656;0.0008233844139630623;1;2;2
RIO DE JANEIRO/rio_de_janeiro;-22.9129;-43.2003;0.0008214064464275973;0;0;0
GAÚCHO/rio_grande_do_sul;-28.2576;-52.4091;0.0008209277357628083;0;0;3
CAPITÃO POÇO/para;-1.7456;-47.0575;0.0008199352199915952;1;2;2
IAPE/maranhao;-2.5307;-44.3068;0.0008193086737022206;1;1;1
YPIRANGA/amapa;0.034934;-51.0694;0.0008187200533670204;1;2;2
NAVIRAIENSE/mato_grosso_do_sul;-23.0618;-54.1995;0.0008165250595882457;0;0;3
FOZ DO IGUAÇU/parana;-26.2273;-51.0873;0.000815456696779944;0;0;3
COMERCIAL/sao_paulo;-21.1699;-47.8099;0.0008083411225108843;0;0;0
FLUMINENSE DE FEIRA/bahia;-12.2664;-38.9663;0.0008048211429747259;1;1;1
JUVENTUDE/maranhao;-4.0417;-44.4717;0.0008042347015699348;1;1;1
CARAPEBUS/rio_de_janeiro;-22.1821;-41.663;0.0008032490942478948;0;0;0
COIMBRA/minas_gerais;-19.9102;-43.9266;0.0008019944283993799;0;0;0
NAÇÃO/santa_catarina;-26.3045;-48.8487;0.000801922166838839;0;0;3
VITÓRIA DAS TABOCAS/pernambuco;-8.1136;-35.2956;0.0008014768894724253;1;1;1
MINEIROS/goias;-17.5654;-52.5537;0.0008003507794221388;0;0;0
MADUREIRA/rio_de_janeiro;-22.9129;-43.2003;0.0007997570628567845;0;0;0
CORURIPE/alagoas;-10.1276;-36.1717;0.000799393601737393;1;1;1
CONCÓRDIA/santa_catarina;-27.2335;-52.026;0.0007975224853392453;0;0;3
GUARANI/minas_gerais;-20.1446;-44.8912;0.0007970044541556374;0;0;0
UNIÃO CACOALENSE/rondonia;-11.4343;-61.4562;0.0007940553786814074;0;2;2
ITAPIPOCA/ceara;-3.49933;-39.5836;0.0007929634302335917;1;1;1
SANTA ROSA/para;-1.4554;-48.4898;0.0007929227759592548;1;2;2
LAGUNA/rio_grande_do_norte;-6.2344;-35.0911;0.0007881939255703717;1;1;1
DORENSE/sergipe;-10.4854;-37.1963;0.0007865169039196778;1;1;1
GAS/roraima;2.8233;-60.675;0.0007834267466984764;1;2;2
CRATO/ceara;-7.2153;-39.4103;0.0007833434843200548;1;1;1
MARANGUAPE/ceara;-3.89143;-38.6829;0.0007830559030606382;1;1;1
PICOS/piaui;-7.07721;-41.467;0.0007763037112474524;1;1;1
VITÓRIA DA CONQUISTA/bahia;-12.9718;-38.5011;0.0007753463403321881;1;1;1
SANTA HELENA/goias;-17.8115;-50.5977;0.0007736818356603158;0;0;0
COLORADO CAIEIRAS/sao_paulo;-23.3639;-46.7411;0.0007724526960348518;0;0;0
CARLOS RENAUX/santa_catarina;-27.0977;-48.9107;0.0007723894670025244;0;0;3
SERC/mato_grosso_do_sul;-18.7836;-52.6178;0.000771108539370151;0;0;0
ATLÉTICO/paraiba;-6.59138;-37.6185;0.0007707307223252334;1;1;1
VERA CRUZ/pernambuco;-8.12819;-35.2976;0.0007698205424366581;1;1;1
NACIONAL/parana;-25.4195;-49.2646;0.0007683371330468301;0;0;3
AMÉRICA/goias;-17.7334;-49.1059;0.000767846122427608;0;0;0
UNIÃO DE RONDONÓPOLIS/mato_grosso;-16.4673;-54.6372;0.000765965476613508;0;0;0
FAST CLUBE/amazonas;-3.119;-60.0217;0.000765127338313791;1;2;2
SERRA MACAENSE/rio_de_janeiro;-22.3768;-41.7848;0.0007648766438649604;0;0;0
GRÊMIO MAUAENSE/sao_paulo;-23.6677;-46.4613;0.0007640188711359332;0;0;0
SÃO PAULO CRYSTAL/paraiba;-7.1517;-35.0847;0.0007587679021529965;1;1;1
SÃO PAULO/rio_grande_do_sul;-32.0349;-52.1071;0.000752599114048132;0;0;3
SANTA CATARINA/santa_catarina;-27.2156;-49.643;0.0007524104674190895;0;0;3
ANDRAUS/parana;-25.4578;-49.5297;0.0007521009447496205;0;0;3
DOM BOSCO/mato_grosso;-15.601;-56.0974;0.0007517220244777346;0;0;2
SERTÃOZINHO/sao_paulo;-21.1316;-47.9875;0.000751103256403464;0;0;0
BELA VISTA/goias;-16.9733;-48.9525;0.000750578588745427;0;0;0
FREI PAULISTANO/sergipe;-10.5513;-37.5279;0.0007504319717845685;1;1;1
SANTA CRUZ/rio_grande_do_sul;-29.722;-52.4343;0.0007492989182715989;0;0;3
UNIÃO SÃO JOÃO/sao_paulo;-22.3572;-47.3842;0.0007492686643115922;0;0;0
TUPI/minas_gerais;-21.7595;-43.3398;0.0007447730436025388;0;0;0
ATLÉTICO CEARENSE/ceara;-3.71664;-38.5423;0.0007447255070539858;1;1;1
PARAUAPEBAS/para;-6.06781;-49.9037;0.0007441867854349385;1;2;2
PARINTINS/amazonas;-2.6283;-56.7358;0.0007422296084150965;1;2;2
AMÉRICA T.O/minas_gerais;-19.9102;-43.9266;0.0007418530122530913;0;0;0
MACAÉ/rio_de_janeiro;-22.3768;-41.7848;0.0007416975250646402;0;0;0
ZINZA/rio_de_janeiro;-22.9129;-43.2003;0.0007415561057020883;0;0;0
VALERIODOCE/minas_gerais;-19.6239;-43.2312;0.0007363497748823531;0;0;0
JOSEENSE/sao_paulo;-23.3053;-45.9658;0.0007355963443542015;0;0;0
PARANAVAÍ/parana;-23.0816;-52.4617;0.0007332924897322728;0;0;3
JUVENTUS JARAGUÁ/santa_catarina;-26.4851;-49.0713;0.0007317663365158458;0;0;3
SÃO CRISTÓVÃO/rio_de_janeiro;-22.9129;-43.2003;0.0007301123520456706;0;0;0
