clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
PEDREIRA/para;-1.4554;-48.4898;0.0004580952001033;0;2;0;0;0;0
ALVORADA/amazonas;-3.11866;-60.0212;0.0004576409892563;0;2;0;1;2;2
SANTANA/amapa;-0.0583;-51.1817;0.0004483351206973;0;2;0;0;0;0
CLIPER/amazonas;-3.11866;-60.0212;0.0004468422074693;0;2;0;1;2;2
SPORT BELÉM/para;-1.4554;-48.4898;0.0004462021310853;0;2;0;0;0;0
MAZAGÃO/amapa;-0.11336;-51.2891;0.0004423568018691;0;2;0;0;0;0
UNIÃO ATLÉTICO CLUBE/tocantins;-7.1925;-48.2078;0.0004408913995791;0;2;0;0;0;3
PARAENSE/para;-1.36002;-48.3421;0.0004406116065661;0;2;0;0;0;0
NOVA CONQUISTA/tocantins;-10.1753;-48.8839;0.0004313380591588;0;2;0;0;1;3
VILA RICA/para;-1.4554;-48.4898;0.0004249740045148;0;2;0;0;0;0
VASCO DA GAMA/acre;-9.974;-67.8076;0.0004085666510249;1;2;0;1;2;1
OPERÁRIO CEOV/mato_grosso;-15.65;-56.1325;0.0004031094661395;1;2;0;1;1;1
CACERENSE/mato_grosso;-16.0764;-57.6818;0.0003957988419093;1;2;0;1;1;1
PLÁCIDO DE CASTRO/acre;-10.2806;-67.1371;0.0003802782146978;1;2;0;1;2;1
ADESG/acre;-10.1497;-67.7362;0.0003776449687878;1;2;0;1;2;1
REAL/roraima;1.01019;-60.0419;0.0003774397722197;0;2;0;1;2;2
MONTE RORAIMA/roraima;2.82384;-60.6753;0.0003634681807947;0;2;0;1;2;2
IRANDUBA/amazonas;-3.2847;-60.1858;0.0003368042622578;0;2;0;1;2;2
TARUMÃ/amazonas;-3.11866;-60.0212;0.0003367653979646;0;2;0;1;2;2
VILHENA/rondonia;-12.7502;-60.1488;0.0003358864688604;1;2;0;1;1;1
RIO NEGRO/roraima;2.82384;-60.6753;0.0003356957348428;0;2;0;1;2;2
RENOVAÇÃO/amapa;-0.0383;-51.0632;0.0003327235321725;0;2;0;0;0;0
SÃO JOSÉ/tocantins;-10.1844;-48.3336;0.0003270324665236;0;2;0;0;1;3
