clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4
GOIANÉSIA/goias;-15.3167;-49.1256;0.0010952090432292812;0;1;0
CRUZEIRO/rio_grande_do_sul;-29.9514;-51.0925;0.001086988321477802;0;0;2
AIMORÉ/rio_grande_do_sul;-29.7573;-51.1467;0.0010855841039273868;0;0;2
CA PATROCINENSE/minas_gerais;-18.9417;-46.9936;0.0010831135500199867;0;0;0
SÃO BORJA/rio_grande_do_sul;-28.6556;-56.0017;0.0010814046517875493;0;0;2
CAUCAIA/ceara;-3.7361;-38.6531;0.001077370078856873;1;2;3
FRANCANA/sao_paulo;-20.5383;-47.4008;0.0010739224787262285;0;0;0
NOROESTE/sao_paulo;-22.3145;-49.0588;0.0010700534811289553;0;0;2
CA VOTUPORANGUENSE/sao_paulo;-20.4236;-49.9775;0.0010696991402691762;0;0;2
CRAC/goias;-18.1636;-47.9458;0.0010681317833609707;0;0;0
LUVERDENSE/mato_grosso;-12.6058;-55.9192;0.0010660918981219183;0;1;1
BANGU/rio_de_janeiro;-22.9068;-43.1729;0.0010647040771365878;0;0;0
PETROLINA/pernambuco;-9.3932;-40.5072;0.0010594040865918636;1;2;3
COMERCIAL/mato_grosso_do_sul;-20.4486;-54.6291;0.0010583102259511894;0;1;2
MARÍLIA/sao_paulo;-22.2239;-49.9456;0.0010581720057522461;0;0;2
OLÍMPICO/sergipe;-11.2833;-37.7833;0.0010530498361785638;1;2;3
POTIGUAR/rio_grande_do_norte;-5.18833;-37.3478;0.001052210758391551;1;2;3
CAMETÁ/para;-2.2475;-49.4953;0.0010488720713535131;1;1;1
IPORÁ/goias;-16.4417;-51.1172;0.0010466817529612104;0;1;0
CENTRO OESTE/goias;-16.7036;-49.0953;0.001043173888425032;0;1;0
MACAPÁ/amapa;0.0349;-51.0694;0.0010389764325723333;1;1;1
MONTE AZUL/sao_paulo;-20.7539;-48.6486;0.0010383135616899661;0;0;0
VELO CLUBE/sao_paulo;-22.4122;-47.5617;0.0010361132349389814;0;0;0
FLAMENGO/sao_paulo;-23.4538;-46.5332;0.0010318840607683414;0;0;0
PAULISTA/sao_paulo;-23.1857;-46.8916;0.0010304393922790482;0;0;0
BONSUCESSO/rio_de_janeiro;-22.9068;-43.1729;0.001021823836421342;0;0;0
IPATINGA/minas_gerais;-19.4672;-42.5375;0.001015128791980485;0;0;0
COIMBRA/minas_gerais;-19.9319;-44.0539;0.0010115818145862436;0;0;0
CAPIVARIANO/sao_paulo;-23.0017;-47.5056;0.0010057977576594895;0;0;2
PARAGOMINAS/para;-2.9944;-47.3497;0.0010041388772745483;1;1;1
UNIÃO BARBARENSE/sao_paulo;-22.7536;-47.4175;0.000997273657314829;0;0;2
PACAJUS/ceara;-4.1758;-38.4728;0.0009954384599633699;1;2;3
CONCÓRDIA/santa_catarina;-27.2378;-52.0255;0.0009938544148099654;0;0;2
MONSOON/rio_grande_do_sul;-29.7577;-50.0184;0.000991310961994609;0;0;2
BRAGANTINO/para;-1.0536;-46.7653;0.0009907023918466868;1;1;1
PENAPOLENSE/sao_paulo;-21.4136;-50.0756;0.0009886006522814537;0;0;2
ITAPIRENSE/sao_paulo;-22.4358;-46.8217;0.0009884381368582514;0;0;0
NACIONAL/sao_paulo;-23.5505;-46.6333;0.0009860191904218184;0;0;0
GOYTACAZ/rio_de_janeiro;-21.7627;-41.3275;0.0009846515982279448;0;0;0
INDEPENDENTE DE LIMEIRA/sao_paulo;-22.5603;-47.4033;0.0009833900923806223;0;0;0
SÃO RAIMUNDO/para;-2.4431;-54.7083;0.0009809256624386576;1;1;1
SANTOS/amapa;0.0349;-51.0694;0.0009801088088755888;1;1;1
PALMAS/tocantins;-10.2128;-48.3606;0.0009791277395657853;1;1;1
AYMORÉS/minas_gerais;-21.1217;-42.9375;0.0009769117315799158;0;0;0
CANAÃ/para;-6.5033;-49.8767;0.0009766223040954176;1;1;1
INHUMAS/goias;-16.3636;-49.5058;0.0009745298492209156;0;1;0
GOIÂNIA/goias;-16.6869;-49.2647;0.0009706256468656142;0;1;0
CSE/alagoas;-9.4036;-36.6322;0.0009702135607388396;1;2;3
UNI SOUZA/rio_de_janeiro;-22.9068;-43.1729;0.0009578390243464375;0;0;0
GALVEZ/acre;-9.9749;-67.8243;0.0009551747888977605;0;1;1
SANTA CRUZ DE NATAL/rio_grande_do_norte;-5.79448;-35.211;0.0009534570824413289;1;2;3
DESPORTIVA FERROVIÁRIA/espirito_santo;-20.3261;-40.4217;0.0009516398699943201;0;0;0
RIO CLARO/sao_paulo;-22.4125;-47.5633;0.0009496246438788262;0;0;0
JUVENTUS/sao_paulo;-23.5505;-46.6333;0.0009494003314624595;0;0;0
ITABUNA/bahia;-14.7892;-39.2797;0.0009459424691749001;1;2;3
TRINDADE/goias;-16.6486;-49.4889;0.0009441620219059017;0;1;0
PRIMAVERA/sao_paulo;-23.0925;-47.2103;0.000942625479478415;0;0;2
DESPORTIVO BRASIL/sao_paulo;-23.2125;-47.5211;0.0009418395692744293;0;0;2
AGUIA DE MARABA/para;-5.3556;-49.1122;0.0009416588344403954;1;1;1
GUARANY/sergipe;-9.9958;-37.2786;0.000940447785132733;1;2;3
