clube;estado;cidade;lat;lon;ibge;wins;draws;losses;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;cluster_k6;cluster_k7;cluster_k8;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
RIO BRANCO;ES;Vitória;-20.3155;-40.3128;3205309.0;196;120;148;0.0016982394076472;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
TREZE;PB;Campina Grande;-7.22196;-35.8731;2504009.0;56;46;47;0.0016787394708074;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
GAMA;DF;Brasília;-16.0183;-48.0667;5300108.0;56;27;35;0.0016746521013864;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
BAHIA DE FEIRA;BA;Feira de Santana;-12.2664;-38.9663;2910800.0;63;49;46;0.0016378841695669;0;2;2;2;2;2;2;;;;;;;1.0;0.0;1.0
OESTE;SP;Itápolis;-21.5942;-48.8149;3522703.0;142;156;212;0.0016371990565649;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
LAGARTO;SE;Lagarto;-10.9136;-37.6689;2803500.0;53;35;28;0.0016328541373874;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
MARCÍLIO DIAS;SC;Itajaí;-26.9101;-48.6705;4208203.0;218;228;180;0.0016324962026338;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
MOTO CLUB;MA;São Luís;-2.5307;-44.3068;2111300.0;61;43;50;0.0016181265335106;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
MARANHÃO;MA;Bacabal;-4.22447;-44.7832;2101202.0;58;45;28;0.0015836355586901;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
INTER DE LIMEIRA;SP;Caraguatatuba;-23.6125;-45.4125;3510500.0;190;160;216;0.0015635994492244;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
SÃO LUIZ;RS;Ijuí;-28.388;-53.92;4310207.0;156;152;172;0.001551216375521;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
JOINVILLE;SC;Joinville;-26.3045;-48.8487;4209102.0;140;220;186;0.0015481379848931;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
VITÓRIA;ES;Vitória;-20.3155;-40.3128;3205309.0;198;92;116;0.0015142833006812;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
POUSO ALEGRE;MG;Pouso Alegre;-22.2266;-45.9389;3152501.0;158;118;182;0.0015009150698656;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
TREM;AP;Macapá;0.034934;-51.0694;1600303.0;49;27;42;0.0015003453940737;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
OLARIA;RJ;Rio de Janeiro;-22.842143012;-43.26699613;3304557.0;136;90;90;0.0014577794407592;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
FLUMINENSE;PI;Teresina;-5.09194;-42.8034;2211001.0;46;36;42;0.001427690849657;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
MANAUARA;AM;Manaus;-3.11866;-60.0212;1302603.0;50;31;15;0.0014192715790616;0;0;1;1;0;3;7;0.0;1.0;1.0;;;;;;
