clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4;clube;uf;pos
ICASA/ceara;-7.19621;-39.3076;0.0011566784089083;0;0;2;0;0;2;Icasa;CE;2
ALECRIM/rio_grande_do_norte;-5.79357;-35.1986;0.0010862888454212;0;0;2;1;0;0;Alecrim;RN;3
POTIGUAR/rio_grande_do_norte;-5.18374;-37.3474;0.0010200795533113;0;0;2;0;0;2;Potiguar;RN;4
MURICI/alagoas;-9.30682;-35.9428;0.0009386375818578;0;0;2;1;0;0;Murici;AL;5
SANTA CRUZ DE NATAL/rio_grande_do_norte;-6.22475;-36.0193;0.0009240052019565;0;0;2;1;0;0;Santa Cruz De Natal;RN;6
AFOGADOS DA INGAZEIRA/pernambuco;-7.74312;-37.631;0.000901859532701;0;0;2;1;0;2;Afogados Da Ingazeira;PE;7
SALGUEIRO/pernambuco;-8.07373;-39.1247;0.0008667095336529;0;0;2;0;0;2;Salgueiro;PE;8
ZUMBI/alagoas;-9.15921;-36.0223;0.0008516114241134;0;0;2;1;0;0;Zumbi;AL;9
NACIONAL/paraiba;-6.98731;-34.8284;0.0008459959902614;0;0;2;1;0;0;Nacional;PB;10
VITÓRIA DAS TABOCAS/pernambuco;-8.1136;-35.2956;0.0008014768894724;0;0;2;1;0;0;Vitória Das Tabocas;PE;11
LAGUNA/rio_grande_do_norte;-6.2344;-35.0911;0.0007881939255703;0;0;2;1;0;0;Laguna;RN;12
CRATO/ceara;-7.2153;-39.4103;0.00078334348432;0;0;2;0;0;1;Crato;CE;13
ATLÉTICO/paraiba;-6.59138;-37.6185;0.0007707307223252;0;0;2;0;0;2;Atlético;PB;14
VERA CRUZ/pernambuco;-8.12819;-35.2976;0.0007698205424366;0;0;2;1;0;0;Vera Cruz;PE;15
SÃO PAULO CRYSTAL/paraiba;-7.1517;-35.0847;0.0007587679021529;0;0;2;1;0;0;São Paulo Crystal;PB;16
SERRA BRANCA/paraiba;-6.88004;-38.5577;0.0007179990234484;0;0;2;0;0;2;Serra Branca;PB;17
ÍBIS/pernambuco;-7.9408;-34.8722;0.0006877597020244;0;0;2;1;0;0;Íbis;PE;18
FALCON/sergipe;-10.9091;-37.0677;0.0010656391544034;0;0;2;1;1;3;Falcon;SE;1
BARRA/sergipe;-10.91;-37.0317;0.0010540345573266;0;0;2;1;1;3;Barra;SE;2
PETROLINA/pernambuco;-9.38866;-40.5027;0.0010420851540369;0;0;2;0;1;1;Petrolina;PE;3
CSE/alagoas;-9.40568;-36.6328;0.001027835929828;0;0;2;1;1;0;Cse;AL;4
OLÍMPICO/sergipe;-11.2693;-37.7875;0.0009943008252477;0;0;2;1;1;3;Olímpico;SE;5
ITABUNA/bahia;-14.7876;-39.2781;0.0009091985121529;0;0;2;1;1;3;Itabuna;BA;6
CRUZEIRO/alagoas;-9.75164;-36.6604;0.000890912141156;0;0;2;1;1;3;Cruzeiro;AL;7
GUARANY/sergipe;-9.91626;-37.2842;0.0008880477018278;0;0;2;1;1;3;Guarany;SE;8
ATLÉTICO GLORIENSE/sergipe;-10.1172;-37.4528;0.0008563637731729;0;0;2;1;1;3;Atlético Gloriense;SE;9
AMÉRICA/sergipe;-10.2138;-36.8442;0.0008556263260566;0;0;2;1;1;3;América;SE;10
BARCELONA DE ILHÉUS/bahia;-14.7935;-39.0331;0.0008316527548176;0;0;2;1;1;3;Barcelona De Ilhéus;BA;11
JEQUIÉ/bahia;-13.8583;-40.0825;0.0008311673567098;0;0;2;1;1;3;Jequié;BA;12
FLUMINENSE DE FEIRA/bahia;-12.2664;-38.9663;0.0008048211429747;0;0;2;1;1;3;Fluminense De Feira;BA;13
CORURIPE/alagoas;-10.1276;-36.1717;0.0007993936017373;0;0;2;1;1;3;Coruripe;AL;14
DORENSE/sergipe;-10.4854;-37.1963;0.0007865169039196;0;0;2;1;1;3;Dorense;SE;15
VITÓRIA DA CONQUISTA/bahia;-12.9718;-38.5011;0.0007753463403321;0;0;2;1;1;3;Vitória Da Conquista;BA;16
FREI PAULISTANO/sergipe;-10.5513;-37.5279;0.0007504319717845;0;0;2;1;1;3;Frei Paulistano;SE;17
COLO COLO/bahia;-14.793;-39.046;0.0006732533712082;0;0;2;1;1;3;Colo Colo;BA;18
CAUCAIA/ceara;-3.72797;-38.6619;0.0011255574570259;0;0;2;0;2;2;Caucaia;CE;1
PACAJUS/ceara;-4.17107;-38.465;0.0010207045541293;0;0;2;0;2;2;Pacajus;CE;2
HORIZONTE/ceara;-4.1025;-38.4875;0.0008287590925173;0;0;2;0;2;2;Horizonte;CE;3
TIMON/piaui;-5.09769;-42.8329;0.000826369293587;0;0;2;0;2;1;Timon;PI;4
ATLÉTICO/ceara;-3.71664;-38.5423;0.0008259855892665;0;0;2;0;2;2;Atlético;CE;5
IAPE/maranhao;-2.5307;-44.3068;0.0008193086737022;0;0;2;0;2;1;Iape;MA;6
JUVENTUDE/maranhao;-4.0417;-44.4717;0.0008042347015699;0;0;2;0;2;1;Juventude;MA;7
ITAPIPOCA/ceara;-3.49933;-39.5836;0.0007929634302335;0;0;2;0;2;1;Itapipoca;CE;8
