clube_id;clube;estado;lat;lon;cidade;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
JOINVILLE/santa_catarina;Joinville;santa_catarina;-26.3045;-48.8487;Joinville;0.0015421945248419;1;1;0;4;;;;1.0;1.0;3.0;;;
VITÓRIA/espirito_santo;Vitória;espirito_santo;-20.3155;-40.3128;Vitória;0.0015137530192976;1;1;0;0;;;;0.0;2.0;2.0;;;
TREM/amapa;Trem;amapa;0.034934;-51.0694;Macapá;0.001496425377611;0;0;3;3;1.0;0.0;3.0;;;;;;
POUSO ALEGRE/minas_gerais;Pouso Alegre;minas_gerais;-22.2266;-45.9389;Pouso Alegre;0.0014897197660467;1;1;0;0;;;;0.0;2.0;2.0;;;
OLARIA/rio_de_janeiro;Olaria;rio_de_janeiro;-22.842143012;-43.26699613;Rio de Janeiro;0.0014535006704495;1;1;0;0;;;;0.0;2.0;2.0;;;
RÍVER/piaui;Ríver;piaui;-5.09194;-42.8034;Teresina;0.0014412037200732;0;0;3;3;1.0;0.0;0.0;;;;;;
FLUMINENSE/piaui;Fluminense;piaui;-5.09194;-42.8034;Teresina;0.0014396439471251;0;0;3;3;1.0;0.0;0.0;;;;;;
MANAUARA/amazonas;Manauara;amazonas;-3.11866;-60.0212;Manaus;0.0014163437175831;0;0;1;1;0.0;1.0;1.0;;;;;;
ATLÉTICO/bahia;Atlético;bahia;-12.1335;-38.4208;Alagoinhas;0.0014114549186694;0;2;2;2;;;;;;;1.0;0.0;1.0
GRÊMIO PRUDENTE/sao_paulo;Grêmio Prudente;sao_paulo;-22.1207;-51.3925;Presidente Prudente;0.0014022931889899;1;1;0;0;;;;0.0;0.0;1.0;;;
IGUATU/ceara;Iguatu;ceara;-6.36281;-39.2892;Iguatu;0.0014022300036167;0;2;2;2;;;;;;;0.0;1.0;0.0
4 DE JULHO/piaui;4 De Julho;piaui;-4.27157;-41.7716;Piripiri;0.0013887986517974;0;0;3;3;1.0;0.0;0.0;;;;;;
RIO BRANCO/sao_paulo;Rio Branco;sao_paulo;-22.7374;-47.3331;Americana;0.0013811173632273;1;1;0;0;;;;0.0;0.0;1.0;;;
MARICÁ/rio_de_janeiro;Maricá;rio_de_janeiro;-22.9354;-42.8246;Maricá;0.001380392690087;1;1;0;0;;;;0.0;2.0;2.0;;;
PORTUGUESA/sao_paulo;Portuguesa;sao_paulo;-23.5329;-46.6395;São Paulo;0.0013765291961623;1;1;0;0;;;;0.0;0.0;1.0;;;
BARRA/santa_catarina;Barra;santa_catarina;-26.9922;-48.6353;Balneário Camboriú;0.0013619129445367;1;1;0;4;;;;1.0;1.0;3.0;;;
DOURADOS/mato_grosso_do_sul;Dourados;mato_grosso_do_sul;-22.4136;-54.2335;Glória de Dourados;0.0013548463758366;1;1;0;0;;;;0.0;0.0;1.0;;;
CAPITAL CF/distrito_federal;Capital Cf;distrito_federal;-15.8222;-47.9781;Brasília;0.0013295723182223;1;1;0;0;;;;0.0;0.0;0.0;;;
