clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
GUANABARA CITY/goias;-16.6869;-49.2648;0.0009035205194708;0;1;0;1;1;1
INTER DE BEBEDOURO/sao_paulo;-20.9514;-48.4794;0.0009033372221841;0;2;0;1;2;2
MAUÁ/sao_paulo;-23.6672;-46.4614;0.0009032543148654;0;2;0;0;2;2
SÃO GONÇALO/rio_de_janeiro;-22.8222;-43.0533;0.0009009517744612;0;2;0;0;0;0
UNIÃO SUZANO/sao_paulo;-23.5389;-46.3111;0.0008994583463752;0;2;0;0;2;2
NACIONAL ATL. MURIAÉ/minas_gerais;-21.1389;-42.3667;0.0008982651757097;0;2;0;0;0;3
FRIBURGUENSE/rio_de_janeiro;-22.2823;-42.5325;0.0008974340378083;0;2;0;0;0;0
PORTUGUESA SANTISTA/sao_paulo;-23.9608;-46.3333;0.0008951150322045;0;2;0;0;2;2
MAMORÉ/minas_gerais;-18.5833;-46.5167;0.0008836389993305;0;2;0;1;1;1
BARRA DA TIJUCA/rio_de_janeiro;-22.9068;-43.1729;0.0008740287515998;0;2;0;0;0;0
RIO DE JANEIRO/rio_de_janeiro;-22.9068;-43.1729;0.0008691416161169;0;2;0;0;0;0
BARRETOS/sao_paulo;-20.5583;-48.5686;0.0008611419886877;0;2;0;1;2;2
SÃO CAETANO/sao_paulo;-23.6186;-46.5736;0.0008546579544496;0;2;0;0;2;2
PARANOÁ/distrito_federal;-15.8111;-47.7333;0.00085182571736;0;1;0;1;1;1
CARAPEBUS/rio_de_janeiro;-22.1853;-41.6336;0.0008489196659786;0;2;0;0;0;0
NORTH ESPORTE CLUBE/minas_gerais;-16.735;-43.8603;0.0008453737758932;0;0;0;1;1;3
VARGINHA/minas_gerais;-21.56;-45.4325;0.0008420353024323;0;2;0;0;2;2
COMERCIAL/sao_paulo;-21.1775;-47.8103;0.0008399780713926;0;2;0;1;2;2
ITABIRITO/minas_gerais;-20.2486;-43.8044;0.0008298881864644;0;2;0;0;0;3
AMÉRICA/goias;-17.7317;-49.1022;0.00081461465437;0;1;0;1;1;1
GUARANI/minas_gerais;-20.1453;-44.8903;0.0008029784439906;0;2;0;1;2;2
SERRA MACAENSE/rio_de_janeiro;-22.3756;-41.7833;0.0008016782203537;0;2;0;0;0;0
BELA VISTA/goias;-16.9753;-48.9556;0.0007963076621653;0;1;0;1;1;1
COLORADO CAIEIRAS/sao_paulo;-23.3614;-46.7375;0.0007960225062924;0;2;0;0;2;2
MADUREIRA/rio_de_janeiro;-22.9068;-43.1729;0.00078724536996;0;2;0;0;0;0
SERTÃOZINHO/sao_paulo;-21.1333;-47.9833;0.0007846204739694;0;2;0;1;2;2
ZINZA/rio_de_janeiro;-22.9068;-43.1729;0.0007839061742356;0;2;0;0;0;0
UNIÃO SÃO JOÃO/sao_paulo;-22.3586;-47.3803;0.0007837912164484;0;2;0;1;2;2
AMÉRICA T.O/minas_gerais;-17.8583;-41.5056;0.0007759553086879;0;0;0;0;0;3
