clube_id;clube;lat;lon;score;cluster
AYMORÉS/minas_gerais;Aymorés;-21.1206;-42.9422;0.0009811981527603967;0
MACAPÁ/amapa;Macapá;0.034934;-51.0694;0.000980201891897307;2
PARAGOMINAS/para;Paragominas;-3.00212;-47.3527;0.0009790907118782095;2
CA VOTUPORANGUENSE/sao_paulo;Ca Votuporanguense;-20.4222;-49.9725;0.0009773707840596679;0
PALMAS/tocantins;Palmas;-10.1844;-48.3336;0.000974828283144245;2
MONSOON/rio_grande_do_sul;Monsoon;-29.75;-50.0167;0.0009731533762723244;0
BRAGANTINO/para;Bragantino;-1.06126;-46.7826;0.0009722083285549322;2
BONSUCESSO/rio_de_janeiro;Bonsucesso;-22.9129;-43.2003;0.0009705265640226931;0
BOA ESPORTE/minas_gerais;Boa Esporte;-21.5556;-45.4364;0.0009701930879450559;0
CAPIVARIANO/sao_paulo;Capivariano;-22.9951;-47.5071;0.0009687061326111568;0
UNIÃO BARBARENSE/sao_paulo;União Barbarense;-23.5208;-46.1854;0.0009589327174555447;0
AGUIA DE MARABA/para;Aguia De Maraba;-5.38075;-49.1327;0.0009542912189041044;2
NACIONAL/sao_paulo;Nacional;-23.5329;-46.6395;0.000950256575526468;0
PENAPOLENSE/sao_paulo;Penapolense;-21.4148;-50.0769;0.000948372881603977;0
ITAPIRENSE/sao_paulo;Itapirense;-22.4357;-46.8224;0.0009453602657315169;0
INDEPENDENTE DE LIMEIRA/sao_paulo;Independente De Limeira;-22.566;-47.397;0.0009432701632682072;0
JI-PARANÁ/rondonia;Ji-Paraná;-10.8777;-61.9322;0.000942912606768345;2
GUARANI V. AIRES/rio_grande_do_sul;Guarani V. Aires;-29.6103;-52.1906;0.0009412850232531432;0
MURICI/alagoas;Murici;-9.30682;-35.9428;0.0009386375818578988;1
REAL ARIQUEMES/rondonia;Real Ariquemes;-9.90571;-63.0325;0.0009380076554786519;2
GOYTACAZ/rio_de_janeiro;Goytacaz;-21.7622;-41.3181;0.0009353654101475111;0
DESPORTIVA FERROVIÁRIA/espirito_santo;Desportiva Ferroviária;-20.3375;-40.3847;0.0009352862866238586;0
GOIÂNIA/goias;Goiânia;-16.6864;-49.2643;0.0009332656893979444;0
TUPYNAMBÁS/minas_gerais;Tupynambás;-21.7595;-43.3398;0.000931477565580546;0
SÃO RAIMUNDO/para;São Raimundo;-2.43849;-54.6996;0.0009309083911812965;2
SANTOS/amapa;Santos;0.034934;-51.0694;0.0009303371429007293;2
CANAÃ/para;Canaã;-6.495;-49.8731;0.0009266532689157831;2
INHUMAS/goias;Inhumas;-16.3611;-49.5001;0.0009265448273933152;0
MAUÁ/sao_paulo;Mauá;-23.6678;-46.4614;0.0009264662437140566;0
SANTA CRUZ DE NATAL/rio_grande_do_norte;Santa Cruz De Natal;-6.22475;-36.0193;0.0009240052019565488;1
GALVEZ/acre;Galvez;-9.974;-67.8076;0.0009189345623347853;2
VILLA NOVA/minas_gerais;Villa Nova;-19.9758;-43.8509;0.0009167479824945625;0
AZURIZ FUTEBOL/parana;Azuriz Futebol;-26.2292;-52.6706;0.0009164423606346051;0
JUVENTUS/sao_paulo;Juventus;-23.5329;-46.6395;0.0009154268084457058;0
RIO CLARO/sao_paulo;Rio Claro;-22.4114;-47.5614;0.0009148388429386992;0
GAZIN PORTO VELHO/rondonia;Gazin Porto Velho;-8.76077;-63.8999;0.0009135194335924258;2
ÁGUIA/para;Águia;-5.38075;-49.1327;0.0009123191248794096;2
PRIMAVERA/sao_paulo;Primavera;-23.0816;-47.2101;0.0009098255933404348;0
ITABUNA/bahia;Itabuna;-14.7876;-39.2781;0.0009091985121529599;1
GOIATUBA/goias;Goiatuba;-18.0105;-49.3658;0.0009084835835799781;0
UNI SOUZA/rio_de_janeiro;Uni Souza;-22.8669;-43.3458;0.0009058781745621988;0
GONÇALENSE/rio_de_janeiro;Gonçalense;-22.5047;-43.1814;0.0009032161849025271;0
AFOGADOS DA INGAZEIRA/pernambuco;Afogados Da Ingazeira;-7.74312;-37.631;0.0009018595327010476;1
DESPORTIVO BRASIL/sao_paulo;Desportivo Brasil;-23.2093;-47.5251;0.0009017182211400628;0
NORTH ESPORTE CLUBE/minas_gerais;North Esporte Clube;-16.7244;-43.8617;0.0008958969819870442;0
TRINDADE/goias;Trindade;-16.6517;-49.4927;0.0008936257661115597;0
NACIONAL ATL. MURIAÉ/minas_gerais;Nacional Atl. Muriaé;-21.13;-42.3693;0.0008928065655105548;0
CRUZEIRO/alagoas;Cruzeiro;-9.75164;-36.6604;0.0008909121411560971;1
GUARANY/sergipe;Guarany;-9.91626;-37.2842;0.0008880477018278816;1
INDEPENDENTE/amapa;Independente;-0.0583;-51.1817;0.0008863719410593362;2
TAUBATÉ/sao_paulo;Taubaté;-23.0104;-45.5593;0.000880847561186916;0
GURUPI/tocantins;Gurupi;-11.7279;-49.068;0.0008791954522349497;2
PRINCESA/amazonas;Princesa;-3.29066;-60.6216;0.0008777100266332608;2
UNIÃO ATLÉTICO/tocantins;União Atlético;-7.1925;-48.2078;0.0008758481995066434;2
VASCO/rio_de_janeiro;Vasco;-22.9129;-43.2003;0.0008740958321899271;0
SÃO RAIMUNDO/amazonas;São Raimundo;-3.11866;-60.0212;0.0008716266339812574;2
FRIBURGUENSE/rio_de_janeiro;Friburguense;-22.2932;-42.5377;0.0008714456824719697;0
VARGINHA/minas_gerais;Varginha;-21.5597;-45.4389;0.0008711092151266857;0
CAMPO GRANDE/rio_de_janeiro;Campo Grande;-22.9129;-43.2003;0.0008690852657881077;0
SALGUEIRO/pernambuco;Salgueiro;-8.07373;-39.1247;0.0008667095336529425;1
UNIÃO SUZANO/sao_paulo;União Suzano;-23.5208;-46.1854;0.0008651946125194447;0
INTER DE BEBEDOURO/sao_paulo;Inter De Bebedouro;-20.9491;-48.4791;0.00086275639189206;0
UBERABA/minas_gerais;Uberaba;-19.7472;-47.9381;0.0008622924205017723;0
PORTUGUESA SANTISTA/sao_paulo;Portuguesa Santista;-23.5329;-46.6395;0.0008620637169657225;0
SÃO GONÇALO/rio_de_janeiro;São Gonçalo;-22.8268;-43.0634;0.0008617842106318218;0
REAL SPORT CLUB/rio_grande_do_sul;Real Sport Club;-29.7642;-50.0282;0.0008605885770988162;0
GE BRASIL/rio_grande_do_sul;Ge Brasil;-29.2227;-51.3419;0.0008572478577497918;0
RIO GRANDE/rio_grande_do_sul;Rio Grande;-32.0349;-52.1071;0.0008571741940565709;0
ATLÉTICO GLORIENSE/sergipe;Atlético Gloriense;-10.1172;-37.4528;0.0008563637731729798;1
AMÉRICA/sergipe;América;-10.2138;-36.8442;0.000855626326056647;1
SÃO FRANCISCO/para;São Francisco;-2.43849;-54.6996;0.000854227872219505;2
PARANOÁ/distrito_federal;Paranoá;-15.7744;-47.7817;0.0008519995078517505;0
GUANABARA CITY/goias;Guanabara City;-16.6864;-49.2643;0.0008519460988143466;0
ITABIRITO/minas_gerais;Itabirito;-20.2528;-43.8053;0.0008519443856980842;0
ZUMBI/alagoas;Zumbi;-9.15921;-36.0223;0.0008516114241134074;1
AMAZÔNIA INDEPENDENTE/para;Amazônia Independente;-2.63609;-54.9374;0.0008494149837162392;2
BANDEIRANTE/sao_paulo;Bandeirante;-21.291;-50.3432;0.0008470232415159855;0
NACIONAL/paraiba;Nacional;-6.98731;-34.8284;0.0008459959902614981;1
LINENSE/sao_paulo;Linense;-21.6718;-49.7526;0.0008398796771375015;0
BARCELONA DE ILHÉUS/bahia;Barcelona De Ilhéus;-14.7935;-39.0331;0.0008316527548176547;1
JEQUIÉ/bahia;Jequié;-13.8583;-40.0825;0.0008311673567098269;1
SKA BRASIL/sao_paulo;Ska Brasil;-23.4447;-46.9189;0.0008298844570060703;0
SÃO CAETANO/sao_paulo;São Caetano;-23.6229;-46.5548;0.0008291207633260831;0
HORIZONTE/ceara;Horizonte;-4.1025;-38.4875;0.000828759092517382;1
BARRETOS/sao_paulo;Barretos;-20.5531;-48.5698;0.0008281443620371384;0
BARRA DA TIJUCA/rio_de_janeiro;Barra Da Tijuca;-22.4165;-42.9752;0.000828012645980685;0
TIMON/piaui;Timon;-5.09769;-42.8329;0.0008263692935870059;1
ATLÉTICO/ceara;Atlético;-3.71664;-38.5423;0.0008259855892665911;1
CAETÉ/para;Caeté;-1.0536;-46.7656;0.0008233844139630623;2
RIO DE JANEIRO/rio_de_janeiro;Rio De Janeiro;-22.9129;-43.2003;0.0008214064464275973;0
GAÚCHO/rio_grande_do_sul;Gaúcho;-28.2576;-52.4091;0.0008209277357628083;0
CAPITÃO POÇO/para;Capitão Poço;-1.7456;-47.0575;0.0008199352199915952;2
IAPE/maranhao;Iape;-2.5307;-44.3068;0.0008193086737022206;1
YPIRANGA/amapa;Ypiranga;0.034934;-51.0694;0.0008187200533670204;2
NAVIRAIENSE/mato_grosso_do_sul;Naviraiense;-23.0618;-54.1995;0.0008165250595882457;0
FOZ DO IGUAÇU/parana;Foz Do Iguaçu;-26.2273;-51.0873;0.000815456696779944;0
COMERCIAL/sao_paulo;Comercial;-21.1699;-47.8099;0.0008083411225108843;0
FLUMINENSE DE FEIRA/bahia;Fluminense De Feira;-12.2664;-38.9663;0.0008048211429747259;1
JUVENTUDE/maranhao;Juventude;-4.0417;-44.4717;0.0008042347015699348;1
CARAPEBUS/rio_de_janeiro;Carapebus;-22.1821;-41.663;0.0008032490942478948;0
COIMBRA/minas_gerais;Coimbra;-19.9102;-43.9266;0.0008019944283993799;0
NAÇÃO/santa_catarina;Nação;-26.3045;-48.8487;0.000801922166838839;0
VITÓRIA DAS TABOCAS/pernambuco;Vitória Das Tabocas;-8.1136;-35.2956;0.0008014768894724253;1
MINEIROS/goias;Mineiros;-17.5654;-52.5537;0.0008003507794221388;0
MADUREIRA/rio_de_janeiro;Madureira;-22.9129;-43.2003;0.0007997570628567845;0
CORURIPE/alagoas;Coruripe;-10.1276;-36.1717;0.000799393601737393;1
CONCÓRDIA/santa_catarina;Concórdia;-27.2335;-52.026;0.0007975224853392453;0
GUARANI/minas_gerais;Guarani;-20.1446;-44.8912;0.0007970044541556374;0
UNIÃO CACOALENSE/rondonia;União Cacoalense;-11.4343;-61.4562;0.0007940553786814074;2
ITAPIPOCA/ceara;Itapipoca;-3.49933;-39.5836;0.0007929634302335917;1
SANTA ROSA/para;Santa Rosa;-1.4554;-48.4898;0.0007929227759592548;2
LAGUNA/rio_grande_do_norte;Laguna;-6.2344;-35.0911;0.0007881939255703717;1
DORENSE/sergipe;Dorense;-10.4854;-37.1963;0.0007865169039196778;1
GAS/roraima;Gas;2.8233;-60.675;0.0007834267466984764;2
CRATO/ceara;Crato;-7.2153;-39.4103;0.0007833434843200548;1
MARANGUAPE/ceara;Maranguape;-3.89143;-38.6829;0.0007830559030606382;1
PICOS/piaui;Picos;-7.07721;-41.467;0.0007763037112474524;1
VITÓRIA DA CONQUISTA/bahia;Vitória Da Conquista;-12.9718;-38.5011;0.0007753463403321881;1
SANTA HELENA/goias;Santa Helena;-17.8115;-50.5977;0.0007736818356603158;0
COLORADO CAIEIRAS/sao_paulo;Colorado Caieiras;-23.3639;-46.7411;0.0007724526960348518;0
