clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
UNIÃO RONDONÓPOLIS/mato_grosso;-16.4673;-54.6372;0.0011083262689321;0;0;0;0;2;3
ANAPOLINA/goias;-16.3281;-48.953;0.0011055824687796;0;0;0;1;2;2
PORTO VITÓRIA/espirito_santo;-20.3155;-40.3128;0.0010789185150854;0;0;0;1;1;1
CATANDUVA/sao_paulo;-21.1314;-48.977;0.0010752615650394;0;0;0;1;2;2
UNIVASSOURAS ARTSUL/rio_de_janeiro;-22.7556;-43.4603;0.0010742619779999;0;0;0;1;1;1
GRÊMIO ANÁPOLIS/goias;-16.3281;-48.953;0.0010669240563573;0;0;0;1;2;2
BANGU/rio_de_janeiro;-22.9129;-43.2003;0.0010647581145276;0;0;0;1;1;1
GOIANÉSIA/goias;-15.3118;-49.1162;0.0010571658168228;0;0;0;1;2;2
VOCEM/sao_paulo;-22.6622;-50.4181;0.0010554780747801;0;0;3;0;2;0
CRUZEIRO/rio_grande_do_sul;-29.95;-51.0833;0.0010468709011752;0;0;3;0;0;0
SÃO BORJA/rio_grande_do_sul;-28.6578;-56.0036;0.0010437134026557;0;0;3;0;0;0
CRAC/goias;-18.1658;-47.9461;0.001042670614405;0;0;0;1;2;2
IPORÁ/goias;-16.4398;-51.118;0.001035116178256;0;0;0;1;2;2
NOROESTE/sao_paulo;-22.3246;-49.0871;0.0010327872919738;0;0;0;0;2;2
IPATINGA/minas_gerais;-19.4703;-42.5476;0.0010310148400319;0;0;0;1;1;1
FRANCANA/sao_paulo;-20.5352;-47.4039;0.0010286077666092;0;0;0;1;1;2
RIO BRANCO DE VENDA NOVA/espirito_santo;-20.327;-41.1355;0.0010211089371922;0;0;0;1;1;1
MARÍLIA/sao_paulo;-22.2171;-49.9501;0.0010186604095281;0;0;3;0;2;2
MONTE AZUL/sao_paulo;-20.9065;-48.6387;0.0010060872289804;0;0;0;1;2;2
VELO CLUBE/sao_paulo;-22.4114;-47.5614;0.0010007360468211;0;0;0;1;1;1
COMERCIAL/mato_grosso_do_sul;-20.7849;-51.7007;0.0010001240557685;0;0;3;0;2;3
MAMORÉ/minas_gerais;-18.5699;-46.5013;0.0009942170127268;0;0;0;1;1;2
FLAMENGO/sao_paulo;-23.4538;-46.5333;0.000993429796585;0;0;0;1;1;1
PAULISTA/sao_paulo;-23.1852;-46.8974;0.0009916856993811;0;0;0;1;1;1
CENTRO OESTE/goias;-15.9333;-50.14;0.0009881951118381;0;0;0;1;2;2
AYMORÉS/minas_gerais;-21.1206;-42.9422;0.0009811981527603;0;0;0;1;1;1
CA VOTUPORANGUENSE/sao_paulo;-20.4222;-49.9725;0.0009773707840596;0;0;0;1;2;2
MONSOON/rio_grande_do_sul;-29.75;-50.0167;0.0009731533762723;0;0;3;0;0;0
BONSUCESSO/rio_de_janeiro;-22.9129;-43.2003;0.0009705265640226;0;0;0;1;1;1
BOA ESPORTE/minas_gerais;-21.5556;-45.4364;0.000970193087945;0;0;0;1;1;1
CAPIVARIANO/sao_paulo;-22.9951;-47.5071;0.0009687061326111;0;0;0;1;1;1
UNIÃO BARBARENSE/sao_paulo;-23.5208;-46.1854;0.0009589327174555;0;0;0;1;1;1
NACIONAL/sao_paulo;-23.5329;-46.6395;0.0009502565755264;0;0;0;1;1;1
PENAPOLENSE/sao_paulo;-21.4148;-50.0769;0.0009483728816039;0;0;0;0;2;2
ITAPIRENSE/sao_paulo;-22.4357;-46.8224;0.0009453602657315;0;0;0;1;1;1
INDEPENDENTE DE LIMEIRA/sao_paulo;-22.566;-47.397;0.0009432701632682;0;0;0;1;1;1
GUARANI V. AIRES/rio_grande_do_sul;-29.6103;-52.1906;0.0009412850232531;0;0;3;0;0;0
GOYTACAZ/rio_de_janeiro;-21.7622;-41.3181;0.0009353654101475;0;0;0;1;1;1
DESPORTIVA FERROVIÁRIA/espirito_santo;-20.3375;-40.3847;0.0009352862866238;0;0;0;1;1;1
GOIÂNIA/goias;-16.6864;-49.2643;0.0009332656893979;0;0;0;1;2;2
TUPYNAMBÁS/minas_gerais;-21.7595;-43.3398;0.0009314775655805;0;0;0;1;1;1
INHUMAS/goias;-16.3611;-49.5001;0.0009265448273933;0;0;0;1;2;2
MAUÁ/sao_paulo;-23.6678;-46.4614;0.000926466243714;0;0;0;1;1;1
VILLA NOVA/minas_gerais;-19.9758;-43.8509;0.0009167479824945;0;0;0;1;1;1
AZURIZ FUTEBOL/parana;-26.2292;-52.6706;0.0009164423606346;0;0;3;0;0;0
JUVENTUS/sao_paulo;-23.5329;-46.6395;0.0009154268084457;0;0;0;1;1;1
RIO CLARO/sao_paulo;-22.4114;-47.5614;0.0009148388429386;0;0;0;1;1;1
PRIMAVERA/sao_paulo;-23.0816;-47.2101;0.0009098255933404;0;0;0;1;1;1
GOIATUBA/goias;-18.0105;-49.3658;0.0009084835835799;0;0;0;1;2;2
UNI SOUZA/rio_de_janeiro;-22.8669;-43.3458;0.0009058781745621;0;0;0;1;1;1
GONÇALENSE/rio_de_janeiro;-22.5047;-43.1814;0.0009032161849025;0;0;0;1;1;1
DESPORTIVO BRASIL/sao_paulo;-23.2093;-47.5251;0.00090171822114;0;0;0;1;1;1
NORTH ESPORTE CLUBE/minas_gerais;-16.7244;-43.8617;0.000895896981987;0;0;0;1;1;2
TRINDADE/goias;-16.6517;-49.4927;0.0008936257661115;0;0;0;1;2;2
NACIONAL ATL. MURIAÉ/minas_gerais;-21.13;-42.3693;0.0008928065655105;0;0;0;1;1;1
TAUBATÉ/sao_paulo;-23.0104;-45.5593;0.0008808475611869;0;0;0;1;1;1
VASCO/rio_de_janeiro;-22.9129;-43.2003;0.0008740958321899;0;0;0;1;1;1
FRIBURGUENSE/rio_de_janeiro;-22.2932;-42.5377;0.0008714456824719;0;0;0;1;1;1
VARGINHA/minas_gerais;-21.5597;-45.4389;0.0008711092151266;0;0;0;1;1;1
