clube;uf;pagerank_score
Desportivo Brasil;SP;0.0009428584234870793
Guarany;SE;0.0009414999910283127
Independente;AP;0.0009394926878379761
Tupynambás;MG;0.000938625009438707
Goiatuba;GO;0.0009211679058881883
Guarani V. Aires;RS;0.0009193983459911334
Campo Grande;RJ;0.000916575166130336
Taubaté;SP;0.0009135912100951317
Villa Nova;MG;0.0009093126706386255
Cruzeiro;AL;0.0009088186106012808
América;SE;0.0009045496730915737
Atlético Gloriense;SE;0.000904192656365268
Guanabara City;GO;0.0009035205194708321
Inter De Bebedouro;SP;0.000903337222184136
Mauá;SP;0.0009032543148654414
Guarany De Sobral;CE;0.0009024240114892971
São Gonçalo;RJ;0.0009009517744612078
Murici;AL;0.0009002135502492631
União Suzano;SP;0.0008994583463752385
Nacional Atl. Muriaé;MG;0.0008982651757097169
Friburguense;RJ;0.0008974340378083007
Portuguesa Santista;SP;0.0008951150322045059
São Raimundo;AM;0.000894406317237534
Amazônia Independente;PA;0.0008888589116398495
Atlético;PB;0.0008884031650149593
Jequié;BA;0.0008852026023718351
Bandeirante;SP;0.0008850957597599885
Mamoré;MG;0.0008836389993305725
Barcelona De Ilhéus;BA;0.0008833938461094824
Juventus Jaraguá;SC;0.0008811204483637842
Real Sport Club;RS;0.0008807948968243146
São Francisco;PA;0.0008793344841097119
Rio Grande;RS;0.0008786540063609404
Salgueiro;PE;0.0008753392193340711
Gas;RR;0.0008740631202494047
Timon;PI;0.0008740362187270797
Barra Da Tijuca;RJ;0.0008740287515998948
Linense;SP;0.0008739321321557463
Rio De Janeiro;RJ;0.0008691416161169389
Ypiranga;AP;0.0008664216026989986
Naviraiense;MS;0.0008644576992505389
Ji-Paraná;RO;0.0008643248928030886
Iape;MA;0.0008629141477608154
Ska Brasil;SP;0.000862909337396586
Barretos;SP;0.0008611419886877645
Nacional;PB;0.0008591084282013995
Bela Vista;TO;0.000858095024214633
São Caetano;SP;0.0008546579544496713
Capitão Poço;PA;0.0008543252311445512
Paranoá;DF;0.0008518257173600419
Fluminense De Feira;BA;0.0008499508639311222
Carapebus;RJ;0.0008489196659786511
Mineiros;GO;0.0008489032312808071
North Esporte Clube;MG;0.0008453737758932457
Varginha;MG;0.0008420353024323962
Caeté;PA;0.0008417501773306261
Vitória Das Tabocas;PE;0.0008417259486607928
Comercial;SP;0.0008399780713926404
Laguna;RN;0.0008328532958663083
Dorense;SE;0.0008311880568564684
Horizonte;CE;0.0008304326983414621
Itabirito;MG;0.0008298881864644514
Juventude;MA;0.000826128042273109
Zumbi;AL;0.0008257754213363427
Santa Rosa;PA;0.0008243239295998131
Gurupi;TO;0.0008194245643326392
Santa Helena;GO;0.0008190727701616948
Osasco Audax;SP;0.0008158368818896293
Serc;MS;0.0008157696495582168
América;GO;0.0008146146543700764
Vitória Da Conquista;BA;0.0008145241811119703
Coruripe;AL;0.0008145037279838308
Picos;PI;0.000811736065149101
Vera Cruz;PE;0.0008050421963505136
Crato;CE;0.0008036084874095189
Guarani;MG;0.0008029784439906353
Maranguape;CE;0.000801896357631178
Serra Macaense;RJ;0.0008016782203537406
Aruko;PR;0.0007985372838343835
Bela Vista;GO;0.000796307662165392
Colorado Caieiras;SP;0.0007960225062924575
Frei Paulistano;SE;0.0007914033431613546
Nação;SC;0.0007894934960620673
Madureira;RJ;0.0007872453699600649
Itapipoca;CE;0.0007867277066103016
Independente Tucuruí;PA;0.0007866586863108014
Foz Do Iguaçu;PR;0.0007857596663618727
Sertãozinho;SP;0.0007846204739694892
Zinza;RJ;0.0007839061742356318
União São João;SP;0.0007837912164484411
Fast Clube;AM;0.0007835791892663568
Parauapebas;PA;0.0007830835762140477
América T.O;MG;0.0007759553086879244
São Cristóvão;RJ;0.0007715925869365842
São Joseense;PR;0.0007712353792988498
Joseense;SP;0.0007689923917118161
Macaé;RJ;0.000768244154438956
Carlos Renaux;SC;0.0007649264217989653
São Paulo;RS;0.0007641300339127562
São Paulo Crystal;PB;0.0007631560869333945
Gaúcho;RS;0.0007613374821444797
Ivinhema;MS;0.0007587917515170028
Parintins;AM;0.000753067544669874
Santa Cruz;RS;0.0007529950115728104
Uberaba;MG;0.0007529297308488613
Valeriodoce;MG;0.0007525183988656755
Paranavaí;PR;0.0007513042651406697
Campos;RJ;0.0007459591926110804
Andraus;PR;0.0007458008369788542
Aseev;GO;0.0007454674292649549
Abecat Ouvidorense;GO;0.0007454219451900209
Real Ariquemes;RO;0.0007438624287447433
Tupi;MG;0.0007393778988422874
Nacional;PR;0.0007388955140105777
Serra Branca;PB;0.0007347777184010892
Santa Catarina;SC;0.0007338522561006523
Riograndense;RS;0.0007317714086908353
Tuntum;MA;0.000731253741368605
Izabelense;PA;0.0007300079455414469
Oratório;AP;0.0007299783364192789
Elite Cd;RS;0.0007275577994256329
Jataiense;GO;0.000724766126987066
Pinheirense;PA;0.0007245583383917626
Taguatinga;DF;0.0007211347028035822
Rio Branco;PR;0.0007195862478124926
Matonense;SP;0.0007195089280446003
Porto;PE;0.0007191798810907296
Luziânia;GO;0.0007180150182329625
Estrela Do Norte;ES;0.0007179199597789061
Atlético;AC;0.0007147298940232387
Búzios;RJ;0.0007138551511276761
Grêmio Mauaense;SP;0.0007135548343064567
Colo Colo;BA;0.0007134791068417764
Íbis;PE;0.0007133241649943607
Rio Preto;SP;0.0007129186187779627
Batalhão;TO;0.0007090619516738174
Patriotas;PR;0.0007075562444754616
Tanabi;SP;0.0007074703640048864
Estanciano;SE;0.0007056629425653614
