clube_id;clube;estado;lat;lon;cidade;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5
IGUATU/ceara;Iguatu;ceara;-6.36281;-39.2892;Iguatu;0.0014022300036167226;0;2;2;2
4 DE JULHO/piaui;4 De Julho;piaui;-4.27157;-41.7716;Piripiri;0.0013887986517974536;0;0;3;3
RIO BRANCO/sao_paulo;Rio Branco;sao_paulo;-22.7374;-47.3331;Americana;0.0013811173632273213;1;1;0;0
MARICÁ/rio_de_janeiro;Maricá;rio_de_janeiro;-22.9354;-42.8246;Maricá;0.0013803926900870878;1;1;0;0
PORTUGUESA/sao_paulo;Portuguesa;sao_paulo;-23.5329;-46.6395;São Paulo;0.0013765291961623373;1;1;0;0
BARRA/santa_catarina;Barra;santa_catarina;-26.9922;-48.6353;Balneário Camboriú;0.0013619129445367167;1;1;0;4
DOURADOS/mato_grosso_do_sul;Dourados;mato_grosso_do_sul;-22.4136;-54.2335;Glória de Dourados;0.001354846375836622;1;1;0;0
CAPITAL CF/distrito_federal;Capital Cf;distrito_federal;-15.8222;-47.9781;Brasília;0.0013295723182223877;1;1;0;0
CIANORTE/parana;Cianorte;parana;-23.6599;-52.6054;Cianorte;0.001329229170806421;1;1;0;0
CAMBORIÚ/santa_catarina;Camboriú;santa_catarina;-27.0241;-48.6503;Camboriú;0.0013161865223235102;1;1;0;4
SAMPAIO CORRÊA/rio_de_janeiro;Sampaio Corrêa;rio_de_janeiro;-22.9129;-43.2003;Rio de Janeiro;0.0013143390227890758;1;1;0;0
AIMORÉ/rio_grande_do_sul;Aimoré;rio_grande_do_sul;-29.7545;-51.1498;São Leopoldo;0.0013051362820177034;1;1;0;4
DUQUE DE CAXIAS/rio_de_janeiro;Duque De Caxias;rio_de_janeiro;-22.7858;-43.3049;Duque de Caxias;0.0013007419611642695;1;1;0;0
XV DE PIRACICABA/sao_paulo;Xv De Piracicaba;sao_paulo;-22.7338;-47.6476;Piracicaba;0.0012989003982193307;1;1;0;0
SANTO ANDRÉ/sao_paulo;Santo André;sao_paulo;-23.6737;-46.5432;Santo André;0.0012978808526311447;1;1;0;0
PARNAHYBA/piaui;Parnahyba;piaui;-2.90585;-41.7754;Parnaíba;0.0012812306997234716;0;0;3;3
NOVA MUTUM/mato_grosso;Nova Mutum;mato_grosso;-13.8344;-56.0728;Nova Mutum;0.0012747324045686585;1;1;0;0
GRAMADENSE/rio_grande_do_sul;Gramadense;rio_grande_do_sul;-29.3791;-50.8764;Gramado;0.0012717448414594685;1;1;0;4
GRÊMIO SÃO-CARLENSE/sao_paulo;Grêmio São-Carlense;sao_paulo;-22.0174;-47.886;São Carlos;0.001271012370725212;1;1;0;0
NOVO HAMBURGO/rio_grande_do_sul;Novo Hamburgo;rio_grande_do_sul;-29.6875;-51.1328;Novo Hamburgo;0.0012657841659043784;1;1;0;4
UBERLÂNDIA/minas_gerais;Uberlândia;minas_gerais;-18.9141;-48.2749;Uberlândia;0.0012638737525846244;1;1;0;0
BETIM FUTEBOL/minas_gerais;Betim Futebol;minas_gerais;-19.9668;-44.2008;Betim;0.0012610496890170673;1;1;0;0
MIXTO/mato_grosso;Mixto;mato_grosso;-15.601;-56.0974;Cuiabá;0.0012560204845007657;1;1;0;0
XV DE JAÚ/sao_paulo;Xv De Jaú;sao_paulo;-22.2936;-48.5592;Jaú;0.0012556038681592703;1;1;0;0
HERCÍLIO LUZ/santa_catarina;Hercílio Luz;santa_catarina;-28.4713;-49.0144;Tubarão;0.001249288128458657;1;1;0;4
NOVA VENÉCIA/espirito_santo;Nova Venécia;espirito_santo;-18.715;-40.4053;Nova Venécia;0.0012433894017197004;1;1;0;0
ÁGUA SANTA/sao_paulo;Água Santa;sao_paulo;-23.6813;-46.6205;Diadema;0.00123764375451944;1;1;0;0
CAPITAL/tocantins;Capital;tocantins;-10.1844;-48.3336;Palmas;0.0012364581226745586;0;0;3;3
CENTRAL/pernambuco;Central;pernambuco;-8.28455;-35.9699;Caruaru;0.0012360067895959782;0;2;2;2
BELFORD ROXO/rio_de_janeiro;Belford Roxo;rio_de_janeiro;-22.764;-43.3992;Belford Roxo;0.001234443033758022;1;1;0;0
AMERICA/rio_de_janeiro;America;rio_de_janeiro;-22.9129;-43.2003;Rio de Janeiro;0.0012339433005037995;1;1;0;0
SÃO BENTO/sao_paulo;São Bento;sao_paulo;-23.4969;-47.4451;Sorocaba;0.0012222928167484233;1;1;0;0
CASTANHAL/para;Castanhal;para;-1.29797;-47.9167;Castanhal;0.0012179083782513994;0;0;3;3
AUDAX RIO/rio_de_janeiro;Audax Rio;rio_de_janeiro;-22.8058;-43.3729;São João de Meriti;0.001207079607563254;1;1;0;0
SÃO JOSÉ/sao_paulo;São José;sao_paulo;-23.1896;-45.8841;São José dos Campos;0.0012068331932114042;1;1;0;0
URT/minas_gerais;Urt;minas_gerais;-18.5853;-46.5181;Patos de Minas;0.0012059125455232262;1;1;0;0
ÁGUIA NEGRA/mato_grosso_do_sul;Águia Negra;mato_grosso_do_sul;-21.8033;-54.5427;Rio Brilhante;0.001203573890246462;1;1;0;0
AMERICANO/rio_de_janeiro;Americano;rio_de_janeiro;-21.7622;-41.3181;Campos dos Goytacazes;0.001203151182860387;1;1;0;0
