clube;uf;pagerank_score
Bagé;RS;0.0006219717972698
Guarany De Sobral;CE;0.0006216594562719
Angra Dos Reis;RJ;0.0006210692639238
Guaporé;RO;0.0006198673148599
Grapiúna;BA;0.0006190882626858
Auto Esporte;PB;0.0006149078587197
Guarani De Juazeiro;CE;0.0006134855867168
Capixaba;ES;0.0006133516006735
União Paraense;PA;0.0006118995694361
Operário;AM;0.0006113417544721
Itz Sport;MA;0.0006110757609173
Guarani;SC;0.0006090951796982
São Francisco;AC;0.0006070298559778
Barcelona;RO;0.0006064821333107
Capital;DF;0.0006061602868951
Guarany;AL;0.0006057845795382
Csp;PB;0.0006036474537863
Apafut;RS;0.0006029338692168
Metropolitano;SC;0.0006005111455505
Toledo;PR;0.0005988342219713
Mossoró;RN;0.0005986928394865
Leão Do Vale - Cianorte;PR;0.0005977526601147
Operário;MT;0.0005973274560544
Morrinhos;GO;0.0005954705143163
União Luziense;MG;0.0005950255598116
Boa;MG;0.0005941302726054
Maracaju;MS;0.0005936615798265
Qfc;RN;0.000590853512992
Decisão;PE;0.0005904347087947
Potyguar Seridoense;RN;0.0005894717247982
Ae Paracatu;MG;0.0005885814201504
Esportivo;RS;0.0005873486205699
Araguacema;TO;0.000587084468811
Bataguassu;MS;0.0005753200954685
Cr Aquidauana;MS;0.0005753200954685
Sport Sinop;MT;0.0005748777711927
Corisabbá;PI;0.0005739041825494
Juventus;RJ;0.0005730088216906
Poconé;MT;0.0005719411524295
Independente;SE;0.0005713255798204
Maruinense;SE;0.0005697415808302
Atlético Central;SE;0.0005683074985289
Guaraí;TO;0.0005666121351829
Sobradinho;DF;0.0005655339960926
Passo Fundo;RS;0.0005649204502966
Aparecida;GO;0.00056452237212
Flamengo;PI;0.0005636537067429
Brasília;DF;0.0005634090818202
Planaltina;DF;0.000562982624982
Contagem;MG;0.0005623353933596
Santos;PA;0.0005617256966227
Tiradentes;CE;0.0005594935865695
Itumbiara;GO;0.000559328648728
Santa Cruz;RJ;0.0005581682315989
Sinop;MT;0.0005579194542099
Galícia;BA;0.0005575754912824
Caçador;SC;0.0005573431902787
Blumenau;SC;0.0005563441400599
Centro Limoeirense;PE;0.0005555316154112
Ypiranga;PE;0.0005529338364058
Rio São Paulo;RJ;0.0005487301302431
Força E Luz;RN;0.000548240674601
Jacobina;BA;0.0005474541222582
Penedense;AL;0.0005473347653768
Ação;MT;0.0005471127775481
Caruaru City;PE;0.0005470804800993
Desportiva Guarabira;PB;0.0005449475677981
Ad Carmópolis;SE;0.0005449195887939
Ipojuca;PE;0.0005419613671195
Crixás;GO;0.0005416798390804
Fonte Nova;PA;0.0005404403092499
Itupiranga;PA;0.0005400080934956
Pacatuba;CE;0.0005386137694552
São Carlos;SP;0.0005382967913684
Piauí;PI;0.00053806266032
América De Pedrinhas;SE;0.0005354340011202
Academia;MT;0.0005352212376288
