rodada,mandante,estado_m,visitante,estado_v
9,GUARANI,sao_paulo,AMAZONAS,amazonas
9,SANTA CRUZ,pernambuco,FERROVIÁRIA,sao_paulo
9,INTER DE LIMEIRA,sao_paulo,YPIRANGA,rio_grande_do_sul
9,ANÁPOLIS,goias,MARANHÃO,maranhao
9,FIGUEIRENSE,santa_catarina,PAYSANDU,para
9,BARRA,santa_catarina,BRUSQUE,santa_catarina
10,GUARANI,sao_paulo,CAXIAS,rio_grande_do_sul
10,AMAZONAS,amazonas,ANÁPOLIS,goias
10,BRUSQUE,santa_catarina,SANTA CRUZ,pernambuco
10,PAYSANDU,para,INTER DE LIMEIRA,sao_paulo
10,ITABAIANA,sergipe,ITUANO,sao_paulo
10,FLORESTA,ceara,FIGUEIRENSE,santa_catarina
10,VOLTA REDONDA,rio_de_janeiro,CONFIANÇA,sergipe
10,MARINGÁ,parana,MARANHÃO,maranhao
10,YPIRANGA,rio_grande_do_sul,BOTAFOGO,paraiba
10,FERROVIÁRIA,sao_paulo,BARRA,santa_catarina
11,ANÁPOLIS,goias,ITABAIANA,sergipe
11,BOTAFOGO,paraiba,VOLTA REDONDA,rio_de_janeiro
11,SANTA CRUZ,pernambuco,YPIRANGA,rio_grande_do_sul
11,ITUANO,sao_paulo,FIGUEIRENSE,santa_catarina
11,MARANHÃO,maranhao,PAYSANDU,para
11,CAXIAS,rio_grande_do_sul,MARINGÁ,parana
11,BRUSQUE,santa_catarina,FLORESTA,ceara
11,FERROVIÁRIA,sao_paulo,INTER DE LIMEIRA,sao_paulo
11,BARRA,santa_catarina,AMAZONAS,amazonas
11,CONFIANÇA,sergipe,GUARANI,sao_paulo
12,INTER DE LIMEIRA,sao_paulo,MARINGÁ,parana
12,FLORESTA,ceara,BARRA,santa_catarina
12,PAYSANDU,para,SANTA CRUZ,pernambuco
12,ITABAIANA,sergipe,FERROVIÁRIA,sao_paulo
12,FIGUEIRENSE,santa_catarina,GUARANI,sao_paulo
12,YPIRANGA,rio_grande_do_sul,CONFIANÇA,sergipe
12,ITUANO,sao_paulo,MARANHÃO,maranhao
12,CAXIAS,rio_grande_do_sul,ANÁPOLIS,goias
12,BOTAFOGO,paraiba,BRUSQUE,santa_catarina
12,VOLTA REDONDA,rio_de_janeiro,AMAZONAS,amazonas
13,MARANHÃO,maranhao,INTER DE LIMEIRA,sao_paulo
13,CONFIANÇA,sergipe,BARRA,santa_catarina
13,MARINGÁ,parana,VOLTA REDONDA,rio_de_janeiro
13,SANTA CRUZ,pernambuco,ITUANO,sao_paulo
13,GUARANI,sao_paulo,FLORESTA,ceara
13,FERROVIÁRIA,sao_paulo,CAXIAS,rio_grande_do_sul
13,YPIRANGA,rio_grande_do_sul,PAYSANDU,para
13,ANÁPOLIS,goias,BOTAFOGO,paraiba
13,BRUSQUE,santa_catarina,FIGUEIRENSE,santa_catarina
13,AMAZONAS,amazonas,ITABAIANA,sergipe
14,CAXIAS,rio_grande_do_sul,FLORESTA,ceara
14,INTER DE LIMEIRA,sao_paulo,AMAZONAS,amazonas
14,BARRA,santa_catarina,SANTA CRUZ,pernambuco
14,ITUANO,sao_paulo,FERROVIÁRIA,sao_paulo
14,ANÁPOLIS,goias,MARINGÁ,parana
14,PAYSANDU,para,GUARANI,sao_paulo
14,MARANHÃO,maranhao,YPIRANGA,rio_grande_do_sul
14,BOTAFOGO,paraiba,CONFIANÇA,sergipe
14,ITABAIANA,sergipe,BRUSQUE,santa_catarina
14,FIGUEIRENSE,santa_catarina,VOLTA REDONDA,rio_de_janeiro
15,FERROVIÁRIA,sao_paulo,MARANHÃO,maranhao
15,SANTA CRUZ,pernambuco,FIGUEIRENSE,santa_catarina
15,CONFIANÇA,sergipe,ITABAIANA,sergipe
15,VOLTA REDONDA,rio_de_janeiro,ANÁPOLIS,goias
15,BRUSQUE,santa_catarina,ITUANO,sao_paulo
15,YPIRANGA,rio_grande_do_sul,BARRA,santa_catarina
15,CAXIAS,rio_grande_do_sul,BOTAFOGO,paraiba
