nome_clube;wiki_title
Atlético Acreano;Atlético Acreano
Atlético Clipper Clube;Atlético Clipper Clube
Atlético Rio Negro Clube (Amazonas);Atlético Rio Negro Clube (Amazonas)
Auto Esporte Clube (Amazonas);Auto Esporte Clube (Amazonas)
Grêmio Esportivo Bagé;Grêmio Esportivo Bagé
Red Bull Bragantino;Red Bull Bragantino
Brasilis Futebol Clube;Brasilis Futebol Clube
São Bernardo Futebol Clube;São Bernardo Futebol Clube
Criciúma Esporte Clube;Criciúma Esporte Clube
Ceilândia Esporte Clube;Ceilândia Esporte Clube
Sport Club Brasil;Sport Club Brasil
Club Sportivo Sergipe;Club Sportivo Sergipe
Agremiação Sportiva Arapiraquense;Agremiação Sportiva Arapiraquense
União São João Esporte Clube;União São João Esporte Clube
Botafogo Futebol Clube;Botafogo Futebol Clube (Ribeirão Preto)
Associação Atlética Aparecidense;Associação Atlética Aparecidense
Associação Cultural Esporte Clube Baraúnas;Associação Cultural Esporte Clube Baraúnas
Associação Atlética Portuguesa;Associação Atlética Portuguesa (Rio de Janeiro)
Bauru Atlético Clube;Bauru Atlético Clube
Americano Futebol Clube;Americano Futebol Clube
Clube 15 de Novembro;Clube 15 de Novembro
Grêmio Esportivo Tiradentes;Grêmio Esportivo Tiradentes
Mogi Mirim Esporte Clube;Mogi Mirim Esporte Clube
Clube Esportivo Naviraiense;Clube Esportivo Naviraiense
Uberaba Sport Club;Uberaba Sport Club
Sertãozinho Futebol Clube;Sertãozinho Futebol Clube
Atlético Roraima Clube;Atlético Roraima Clube
Sampaio Corrêa Futebol Clube;Sampaio Corrêa Futebol Clube
Águia de Marabá Futebol Clube;Águia de Marabá Futebol Clube
Comercial Atlético Clube;Comercial Atlético Clube
Central Sport Club;Central Sport Club
Esporte Clube São José;Esporte Clube São José
Rio Branco Atlético Clube;Rio Branco Atlético Clube
União Sportiva;Sociedade Athlética União Sportiva
União Esporte Clube;União Esporte Clube
União Esportiva Portuguesa;União Esportiva Portuguesa
União Marambaia e Juventude Esporte Clube;União Marambaia e Juventude Esporte Clube
Vilavelhense Futebol Clube;Vilavelhense Futebol Clube
Vênus Atlético Clube;Vênus Atlético Clube
Ypiranga Clube;Ypiranga Clube
Atlético Monte Azul;Atlético Monte Azul
Clube de Natação e Regatas Álvares Cabral;Clube de Natação e Regatas Álvares Cabral
Grêmio Esportivo Renner;Grêmio Esportivo Renner
Itaperuna Esporte Clube;Itaperuna Esporte Clube
Comercial Futebol Clube;Comercial Futebol Clube (Ribeirão Preto)
Resende Futebol Clube;Resende Futebol Clube
Sport Club Americano (São Paulo);Sport Club Americano (São Paulo)
Unisul Esporte Clube;Associação Desportiva Futsal Tubaronense
Arapongas Esporte Clube;Arapongas Esporte Clube
Esporte Clube Aracruz;Esporte Clube Aracruz
Clube Atlético Sorocaba;Clube Atlético Sorocaba
Associação Botafogo Futebol Clube;Associação Botafogo Futebol Clube
Vilhena Esporte Clube;Vilhena Esporte Club
Grêmio Esportivo Novorizontino;Grêmio Esportivo Novorizontino
Gurupi Esporte Clube;Gurupi Esporte Clube
Cametá Sport Club;Cametá Sport Club
Bandeirante Esporte Clube;Bandeirante Esporte Clube
Barcelona Esporte Clube;Barcelona Esporte Clube
Barra Futebol Clube;Barra Futebol Clube (Rio de Janeiro)
Barra Mansa Futebol Clube;Barra Mansa Futebol Clube
Barras Futebol Club;Barras Futebol Club
Barretos Esporte Clube;Barretos Esporte Clube
Batatais Futebol Clube;Batatais Futebol Clube
Bayer Esporte Clube;Bayer Esporte Clube
Bela Vista Futebol Clube (São Gonçalo);Bela Vista Futebol Clube (Rio de Janeiro)
Belo Jardim Futebol Clube;Belo Jardim Futebol Clube
Berga Esporte Clube;Berga Esporte Clube
Boa Viagem Esporte Clube;Boa Viagem Esporte Clube
Botafogo Esporte Clube;Botafogo Esporte Clube
Botafogo Reptiles;Botafogo Reptiles
Bragantino Clube do Pará;Bragantino Clube do Pará
Club de Regatas Vasco da Gama;Club de Regatas Vasco da Gama
Caiçara Esporte Clube;Caiçara Esporte Clube
Camboriú Futebol Clube;Camboriú Futebol Clube
Canoas Futebol Clube;Canoas Futebol Clube
Capivariano Futebol Clube;Capivariano Futebol Clube
Cardoso Moreira Futebol Clube;Cardoso Moreira Futebol Clube
Cascavel Clube Recreativo;Cascavel Clube Recreativo
Cascavel Esporte Clube;Cascavel Esporte Clube
Casimiro de Abreu Esporte Clube;Casimiro de Abreu Esporte Clube
Castanhal Esporte Clube;Castanhal Esporte Clube
Castelo Futebol Clube;Castelo Futebol Clube
Caucaia Esporte Clube;Caucaia Esporte Clube
Centro de Desenvolvimento Comunitário Manicoré;CDC Manicoré Esporte Clube
Centro Esportivo Olhodagüense;Centro Esportivo Olhodaguense
Centro Limoeirense de Futebol;Centro Limoeirense de Futebol
Centro Sportivo Maruinense;Centro Sportivo Maruinense
Centro Sportivo Paraibano;Centro Sportivo Paraibano
Clube Atlético Alto Vale;Clube Atlético Alto Vale
Clube Atlético Assisense;Clube Atlético Assisense
Clube Atlético Carazinho;Clube Atlético Carazinho
Clube Atlético Castelo Branco;Clube Atlético Castelo Branco
Clube Atlético Bandeirante;Clube Atlético Taguatinga
Íbis Sport Club;Íbis Sport Club
Sport Club Mackenzie;Sport Club Mackenzie
Esporte Clube Pau Grande;Esporte Clube Pau Grande
Penarol Atlético Clube;Penarol Atlético Clube
Auto Esporte Clube;Auto Esporte Clube (Piauí)
Ji-Paraná Futebol Clube;Ji-Paraná Futebol Clube
Sport Club São Paulo;Sport Club São Paulo
Centro de Futebol Zico do Rio Sociedade Esportiva;Centro de Futebol Zico do Rio Sociedade Esportiva
Osasco Futebol Clube;Futebol Clube SKA Brasil
Sociedade Esportiva River Plate;Sociedade Esportiva River Plate
Sport Club Santa Cruz;Sport Club Santa Cruz
Tocantins Futebol Clube;Tocantins Futebol Clube
Bosque Formosa Esporte Clube;Bosque Formosa Esporte Clube
Abaeté Futebol Clube;Abaeté Futebol Clube
Academia Desportiva Manthiqueira;Academia Desportiva Manthiqueira
Agremiação Esportiva Canedense;Agremiação Esportiva Canedense
Esporte Clube Internacional;Inter de Santa Maria
Alto Acre Futebol Club;Alto Acre Futebol Club
Amadense Esporte Clube;Amadense Esporte Clube
América Futebol Clube (Caaporã);América Futebol Clube (Caaporã)
América Futebol Clube (Paraná);América Futebol Clube (Paraná)
América Futebol Clube (Pernambuco);América Futebol Clube (Pernambuco)
América Futebol Clube;América Futebol Clube (Sergipe)
América Futebol Clube (Três Rios);América Futebol Clube (Três Rios)
Américo Esporte Clube;Américo Esporte Clube
Angra dos Reis Esporte Clube;Angra dos Reis Esporte Clube
Aperibeense Futebol Clube;Aperibeense Futebol Clube
Apucarana Atlético Clube;Apucarana Atlético Clube
Araripina Futebol Clube;Araripina Futebol Clube
Araxá Esporte Clube;Araxá Esporte Clube
Ariquemes Futebol Clube;Ariquemes Futebol Clube
Arsenal Atividades Desportivas Sport Club;Arsenal Atividades Desportivas Sport Club
Associação Atlética Alvorada;Associação Atlética Alvorada
Associação Atlética Carapebus;Associação Atlética Carapebus
Associação Atlética Cori-Sabbá;Associação Atlética Corisabbá
Associação Atlética Ferroviária (Botucatu);Associação Atlética Ferroviária (Botucatu)
Associação Atlética Flamengo;Associação Atlética Flamengo
Associação Atlética Batel;Batel Guarapuava
Artsul Futebol Clube;Univassouras Artsul Futebol Clube
