rodada,grupo,mandante,visitante
8,A7,ATLÉTICO CEARENSE,TIROL
8,A8,SOUSA,CENTRAL
8,A8,ABC,AMÉRICA
8,A8,LAGUNA,MAGUARY
8,A9,SERGIPE,TREZE
8,A9,DECISÃO,SERRA BRANCA
8,A9,RETRÔ,LAGARTO
9,A1,SÃO RAIMUNDO,GAS
9,A1,MONTE RORAIMA,MANAUARA
9,A1,MANAUS,NACIONAL
9,A10,ASA,CSE
9,A10,JUAZEIRENSE,ATLÉTICO DE ALAGOINHAS
9,A10,CSA,JACUIPENSE
9,A11,ABECAT OUVIDORENSE,BETIM FUTEBOL
9,A11,OPERÁRIO,CRAC
9,A11,IVINHEMA,UBERLÂNDIA
9,A12,PORTO,TOMBENSE
9,A12,VITÓRIA,REAL NOROESTE
9,A12,DEMOCRATA,RIO BRANCO
9,A13,POUSO ALEGRE,PORTUGUESA-SP
9,A13,ÁGUA SANTA,MADUREIRA
9,A13,PORTUGUESA,AMERICA
9,A14,XV DE PIRACICABA,NOROESTE
9,A14,MARICÁ,NOVA IGUAÇU
9,A14,SAMPAIO CORREA,VELO CLUBE
9,A15,JOINVILLE,GUARANY DE BAGÉ
9,A15,CASCAVEL,SÃO LUIZ
9,A15,CIANORTE,SANTA CATARINA
9,A16,BRASIL,BLUMENAU
9,A16,SÃO JOSÉ,SÃO JOSEENSE
9,A16,MARCÍLIO DIAS,AZURIZ FUTEBOL
9,A2,GALVEZ,GAZIN PORTO VELHO
9,A2,GUAPORÉ,ARAGUAÍNA
9,A2,HUMAITÁ,INDEPENDÊNCIA
9,A3,APARECIDENSE,PRIMAVERA
9,A3,BRASILIENSE,LUVERDENSE
9,A3,INHUMAS,GAMA
9,A4,CEILÂNDIA,GOIATUBA
9,A4,CEOV OPERÁRIO,CAPITAL CF
9,A4,UNIÃO RONDONÓPOLIS,MIXTO
9,A5,AGUIA DE MARABA,TOCANTINÓPOLIS
9,A5,ORATÓRIO,IMPERATRIZ
9,A5,TUNA LUSO,TREM
9,A6,IGUATU,PARNAHYBA
9,A6,MOTO CLUB,MARACANÃ
9,A6,IAPE,SAMPAIO CORRÊA
9,A7,FLUMINENSE,ALTOS
9,A7,ATLÉTICO CEARENSE,PIAUÍ
9,A7,TIROL,FERROVIÁRIO
9,A8,AMÉRICA,CENTRAL
9,A8,LAGUNA,ABC
9,A8,MAGUARY,SOUSA
9,A9,TREZE,LAGARTO
9,A9,DECISÃO,SERGIPE
9,A9,SERRA BRANCA,RETRÔ
10,A1,GAS,MANAUS
10,A1,NACIONAL,MONTE RORAIMA
10,A1,MANAUARA,SÃO RAIMUNDO
10,A10,JACUIPENSE,ASA
10,A10,CSE,JUAZEIRENSE
10,A10,ATLÉTICO DE ALAGOINHAS,CSA
10,A11,CRAC,IVINHEMA
10,A11,BETIM FUTEBOL,OPERÁRIO
10,A11,UBERLÂNDIA,ABECAT OUVIDORENSE
10,A12,RIO BRANCO,PORTO
10,A12,TOMBENSE,VITÓRIA
10,A12,REAL NOROESTE,DEMOCRATA
10,A13,AMERICA,ÁGUA SANTA
10,A13,MADUREIRA,POUSO ALEGRE
10,A13,PORTUGUESA-SP,PORTUGUESA
10,A14,NOVA IGUAÇU,XV DE PIRACICABA
10,A14,NOROESTE,SAMPAIO CORREA
10,A14,VELO CLUBE,MARICÁ
10,A15,GUARANY DE BAGÉ,CIANORTE
10,A15,SANTA CATARINA,CASCAVEL
10,A15,SÃO LUIZ,JOINVILLE
10,A16,BLUMENAU,SÃO JOSÉ
10,A16,SÃO JOSEENSE,MARCÍLIO DIAS
10,A16,AZURIZ FUTEBOL,BRASIL
10,A2,GAZIN PORTO VELHO,HUMAITÁ
10,A2,INDEPENDÊNCIA,GUAPORÉ
10,A2,ARAGUAÍNA,GALVEZ
10,A3,PRIMAVERA,BRASILIENSE
10,A3,LUVERDENSE,INHUMAS
10,A3,GAMA,APARECIDENSE
10,A4,MIXTO,CEILÂNDIA
10,A4,CAPITAL CF,UNIÃO RONDONÓPOLIS
10,A4,GOIATUBA,CEOV OPERÁRIO
10,A5,IMPERATRIZ,TUNA LUSO
10,A5,TOCANTINÓPOLIS,ORATÓRIO
10,A5,TREM,AGUIA DE MARABA
10,A6,MARACANÃ,IAPE
